,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,40.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Reserves,,831.0,1307.0,1410.0,1637.0,1973.0,2503.0,3002.0,3577.0,4234.0,5134.0,5938.0,6762.0
Borrowings,,1692.0,1649.0,1906.0,2021.0,2775.0,3515.0,4192.0,4793.0,6282.0,8025.0,9364.0,5170.0
Other Liabilities,,534.0,1829.0,1851.0,2192.0,2455.0,2421.0,2330.0,2224.0,2066.0,2400.0,2705.0,1875.0
Total Liabilities,,3097.0,4835.0,5219.0,5902.0,7254.0,8490.0,9575.0,10645.0,12632.0,15610.0,18059.0,13858.0
Fixed Assets,,683.0,2447.0,2405.0,2279.0,2234.0,1978.0,1797.0,1482.0,1291.0,1159.0,992.0,692.0
CWIP,,1482.0,2.0,8.0,11.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0
Investments,,94.0,66.0,103.0,169.0,263.0,444.0,579.0,424.0,312.0,511.0,790.0,788.0
Other Assets,,838.0,2320.0,2703.0,3443.0,4752.0,6068.0,7196.0,8740.0,11030.0,13940.0,16276.0,12375.0
Total Assets,,3097.0,4835.0,5219.0,5902.0,7254.0,8490.0,9575.0,10645.0,12632.0,15610.0,18059.0,13858.0
Land,Fixed Assets,1.0,1.0,2.0,2.0,3.0,5.0,5.0,4.0,6.0,4.0,6.0,
Building,Fixed Assets,42.0,7.0,7.0,7.0,7.0,6.0,23.0,23.0,23.0,23.0,22.0,
Plant Machinery,Fixed Assets,323.0,365.0,400.0,514.0,790.0,860.0,1026.0,1019.0,1054.0,1073.0,1065.0,
Equipments,Fixed Assets,2.0,3.0,5.0,7.0,10.0,11.0,12.0,15.0,16.0,19.0,18.0,
Computers,Fixed Assets,6.0,7.0,3.0,4.0,6.0,6.0,8.0,10.0,12.0,11.0,12.0,
Furniture n fittings,Fixed Assets,2.0,3.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,
Vehicles,Fixed Assets,12.0,15.0,15.0,24.0,33.0,38.0,43.0,52.0,56.0,60.0,60.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,1.0,9.0,11.0,22.0,28.0,28.0,28.0,64.0
Other fixed assets,Fixed Assets,503.0,2599.0,2411.0,2412.0,2413.0,2408.0,2392.0,2405.0,2406.0,2409.0,2424.0,
Gross Block,Fixed Assets,893.0,3001.0,2846.0,2974.0,3265.0,3349.0,3525.0,3556.0,3607.0,3636.0,3644.0,
Accumulated Depreciation,Fixed Assets,210.0,554.0,441.0,696.0,1031.0,1371.0,1728.0,2074.0,2316.0,2476.0,2651.0,
Long term Borrowings,Borrowings,1307.0,1571.0,1673.0,1843.0,2515.0,3246.0,3735.0,4337.0,5559.0,7264.0,8708.0,4734.0
Short term Borrowings,Borrowings,328.0,30.0,121.0,23.0,20.0,16.0,454.0,442.0,712.0,752.0,636.0,417.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,10.0,9.0,20.0,19.0
Other Borrowings,Borrowings,58.0,47.0,112.0,156.0,241.0,253.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
Trade Payables,Other Liabilities,111.0,205.0,277.0,473.0,479.0,476.0,726.0,514.0,688.0,953.0,874.0,790.0
Advance from Customers,Other Liabilities,33.0,177.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,404.0,
Other liability items,Other Liabilities,389.0,1447.0,1439.0,1720.0,1976.0,1945.0,1604.0,1710.0,1377.0,1292.0,1427.0,1085.0
Inventories,Other Assets,223.0,236.0,153.0,176.0,404.0,267.0,354.0,481.0,764.0,765.0,861.0,761.0
Trade receivables,Other Assets,264.0,411.0,652.0,595.0,519.0,284.0,393.0,666.0,1099.0,1633.0,1254.0,1509.0
Cash Equivalents,Other Assets,41.0,107.0,47.0,185.0,408.0,921.0,945.0,747.0,706.0,1379.0,1644.0,2238.0
Loans n Advances,Other Assets,63.0,102.0,36.0,107.0,170.0,332.0,404.0,400.0,141.0,24.0,20.0,5538.0
Other asset items,Other Assets,247.0,1465.0,1815.0,2381.0,3250.0,4263.0,5101.0,6446.0,8320.0,10139.0,12497.0,2328.0
