,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,25.0,25.0,26.0,26.0,26.0,45.0,45.0
Reserves,,206.0,197.0,368.0,385.0,620.0,2777.0,4262.0
Borrowings,,256.0,347.0,455.0,765.0,1402.0,1954.0,3707.0
Other Liabilities,,342.0,406.0,491.0,934.0,1489.0,2065.0,2830.0
Total Liabilities,,828.0,975.0,1340.0,2110.0,3537.0,6841.0,10845.0
Fixed Assets,,263.0,425.0,479.0,592.0,1203.0,978.0,1747.0
CWIP,,21.0,0.0,114.0,349.0,20.0,242.0,2144.0
Investments,,6.0,9.0,55.0,59.0,9.0,845.0,670.0
Other Assets,,538.0,541.0,693.0,1110.0,2305.0,4775.0,6285.0
Total Assets,,828.0,975.0,1340.0,2110.0,3537.0,6841.0,10845.0
Land,Fixed Assets,76.91,69.05,72.23,114.93,114.93,178.6,
Building,Fixed Assets,9.86,58.32,78.74,78.95,255.02,326.45,
Plant Machinery,Fixed Assets,211.83,322.02,374.64,493.99,1004.96,1084.49,
Equipments,Fixed Assets,0.1,0.11,1.22,1.23,1.27,1.79,
Computers,Fixed Assets,1.64,2.23,2.47,2.74,6.37,7.21,
Furniture n fittings,Fixed Assets,1.81,2.49,3.36,4.08,4.74,4.83,
Vehicles,Fixed Assets,4.72,5.23,4.25,4.7,4.75,9.67,
Intangible Assets,Fixed Assets,0.0,0.0,0.01,0.01,0.01,0.01,0.01
Other fixed assets,Fixed Assets,4.9,5.03,6.71,8.34,8.31,8.25,
Gross Block,Fixed Assets,311.77,464.48,543.63,708.97,1400.36,1621.3,
Accumulated Depreciation,Fixed Assets,48.46,39.02,65.12,117.07,197.2,642.98,
Long term Borrowings,Borrowings,176.0,247.0,332.0,570.0,878.0,924.0,2932.0
Short term Borrowings,Borrowings,67.0,99.0,122.0,195.0,514.0,970.0,685.0
Lease Liabilities,Borrowings,1.0,1.0,1.0,0.0,9.0,60.0,90.0
Other Borrowings,Borrowings,12.0,0.0,0.0,-0.0,-0.0,0.0,
Non controlling int,Other Liabilities,39.0,17.0,9.0,13.0,13.0,0.0,3.0
Trade Payables,Other Liabilities,148.0,162.0,270.0,398.0,975.0,965.0,1155.0
Advance from Customers,Other Liabilities,60.0,95.0,76.0,218.0,266.0,649.0,
Other liability items,Other Liabilities,95.0,132.0,135.0,306.0,235.0,451.0,1672.0
Inventories,Other Assets,110.0,63.0,217.0,633.0,1009.0,1326.0,2037.0
Trade receivables,Other Assets,192.0,162.0,145.0,59.0,609.0,801.0,983.0
Cash Equivalents,Other Assets,75.0,79.0,160.0,193.0,403.0,2002.0,2089.0
Loans n Advances,Other Assets,97.0,31.0,19.0,44.0,43.0,108.0,138.0
Other asset items,Other Assets,64.0,206.0,152.0,180.0,241.0,538.0,1038.0
