,parent_line_item,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Equity Capital,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Reserves,,485.0,534.0,601.0,699.0,795.0,869.0,1092.0,1171.0,1266.0,1390.0,1571.0,1677.0
Borrowings,,117.0,154.0,131.0,77.0,125.0,90.0,39.0,25.0,73.0,94.0,76.0,93.0
Other Liabilities,,395.0,414.0,438.0,502.0,496.0,506.0,559.0,763.0,804.0,945.0,922.0,1069.0
Total Liabilities,,1017.0,1121.0,1190.0,1297.0,1436.0,1484.0,1709.0,1978.0,2163.0,2448.0,2589.0,2858.0
Fixed Assets,,348.0,517.0,555.0,604.0,595.0,564.0,574.0,574.0,581.0,593.0,631.0,771.0
CWIP,,159.0,60.0,35.0,21.0,26.0,40.0,42.0,47.0,51.0,76.0,164.0,130.0
Investments,,26.0,23.0,20.0,25.0,24.0,28.0,239.0,96.0,109.0,302.0,283.0,212.0
Other Assets,,484.0,522.0,580.0,647.0,790.0,851.0,854.0,1261.0,1422.0,1477.0,1510.0,1745.0
Total Assets,,1017.0,1121.0,1190.0,1297.0,1436.0,1484.0,1709.0,1978.0,2163.0,2448.0,2589.0,2858.0
Land,Fixed Assets,49.0,51.0,51.0,51.0,56.0,4.0,19.0,11.0,25.0,28.0,46.0,46.0
Building,Fixed Assets,60.0,153.0,153.0,163.0,168.0,134.0,140.0,146.0,148.0,182.0,197.0,260.0
Plant Machinery,Fixed Assets,252.0,310.0,328.0,369.0,383.0,245.0,270.0,310.0,333.0,364.0,403.0,513.0
Equipments,Fixed Assets,3.0,3.0,5.0,6.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0
Furniture n fittings,Fixed Assets,6.0,6.0,8.0,9.0,8.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0
Vehicles,Fixed Assets,12.0,11.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,21.0,14.0,11.0
Intangible Assets,Fixed Assets,126.0,157.0,177.0,206.0,238.0,216.0,222.0,227.0,227.0,238.0,243.0,248.0
Other fixed assets,Fixed Assets,15.0,15.0,23.0,29.0,11.0,1.0,8.0,8.0,8.0,3.0,5.0,6.0
Gross Block,Fixed Assets,523.0,706.0,751.0,837.0,872.0,607.0,665.0,709.0,750.0,846.0,918.0,1097.0
Accumulated Depreciation,Fixed Assets,174.0,189.0,195.0,233.0,277.0,43.0,91.0,136.0,169.0,253.0,287.0,327.0
Long term Borrowings,Borrowings,84.0,86.0,11.0,26.0,27.0,26.0,24.0,20.0,16.0,12.0,8.0,4.0
Short term Borrowings,Borrowings,30.0,65.0,43.0,48.0,84.0,49.0,12.0,0.0,53.0,50.0,34.0,54.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,35.0
Other Borrowings,Borrowings,2.0,4.0,77.0,2.0,15.0,15.0,2.0,5.0,4.0,3.0,0.0,0.0
Non controlling int,Other Liabilities,2.0,1.0,5.0,10.0,10.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0
Trade Payables,Other Liabilities,268.0,247.0,250.0,305.0,288.0,274.0,329.0,526.0,535.0,637.0,596.0,753.0
Advance from Customers,Other Liabilities,43.0,70.0,68.0,63.0,62.0,142.0,74.0,76.0,83.0,105.0,105.0,127.0
Other liability items,Other Liabilities,81.0,96.0,114.0,124.0,136.0,86.0,156.0,160.0,184.0,202.0,221.0,189.0
Inventories,Other Assets,229.0,272.0,267.0,330.0,394.0,403.0,394.0,572.0,674.0,699.0,763.0,938.0
Trade receivables,Other Assets,106.0,104.0,165.0,168.0,248.0,228.0,264.0,400.0,449.0,451.0,406.0,446.0
Cash Equivalents,Other Assets,15.0,11.0,26.0,9.0,7.0,8.0,9.0,33.0,46.0,49.0,55.0,63.0
Loans n Advances,Other Assets,-45.0,-45.0,-35.0,-21.0,-26.0,-10.0,-12.0,-17.0,-19.0,-14.0,4.0,-12.0
Other asset items,Other Assets,179.0,181.0,157.0,161.0,166.0,222.0,198.0,273.0,272.0,293.0,281.0,310.0
