,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,4131.0,4131.0,4131.0,4131.0,4131.0,4131.0,4131.0,4131.0,4131.0,4131.0,4131.0,4131.0
Reserves,,39641.0,36021.0,32912.0,32816.0,35516.0,37380.0,41276.0,50081.0,50616.0,52971.0,54775.0,56225.0
Borrowings,,32146.0,35141.0,41396.0,45409.0,45170.0,54127.0,37677.0,17284.0,30773.0,36323.0,36934.0,31928.0
Other Liabilities,,26932.0,26234.0,29405.0,33339.0,33385.0,31560.0,35007.0,48885.0,45262.0,47598.0,40878.0,43613.0
Total Liabilities,,102849.0,101527.0,107843.0,115694.0,118201.0,127198.0,118090.0,120381.0,130782.0,141022.0,136718.0,135896.0
Fixed Assets,,39011.0,45942.0,50300.0,58625.0,61374.0,69034.0,67618.0,73677.0,73543.0,72426.0,73327.0,75989.0
CWIP,,29328.0,24927.0,23275.0,18395.0,16014.0,8753.0,8881.0,4710.0,4891.0,6141.0,7206.0,10552.0
Investments,,61.0,2280.0,2475.0,2629.0,2975.0,3240.0,3442.0,3757.0,4185.0,4589.0,4976.0,4339.0
Other Assets,,34450.0,28377.0,31792.0,36044.0,37838.0,46170.0,38149.0,38237.0,48163.0,57867.0,51209.0,45016.0
Total Assets,,102849.0,101527.0,107843.0,115694.0,118201.0,127198.0,118090.0,120381.0,130782.0,141022.0,136718.0,135896.0
Land,Fixed Assets,1030.0,1265.0,1278.0,1594.0,1629.0,323.0,372.0,372.0,374.0,378.0,427.0,
Building,Fixed Assets,6124.0,6966.0,7110.0,7513.0,7513.0,7653.0,7770.0,8182.0,8368.0,8708.0,9094.0,
Plant Machinery,Fixed Assets,56212.0,64546.0,70978.0,81067.0,86844.0,95266.0,97198.0,104296.0,106534.0,108725.0,111130.0,
Equipments,Fixed Assets,89.0,65.0,66.0,67.0,67.0,66.0,67.0,67.0,69.0,71.0,84.0,
Computers,Fixed Assets,427.0,0.0,427.0,432.0,444.0,454.0,461.0,465.0,491.0,546.0,595.0,
Furniture n fittings,Fixed Assets,178.0,145.0,152.0,157.0,163.0,167.0,172.0,176.0,181.0,190.0,216.0,
Railway sidings,Fixed Assets,623.0,630.0,709.0,810.0,844.0,912.0,1033.0,1049.0,1099.0,1113.0,1150.0,
Vehicles,Fixed Assets,1516.0,1320.0,1339.0,1367.0,1388.0,1394.0,1407.0,1436.0,1624.0,1694.0,1873.0,
Intangible Assets,Fixed Assets,4238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0
Other fixed assets,Fixed Assets,722.0,2842.0,2530.0,2537.0,2591.0,6502.0,6644.0,8778.0,10067.0,11177.0,13127.0,
Gross Block,Fixed Assets,71159.0,77779.0,84589.0,95543.0,101482.0,112738.0,115124.0,124820.0,128807.0,132602.0,137698.0,
Accumulated Depreciation,Fixed Assets,32148.0,31837.0,34289.0,36918.0,40108.0,43704.0,47506.0,51143.0,55264.0,60176.0,64371.0,
Long term Borrowings,Borrowings,15715.0,17496.0,19087.0,29777.0,30803.0,34560.0,17907.0,8136.0,6113.0,9568.0,10101.0,7219.0
Short term Borrowings,Borrowings,14613.0,15575.0,19813.0,12244.0,10631.0,16641.0,17701.0,5250.0,19549.0,21033.0,19710.0,14450.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,2069.0,3899.0,5112.0,5722.0,7123.0,10258.0
Other Borrowings,Borrowings,1818.0,2071.0,2495.0,3387.0,3736.0,2926.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,-317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
Trade Payables,Other Liabilities,3812.0,3984.0,5218.0,7527.0,7225.0,6322.0,8043.0,16676.0,14342.0,15332.0,10504.0,10886.0
Advance from Customers,Other Liabilities,925.0,0.0,0.0,0.0,1457.0,1221.0,1837.0,1844.0,1472.0,1513.0,1526.0,
Other liability items,Other Liabilities,22512.0,22250.0,24187.0,25812.0,24703.0,24017.0,25127.0,30365.0,29448.0,30753.0,28848.0,32726.0
Inventories,Other Assets,18251.0,14932.0,15964.0,17277.0,19759.0,24106.0,15605.0,19840.0,28066.0,33035.0,29498.0,23553.0
Trade receivables,Other Assets,3250.0,3151.0,2935.0,3871.0,4497.0,8845.0,8169.0,4771.0,5390.0,8355.0,7610.0,6507.0
Cash Equivalents,Other Assets,2636.0,346.0,379.0,346.0,288.0,445.0,796.0,786.0,551.0,673.0,967.0,733.0
Loans n Advances,Other Assets,830.0,56.0,211.0,164.0,58.0,132.0,198.0,222.0,118.0,1262.0,594.0,1777.0
Other asset items,Other Assets,9482.0,9892.0,12304.0,14387.0,13236.0,12641.0,13380.0,12617.0,14038.0,14541.0,12540.0,12446.0
