,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,35.0
Reserves,,1174.0,1187.0,1322.0,1540.0,1707.0,1834.0,2182.0,2968.0,3375.0,3853.0,6251.0,7335.0
Borrowings,,1482.0,1221.0,1363.0,1386.0,1395.0,1694.0,1714.0,1581.0,1407.0,1366.0,2861.0,2632.0
Other Liabilities,,352.0,382.0,395.0,451.0,543.0,538.0,587.0,714.0,664.0,747.0,977.0,1369.0
Total Liabilities,,3044.0,2827.0,3115.0,3413.0,3682.0,4102.0,4518.0,5298.0,5481.0,6002.0,10125.0,11371.0
Fixed Assets,,1333.0,1226.0,1183.0,1358.0,1349.0,1323.0,1287.0,2853.0,2907.0,2853.0,5845.0,6109.0
CWIP,,441.0,594.0,799.0,783.0,1063.0,1374.0,1616.0,133.0,132.0,251.0,621.0,463.0
Investments,,279.0,205.0,226.0,241.0,213.0,191.0,266.0,500.0,422.0,659.0,792.0,1645.0
Other Assets,,991.0,803.0,907.0,1030.0,1057.0,1214.0,1349.0,1812.0,2020.0,2239.0,2867.0,3154.0
Total Assets,,3044.0,2827.0,3115.0,3413.0,3682.0,4102.0,4518.0,5298.0,5481.0,6002.0,10125.0,11371.0
Land,Fixed Assets,84.0,40.0,38.0,39.0,39.0,39.0,39.0,69.0,62.0,82.0,165.0,
Building,Fixed Assets,295.0,239.0,233.0,256.0,265.0,272.0,275.0,362.0,406.0,459.0,771.0,
Plant Machinery,Fixed Assets,1424.0,941.0,958.0,1170.0,1205.0,1232.0,1262.0,2804.0,2987.0,3045.0,5903.0,
Furniture n fittings,Fixed Assets,12.0,5.0,5.0,7.0,8.0,10.0,10.0,13.0,15.0,17.0,23.0,
Vehicles,Fixed Assets,13.0,5.0,6.0,11.0,12.0,12.0,10.0,11.0,18.0,22.0,26.0,
Intangible Assets,Fixed Assets,3.0,0.0,36.0,34.0,48.0,63.0,64.0,72.0,72.0,73.0,73.0,125.0
Other fixed assets,Fixed Assets,58.0,69.0,50.0,54.0,58.0,58.0,59.0,91.0,91.0,81.0,80.0,
Gross Block,Fixed Assets,1889.0,1299.0,1326.0,1571.0,1636.0,1686.0,1720.0,3422.0,3652.0,3780.0,7040.0,
Accumulated Depreciation,Fixed Assets,556.0,74.0,143.0,212.0,287.0,363.0,433.0,569.0,745.0,926.0,1195.0,
Long term Borrowings,Borrowings,821.0,0.0,0.0,0.0,0.0,0.0,1493.0,1195.0,1063.0,1058.0,2342.0,2134.0
Short term Borrowings,Borrowings,473.0,0.0,0.0,0.0,0.0,0.0,221.0,386.0,344.0,308.0,481.0,461.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,37.0
Other Borrowings,Borrowings,188.0,1221.0,1363.0,1386.0,1395.0,1694.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,71.0,72.0,83.0,88.0,132.0,100.0,101.0,104.0,100.0,106.0,106.0,106.0
Trade Payables,Other Liabilities,71.0,112.0,153.0,156.0,188.0,255.0,247.0,260.0,161.0,173.0,194.0,172.0
Advance from Customers,Other Liabilities,5.0,4.0,5.0,20.0,7.0,7.0,10.0,21.0,30.0,25.0,20.0,
Other liability items,Other Liabilities,206.0,194.0,154.0,187.0,217.0,176.0,229.0,329.0,373.0,444.0,657.0,1091.0
Inventories,Other Assets,428.0,222.0,343.0,411.0,440.0,501.0,579.0,613.0,726.0,528.0,809.0,794.0
Trade receivables,Other Assets,97.0,125.0,106.0,131.0,93.0,124.0,138.0,169.0,182.0,101.0,221.0,276.0
Cash Equivalents,Other Assets,11.0,12.0,11.0,68.0,45.0,165.0,97.0,282.0,372.0,768.0,608.0,864.0
Loans n Advances,Other Assets,227.0,285.0,333.0,278.0,350.0,344.0,432.0,528.0,503.0,593.0,793.0,566.0
Other asset items,Other Assets,228.0,160.0,114.0,141.0,129.0,81.0,104.0,221.0,237.0,249.0,436.0,652.0
