,parent_line_item,Mar 2014,Mar 2015,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,18.0,18.0,66.0,53.0,56.0,78.0,82.0,82.0
Reserves,,147.0,258.0,536.0,673.0,876.0,1288.0,1888.0,2432.0
Borrowings,,212.0,217.0,532.0,1026.0,1402.0,1761.0,2059.0,2699.0
Other Liabilities,,86.0,64.0,424.0,348.0,571.0,596.0,717.0,1849.0
Total Liabilities,,462.0,557.0,1559.0,2100.0,2905.0,3723.0,4746.0,7062.0
Fixed Assets,,62.0,67.0,212.0,223.0,280.0,362.0,405.0,475.0
CWIP,,2.0,13.0,2.0,7.0,13.0,1.0,2.0,2.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,398.0,476.0,1345.0,1870.0,2612.0,3359.0,4340.0,6584.0
Total Assets,,462.0,557.0,1559.0,2100.0,2905.0,3723.0,4746.0,7062.0
Land,Fixed Assets,0.0,0.0,0.0,0.0,13.46,13.46,19.11,
Building,Fixed Assets,30.71,32.28,73.46,288.74,342.42,445.72,511.88,
Plant Machinery,Fixed Assets,5.2,10.23,32.24,39.15,51.79,62.8,77.6,
Equipments,Fixed Assets,0.55,0.78,4.66,7.39,13.04,19.29,22.72,
Furniture n fittings,Fixed Assets,3.7,8.43,40.86,47.21,56.81,71.24,85.21,
Vehicles,Fixed Assets,0.63,0.63,2.53,2.7,2.7,2.7,2.88,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49
Other fixed assets,Fixed Assets,23.99,24.17,184.58,6.36,6.89,9.12,9.9,
Gross Block,Fixed Assets,64.78,76.52,338.33,391.55,487.11,624.33,729.3,
Accumulated Depreciation,Fixed Assets,2.93,9.47,126.48,168.37,207.44,262.34,324.65,
Long term Borrowings,Borrowings,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Short term Borrowings,Borrowings,0.0,0.0,532.0,863.0,1178.0,1497.0,1768.0,2345.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,163.0,210.0,263.0,290.0,353.0
Preference Capital,Borrowings,0.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0
Other Borrowings,Borrowings,212.0,212.0,-0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,6.0,12.0,61.0,117.0,162.0,207.0,152.0,679.0
Advance from Customers,Other Liabilities,76.0,46.0,94.0,59.0,96.0,96.0,195.0,
Other liability items,Other Liabilities,3.0,6.0,269.0,172.0,313.0,294.0,370.0,1170.0
Inventories,Other Assets,265.0,358.0,1039.0,1391.0,1885.0,2457.0,3299.0,5296.0
Trade receivables,Other Assets,52.0,44.0,28.0,39.0,45.0,53.0,81.0,225.0
Cash Equivalents,Other Assets,67.0,38.0,128.0,279.0,438.0,551.0,591.0,517.0
Loans n Advances,Other Assets,1.0,2.0,0.0,8.0,19.0,15.0,30.0,25.0
Other asset items,Other Assets,13.0,36.0,150.0,153.0,225.0,283.0,338.0,521.0
