,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Reserves,,564.0,715.0,870.0,1045.0,1194.0,1313.0,1524.0,1822.0,2142.0,2147.0,2410.0,3046.0
Borrowings,,38.0,2.0,0.0,170.0,0.0,0.0,81.0,47.0,3.0,18.0,8.0,0.0
Other Liabilities,,354.0,522.0,686.0,914.0,914.0,940.0,1163.0,1779.0,2108.0,1773.0,2205.0,2644.0
Total Liabilities,,1047.0,1329.0,1646.0,2219.0,2198.0,2343.0,2858.0,3738.0,4343.0,4028.0,4713.0,5780.0
Fixed Assets,,88.0,130.0,210.0,226.0,372.0,416.0,544.0,592.0,668.0,708.0,750.0,1236.0
CWIP,,149.0,210.0,232.0,360.0,220.0,161.0,131.0,212.0,204.0,283.0,291.0,0.0
Investments,,95.0,90.0,61.0,22.0,212.0,116.0,83.0,134.0,32.0,159.0,294.0,361.0
Other Assets,,715.0,899.0,1143.0,1611.0,1394.0,1650.0,2099.0,2800.0,3439.0,2878.0,3377.0,4183.0
Total Assets,,1047.0,1329.0,1646.0,2219.0,2198.0,2343.0,2858.0,3738.0,4343.0,4028.0,4713.0,5780.0
Land,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,
Building,Fixed Assets,0.0,0.0,0.0,3.0,5.0,5.0,5.0,26.0,26.0,48.0,48.0,
Equipments,Fixed Assets,1.0,0.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,
Computers,Fixed Assets,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
Furniture n fittings,Fixed Assets,1.0,1.0,1.0,6.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,
Vehicles,Fixed Assets,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
Intangible Assets,Fixed Assets,0.0,159.0,293.0,366.0,603.0,757.0,1043.0,1314.0,1635.0,1892.0,2203.0,1233.0
Other fixed assets,Fixed Assets,294.0,0.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,
Gross Block,Fixed Assets,298.0,161.0,296.0,379.0,622.0,797.0,1082.0,1353.0,1674.0,1954.0,2265.0,
Accumulated Depreciation,Fixed Assets,209.0,31.0,86.0,153.0,250.0,381.0,537.0,761.0,1006.0,1246.0,1514.0,
Long term Borrowings,Borrowings,0.0,0.0,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,38.07,2.0,0.24,169.6,0.0,0.0,67.85,38.04,2.96,3.38,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,12.91,8.61,0.0,14.93,7.76,0.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Trade Payables,Other Liabilities,228.0,384.0,457.0,634.0,636.0,687.0,807.0,1178.0,1378.0,921.0,1310.0,1499.0
Advance from Customers,Other Liabilities,0.0,0.0,5.0,7.0,9.0,7.0,10.0,8.0,6.0,9.0,6.0,
Other liability items,Other Liabilities,126.0,138.0,224.0,274.0,269.0,246.0,346.0,593.0,724.0,842.0,888.0,1145.0
Inventories,Other Assets,140.0,160.0,288.0,530.0,365.0,382.0,526.0,893.0,1134.0,992.0,972.0,1120.0
Trade receivables,Other Assets,454.0,620.0,673.0,892.0,811.0,989.0,1163.0,1540.0,1833.0,1498.0,1955.0,2389.0
Cash Equivalents,Other Assets,70.0,65.0,108.0,101.0,124.0,153.0,261.0,166.0,182.0,88.0,220.0,220.0
Loans n Advances,Other Assets,1.0,6.0,8.0,9.0,11.0,12.0,4.0,10.0,6.0,4.0,6.0,58.0
Other asset items,Other Assets,49.0,49.0,67.0,79.0,83.0,113.0,147.0,191.0,283.0,297.0,223.0,396.0
