,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Reserves,,288.0,326.0,389.0,384.0,399.0,370.0,241.0,147.0,163.0,271.0,368.0,505.0
Borrowings,,22.0,55.0,41.0,212.0,246.0,185.0,261.0,298.0,265.0,421.0,327.0,289.0
Other Liabilities,,350.0,332.0,341.0,377.0,435.0,289.0,279.0,357.0,494.0,506.0,590.0,588.0
Total Liabilities,,675.0,727.0,785.0,987.0,1095.0,859.0,796.0,816.0,937.0,1213.0,1299.0,1397.0
Fixed Assets,,138.0,171.0,215.0,365.0,380.0,426.0,389.0,349.0,356.0,340.0,321.0,337.0
CWIP,,27.0,40.0,78.0,35.0,27.0,3.0,5.0,16.0,11.0,11.0,59.0,47.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,511.0,515.0,492.0,587.0,688.0,429.0,403.0,450.0,569.0,861.0,919.0,1013.0
Total Assets,,675.0,727.0,785.0,987.0,1095.0,859.0,796.0,816.0,937.0,1213.0,1299.0,1397.0
Land,Fixed Assets,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
Building,Fixed Assets,74.0,94.0,78.0,115.0,128.0,137.0,137.0,137.0,136.0,137.0,141.0,145.0
Plant Machinery,Fixed Assets,118.0,138.0,129.0,254.0,288.0,297.0,304.0,307.0,317.0,334.0,349.0,399.0
Equipments,Fixed Assets,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
Computers,Fixed Assets,7.0,11.0,5.0,7.0,9.0,9.0,9.0,10.0,11.0,13.0,14.0,15.0
Furniture n fittings,Fixed Assets,4.0,5.0,7.0,10.0,12.0,13.0,13.0,12.0,12.0,13.0,13.0,14.0
Vehicles,Fixed Assets,17.0,19.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,11.0
Intangible Assets,Fixed Assets,11.0,13.0,7.0,10.0,10.0,72.0,72.0,72.0,107.0,115.0,115.0,116.0
Other fixed assets,Fixed Assets,-0.0,-0.0,1.0,6.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0
Gross Block,Fixed Assets,236.0,283.0,239.0,417.0,469.0,554.0,561.0,564.0,610.0,638.0,659.0,716.0
Accumulated Depreciation,Fixed Assets,98.0,112.0,24.0,52.0,90.0,128.0,173.0,215.0,254.0,298.0,338.0,379.0
Long term Borrowings,Borrowings,0.0,0.0,35.0,118.0,104.0,95.0,47.0,9.0,17.0,40.0,63.0,11.0
Short term Borrowings,Borrowings,22.0,55.0,5.0,70.0,110.0,33.0,206.0,282.0,242.0,375.0,259.0,270.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,10.0,9.0,7.0,6.0,6.0,5.0,9.0
Other Borrowings,Borrowings,0.0,0.0,1.0,23.0,32.0,47.0,0.0,-0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,200.0,172.0,191.0,212.0,272.0,167.0,183.0,245.0,292.0,332.0,370.0,406.0
Advance from Customers,Other Liabilities,17.0,16.0,10.0,17.0,14.0,9.0,12.0,25.0,51.0,21.0,34.0,38.0
Other liability items,Other Liabilities,132.0,144.0,140.0,148.0,149.0,113.0,85.0,87.0,152.0,153.0,186.0,145.0
Inventories,Other Assets,286.0,339.0,295.0,364.0,424.0,269.0,260.0,296.0,422.0,580.0,578.0,661.0
Trade receivables,Other Assets,104.0,103.0,115.0,117.0,149.0,39.0,39.0,79.0,76.0,169.0,265.0,270.0
Cash Equivalents,Other Assets,88.0,36.0,8.0,22.0,30.0,36.0,33.0,14.0,6.0,49.0,20.0,21.0
Loans n Advances,Other Assets,-1.0,-1.0,3.0,20.0,5.0,5.0,10.0,16.0,5.0,5.0,7.0,9.0
Other asset items,Other Assets,34.0,39.0,72.0,64.0,81.0,80.0,60.0,46.0,61.0,59.0,49.0,52.0
