,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,98.0,98.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,107.0,107.0
Reserves,,2334.0,2467.0,2548.0,2675.0,2134.0,2336.0,2333.0,2328.0,2400.0,2419.0,4454.0,4613.0
Borrowings,,2059.0,2180.0,2222.0,2331.0,2604.0,3131.0,3052.0,2529.0,2027.0,1940.0,1183.0,1057.0
Other Liabilities,,1666.0,3317.0,4027.0,3924.0,5907.0,5448.0,5729.0,6578.0,8054.0,9228.0,11461.0,13721.0
Total Liabilities,,6157.0,8062.0,8893.0,9025.0,10740.0,11010.0,11208.0,11530.0,12576.0,13682.0,17205.0,19499.0
Fixed Assets,,315.0,373.0,595.0,610.0,678.0,919.0,903.0,852.0,899.0,946.0,981.0,1076.0
CWIP,,52.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,24.0,27.0
Investments,,0.0,229.0,0.0,112.0,113.0,114.0,114.0,115.0,115.0,115.0,115.0,120.0
Other Assets,,5789.0,7415.0,8298.0,8302.0,9949.0,9976.0,10191.0,10564.0,11560.0,12615.0,16085.0,18275.0
Total Assets,,6157.0,8062.0,8893.0,9025.0,10740.0,11010.0,11208.0,11530.0,12576.0,13682.0,17205.0,19499.0
Land,Fixed Assets,8.0,8.0,8.0,8.0,9.0,181.0,179.0,183.0,183.0,184.0,184.0,184.0
Building,Fixed Assets,171.0,175.0,176.0,177.0,182.0,191.0,196.0,186.0,189.0,204.0,208.0,225.0
Plant Machinery,Fixed Assets,241.0,135.0,124.0,128.0,139.0,174.0,179.0,205.0,209.0,214.0,236.0,303.0
Equipments,Fixed Assets,6.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,8.0
Computers,Fixed Assets,18.0,4.0,5.0,7.0,11.0,12.0,15.0,20.0,23.0,28.0,40.0,47.0
Furniture n fittings,Fixed Assets,9.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,8.0,8.0,13.0
Vehicles,Fixed Assets,5.0,1.0,1.0,1.0,1.0,10.0,13.0,16.0,18.0,19.0,26.0,32.0
Intangible Assets,Fixed Assets,23.0,0.0,0.0,0.0,13.0,22.0,22.0,17.0,17.0,17.0,17.0,17.0
Other fixed assets,Fixed Assets,159.0,89.0,371.0,431.0,522.0,598.0,643.0,645.0,750.0,837.0,915.0,998.0
Gross Block,Fixed Assets,642.0,417.0,691.0,758.0,884.0,1196.0,1257.0,1282.0,1400.0,1517.0,1640.0,1827.0
Accumulated Depreciation,Fixed Assets,326.0,44.0,96.0,148.0,206.0,276.0,354.0,431.0,500.0,571.0,658.0,750.0
Long term Borrowings,Borrowings,236.0,508.0,442.0,279.0,5.0,238.0,350.0,365.0,613.0,716.0,766.0,407.0
Short term Borrowings,Borrowings,1779.0,1646.0,1737.0,2030.0,2438.0,2863.0,2640.0,2139.0,1390.0,1197.0,365.0,595.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,13.0,13.0,25.0,23.0,26.0,53.0,55.0
Other Borrowings,Borrowings,44.0,27.0,42.0,22.0,161.0,17.0,49.0,0.0,0.0,0.0,0.0,-0.0
Non controlling int,Other Liabilities,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,478.0,318.0,769.0,720.0,1133.0,957.0,732.0,447.0,599.0,617.0,565.0,828.0
Advance from Customers,Other Liabilities,701.0,756.0,885.0,1126.0,4189.0,3914.0,4300.0,4246.0,5349.0,6952.0,8081.0,9344.0
Other liability items,Other Liabilities,473.0,2243.0,2372.0,2077.0,585.0,577.0,697.0,1885.0,2106.0,1660.0,2815.0,3550.0
Inventories,Other Assets,2728.0,4265.0,5096.0,4835.0,6517.0,6704.0,7125.0,7652.0,8761.0,9376.0,11252.0,12826.0
Trade receivables,Other Assets,173.0,252.0,227.0,327.0,327.0,360.0,194.0,350.0,158.0,165.0,186.0,277.0
Cash Equivalents,Other Assets,163.0,119.0,147.0,119.0,177.0,88.0,204.0,178.0,451.0,673.0,1809.0,1504.0
Loans n Advances,Other Assets,29.0,6.0,6.0,12.0,19.0,21.0,27.0,68.0,103.0,163.0,190.0,274.0
Other asset items,Other Assets,2695.0,2773.0,2822.0,3009.0,2909.0,2802.0,2641.0,2315.0,2086.0,2238.0,2648.0,3394.0
