,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,28.0,28.0,47.0,573.0,584.0,585.0,586.0,622.0,622.0
Reserves,,-28.0,146.0,1131.0,803.0,1416.0,1705.0,2064.0,4873.0,5361.0
Borrowings,,614.0,163.0,366.0,447.0,151.0,295.0,412.0,202.0,442.0
Other Liabilities,,869.0,1295.0,307.0,375.0,444.0,474.0,802.0,840.0,1039.0
Total Liabilities,,1484.0,1633.0,1851.0,2198.0,2596.0,3060.0,3865.0,6537.0,7464.0
Fixed Assets,,793.0,291.0,1065.0,1217.0,1384.0,1588.0,1951.0,2127.0,3646.0
CWIP,,18.0,13.0,90.0,83.0,147.0,91.0,364.0,419.0,427.0
Investments,,1.0,0.0,2.0,0.0,7.0,233.0,42.0,864.0,550.0
Other Assets,,672.0,1328.0,694.0,898.0,1058.0,1149.0,1509.0,3126.0,2841.0
Total Assets,,1484.0,1633.0,1851.0,2198.0,2596.0,3060.0,3865.0,6537.0,7464.0
Land,Fixed Assets,1.0,24.0,93.0,93.0,93.0,95.0,95.0,95.0,425.0
Building,Fixed Assets,282.0,61.0,121.0,149.0,158.0,216.0,332.0,370.0,442.0
Plant Machinery,Fixed Assets,474.0,164.0,277.0,361.0,640.0,914.0,1125.0,1482.0,1681.0
Equipments,Fixed Assets,28.0,5.0,8.0,9.0,11.0,15.0,19.0,22.0,25.0
Computers,Fixed Assets,4.0,5.0,8.0,11.0,14.0,20.0,23.0,27.0,33.0
Furniture n fittings,Fixed Assets,3.0,3.0,5.0,5.0,7.0,10.0,12.0,16.0,31.0
Vehicles,Fixed Assets,8.0,8.0,10.0,11.0,16.0,20.0,25.0,30.0,37.0
Intangible Assets,Fixed Assets,158.0,70.0,247.0,347.0,347.0,347.0,558.0,565.0,1711.0
Other fixed assets,Fixed Assets,11.0,5.0,415.0,424.0,428.0,441.0,464.0,473.0,488.0
Gross Block,Fixed Assets,970.0,345.0,1185.0,1410.0,1714.0,2077.0,2655.0,3080.0,4872.0
Accumulated Depreciation,Fixed Assets,177.0,54.0,119.0,194.0,329.0,489.0,704.0,952.0,1225.0
Long term Borrowings,Borrowings,394.0,73.0,177.0,191.0,44.0,49.0,29.0,8.0,8.0
Short term Borrowings,Borrowings,35.0,39.0,85.0,174.0,27.0,169.0,204.0,5.0,234.0
Lease Liabilities,Borrowings,126.0,18.0,60.0,83.0,81.0,78.0,179.0,189.0,200.0
Other Borrowings,Borrowings,58.0,33.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,3.0,2.0,0.0,0.0,0.0,0.0,150.0,150.0,149.0
Trade Payables,Other Liabilities,330.0,69.0,116.0,224.0,219.0,249.0,298.0,324.0,462.0
Advance from Customers,Other Liabilities,5.0,4.0,5.0,9.0,9.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,532.0,1219.0,185.0,141.0,217.0,226.0,355.0,366.0,427.0
Inventories,Other Assets,284.0,68.0,196.0,306.0,363.0,323.0,347.0,349.0,616.0
Trade receivables,Other Assets,281.0,152.0,234.0,417.0,445.0,609.0,648.0,705.0,1151.0
Cash Equivalents,Other Assets,26.0,26.0,167.0,28.0,77.0,70.0,274.0,1302.0,348.0
Loans n Advances,Other Assets,13.0,2.0,12.0,15.0,19.0,28.0,41.0,46.0,61.0
Other asset items,Other Assets,68.0,1081.0,85.0,133.0,153.0,119.0,198.0,724.0,665.0
