,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,28.0,28.0,28.0
Reserves,,418.0,460.0,580.0,643.0,758.0,659.0,895.0,1089.0,1287.0,1379.0,1678.0,1877.0
Borrowings,,24.0,176.0,55.0,34.0,16.0,86.0,185.0,159.0,590.0,765.0,516.0,723.0
Other Liabilities,,355.0,345.0,552.0,545.0,744.0,861.0,856.0,1297.0,2466.0,2889.0,2448.0,2354.0
Total Liabilities,,808.0,992.0,1198.0,1232.0,1528.0,1616.0,1947.0,2555.0,4357.0,5061.0,4670.0,4982.0
Fixed Assets,,23.0,120.0,118.0,114.0,199.0,298.0,324.0,427.0,1732.0,1671.0,1603.0,1823.0
CWIP,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,74.0
Investments,,64.0,52.0,128.0,198.0,146.0,14.0,76.0,159.0,220.0,245.0,249.0,186.0
Other Assets,,721.0,820.0,951.0,920.0,1182.0,1305.0,1547.0,1970.0,2404.0,3145.0,2792.0,2898.0
Total Assets,,808.0,992.0,1198.0,1232.0,1528.0,1616.0,1947.0,2555.0,4357.0,5061.0,4670.0,4982.0
Land,Fixed Assets,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Building,Fixed Assets,25.0,36.0,12.0,12.0,13.0,109.0,95.0,116.0,119.0,119.0,99.0,213.0
Plant Machinery,Fixed Assets,33.0,41.0,10.0,14.0,19.0,26.0,24.0,33.0,49.0,69.0,72.0,79.0
Equipments,Fixed Assets,11.0,12.0,3.0,4.0,5.0,6.0,6.0,6.0,8.0,9.0,7.0,9.0
Computers,Fixed Assets,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0
Furniture n fittings,Fixed Assets,11.0,14.0,4.0,4.0,6.0,6.0,4.0,5.0,8.0,8.0,8.0,13.0
Vehicles,Fixed Assets,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
Intangible Assets,Fixed Assets,11.0,94.0,80.0,83.0,152.0,167.0,210.0,278.0,1133.0,1147.0,1174.0,1303.0
Other fixed assets,Fixed Assets,10.0,12.0,13.0,11.0,34.0,34.0,42.0,92.0,534.0,534.0,534.0,534.0
Gross Block,Fixed Assets,105.0,213.0,129.0,137.0,238.0,352.0,385.0,534.0,1876.0,1912.0,1919.0,2178.0
Accumulated Depreciation,Fixed Assets,82.0,93.0,11.0,23.0,38.0,54.0,61.0,107.0,143.0,241.0,316.0,354.0
Long term Borrowings,Borrowings,0.0,52.0,34.0,19.0,0.0,0.0,0.0,0.0,305.0,431.0,228.0,284.0
Short term Borrowings,Borrowings,24.0,119.0,2.0,0.0,16.0,86.0,90.0,38.0,189.0,243.0,214.0,284.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,95.0,121.0,97.0,91.0,74.0,155.0
Other Borrowings,Borrowings,0.0,5.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,250.0,265.0,448.0,432.0,587.0,562.0,651.0,1055.0,1295.0,1416.0,1557.0,1800.0
Advance from Customers,Other Liabilities,2.0,3.0,4.0,5.0,4.0,6.0,12.0,10.0,10.0,18.0,13.0,2.0
Other liability items,Other Liabilities,104.0,77.0,100.0,108.0,153.0,293.0,193.0,232.0,1160.0,1455.0,877.0,552.0
Inventories,Other Assets,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,98.0,47.0,37.0
Trade receivables,Other Assets,310.0,354.0,520.0,396.0,811.0,700.0,616.0,893.0,1236.0,1605.0,1741.0,1849.0
Cash Equivalents,Other Assets,200.0,295.0,253.0,347.0,199.0,396.0,677.0,770.0,730.0,865.0,449.0,421.0
Loans n Advances,Other Assets,3.0,8.0,6.0,6.0,5.0,6.0,4.0,10.0,18.0,61.0,17.0,24.0
Other asset items,Other Assets,200.0,152.0,172.0,170.0,166.0,203.0,250.0,298.0,391.0,516.0,536.0,566.0
