,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,42.0,42.0,42.0,42.0,42.0,41.0,41.0,40.0,40.0,40.0,40.0,40.0
Reserves,,879.0,1013.0,1104.0,1434.0,1682.0,1816.0,2033.0,2128.0,2376.0,2670.0,2839.0,3151.0
Borrowings,,880.0,940.0,801.0,432.0,74.0,13.0,18.0,16.0,35.0,147.0,403.0,603.0
Other Liabilities,,388.0,471.0,534.0,597.0,499.0,488.0,470.0,561.0,680.0,745.0,825.0,852.0
Total Liabilities,,2190.0,2466.0,2480.0,2506.0,2297.0,2358.0,2562.0,2745.0,3131.0,3602.0,4107.0,4647.0
Fixed Assets,,1028.0,919.0,863.0,785.0,722.0,696.0,823.0,923.0,891.0,1416.0,2421.0,2612.0
CWIP,,41.0,49.0,55.0,36.0,74.0,238.0,127.0,109.0,551.0,1022.0,220.0,95.0
Investments,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,167.0,173.0,2.0,2.0,258.0
Other Assets,,1119.0,1496.0,1561.0,1684.0,1498.0,1423.0,1611.0,1545.0,1517.0,1163.0,1464.0,1682.0
Total Assets,,2190.0,2466.0,2480.0,2506.0,2297.0,2358.0,2562.0,2745.0,3131.0,3602.0,4107.0,4647.0
Land,Fixed Assets,61.53,0.0,0.0,0.0,0.0,0.0,0.0,114.29,121.75,195.4,229.29,
Building,Fixed Assets,266.54,290.49,193.99,202.4,205.52,221.59,268.98,337.01,368.82,441.87,600.62,
Estates,Fixed Assets,0.0,70.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Plant Machinery,Fixed Assets,1219.28,1237.7,694.58,724.82,735.27,743.72,895.16,948.17,948.17,1455.23,2526.3,
Equipments,Fixed Assets,4.87,17.14,4.54,4.95,5.65,10.15,10.49,12.19,13.34,16.95,19.53,
Computers,Fixed Assets,6.86,7.84,1.9,2.17,2.7,3.87,4.52,5.6,6.85,9.45,10.66,
Furniture n fittings,Fixed Assets,7.16,8.41,3.68,4.05,4.26,9.48,10.16,10.53,11.55,17.99,20.71,
Railway sidings,Fixed Assets,0.0,0.0,0.0,0.0,15.57,35.64,38.92,38.92,63.34,63.34,63.34,
Vehicles,Fixed Assets,33.21,40.13,18.23,26.35,31.06,39.28,47.55,119.28,142.13,137.44,188.15,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88
Other fixed assets,Fixed Assets,12.98,1.67,87.42,90.88,96.06,103.32,109.8,21.26,29.18,29.56,37.15,
Gross Block,Fixed Assets,1612.43,1673.81,1004.34,1055.62,1096.09,1167.05,1385.58,1607.25,1705.13,2367.23,3695.75,
Accumulated Depreciation,Fixed Assets,584.46,754.68,141.11,270.89,373.77,470.92,562.62,683.77,814.19,951.3,1275.21,
Long term Borrowings,Borrowings,502.0,384.0,372.0,199.0,2.0,1.0,0.0,0.0,0.0,72.0,293.0,493.0
Short term Borrowings,Borrowings,189.0,365.0,301.0,133.0,50.0,10.0,15.0,5.0,26.0,58.0,97.0,93.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,9.0,17.0,13.0,17.0
Other Borrowings,Borrowings,189.0,191.0,129.0,101.0,22.0,2.0,0.0,-0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,48.0,53.0,57.0,62.0,68.0,70.0,0.0,0.0,0.0,0.0,-0.0,-3.0
Trade Payables,Other Liabilities,77.0,140.0,94.0,189.0,125.0,96.0,98.0,212.0,277.0,219.0,233.0,257.0
Advance from Customers,Other Liabilities,12.0,22.0,18.0,17.0,13.0,19.0,12.0,24.0,11.0,14.0,19.0,
Other liability items,Other Liabilities,251.0,255.0,366.0,329.0,293.0,303.0,359.0,324.0,391.0,512.0,574.0,598.0
Inventories,Other Assets,109.0,209.0,161.0,295.0,277.0,257.0,235.0,195.0,374.0,335.0,446.0,466.0
Trade receivables,Other Assets,310.0,449.0,138.0,146.0,144.0,122.0,132.0,129.0,105.0,151.0,200.0,242.0
Cash Equivalents,Other Assets,20.0,24.0,20.0,20.0,211.0,284.0,472.0,385.0,312.0,97.0,52.0,125.0
Loans n Advances,Other Assets,18.0,12.0,46.0,59.0,89.0,80.0,118.0,45.0,27.0,13.0,11.0,44.0
Other asset items,Other Assets,662.0,802.0,1196.0,1164.0,778.0,680.0,655.0,792.0,700.0,566.0,755.0,806.0
