,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,79.0,79.0,80.0,80.0,81.0,81.0,79.0,80.0,80.0,80.0,98.0,98.0
Reserves,,1008.0,676.0,800.0,1095.0,1639.0,1839.0,1908.0,1875.0,2011.0,1943.0,1892.0,2170.0
Borrowings,,5725.0,1085.0,1092.0,1178.0,2067.0,2577.0,2944.0,3475.0,3834.0,3376.0,1926.0,1942.0
Other Liabilities,,1568.0,775.0,938.0,1359.0,3226.0,2698.0,3124.0,3281.0,2886.0,2879.0,1530.0,2078.0
Total Liabilities,,8380.0,2614.0,2911.0,3712.0,7012.0,7195.0,8055.0,8711.0,8811.0,8278.0,5446.0,6288.0
Fixed Assets,,4055.0,1137.0,1313.0,1234.0,2468.0,3060.0,3174.0,3351.0,3246.0,3209.0,2928.0,2971.0
CWIP,,2193.0,172.0,66.0,357.0,419.0,133.0,227.0,143.0,129.0,62.0,23.0,19.0
Investments,,59.0,16.0,49.0,175.0,135.0,333.0,303.0,92.0,136.0,123.0,90.0,467.0
Other Assets,,2074.0,1289.0,1483.0,1946.0,3990.0,3669.0,4350.0,5125.0,5300.0,4884.0,2405.0,2831.0
Total Assets,,8380.0,2614.0,2911.0,3712.0,7012.0,7195.0,8055.0,8711.0,8811.0,8278.0,5446.0,6288.0
Land,Fixed Assets,83.0,93.0,98.0,103.0,163.0,127.0,128.0,133.0,165.0,167.0,168.0,175.0
Building,Fixed Assets,937.0,194.0,248.0,263.0,523.0,626.0,655.0,708.0,863.0,880.0,879.0,948.0
Plant Machinery,Fixed Assets,1569.0,1411.0,1632.0,1688.0,2666.0,3150.0,3295.0,3478.0,3723.0,3897.0,3918.0,4175.0
Equipments,Fixed Assets,2278.0,10.0,14.0,69.0,76.0,92.0,102.0,115.0,122.0,141.0,34.0,38.0
Computers,Fixed Assets,22.0,37.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,107.0
Furniture n fittings,Fixed Assets,67.0,48.0,62.0,63.0,76.0,92.0,97.0,118.0,132.0,136.0,129.0,132.0
Vehicles,Fixed Assets,7.0,7.0,9.0,11.0,12.0,14.0,12.0,16.0,16.0,14.0,10.0,9.0
Intangible Assets,Fixed Assets,15.0,164.0,163.0,163.0,221.0,265.0,450.0,464.0,422.0,424.0,363.0,399.0
Other fixed assets,Fixed Assets,18.0,25.0,38.0,41.0,72.0,294.0,305.0,525.0,260.0,269.0,226.0,250.0
Gross Block,Fixed Assets,4996.0,1989.0,2314.0,2402.0,3809.0,4659.0,5043.0,5557.0,5703.0,5928.0,5814.0,6233.0
Accumulated Depreciation,Fixed Assets,941.0,852.0,1001.0,1168.0,1341.0,1600.0,1869.0,2206.0,2457.0,2719.0,2886.0,3262.0
Long term Borrowings,Borrowings,4436.0,468.0,427.0,631.0,935.0,970.0,1256.0,1536.0,1002.0,991.0,837.0,1155.0
Short term Borrowings,Borrowings,622.0,354.0,591.0,463.0,983.0,1231.0,1583.0,1775.0,2665.0,2234.0,981.0,672.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,129.0,105.0,164.0,167.0,151.0,108.0,115.0
Preference Capital,Borrowings,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,259.0,263.0,74.0,84.0,150.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,23.0,31.0,45.0,82.0,95.0,103.0,98.0,92.0,4.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,900.0,372.0,449.0,656.0,1913.0,1430.0,1944.0,2420.0,2152.0,2178.0,1028.0,1336.0
Advance from Customers,Other Liabilities,108.0,7.0,0.0,41.0,181.0,0.0,0.0,0.0,0.0,207.0,181.0,167.0
Other liability items,Other Liabilities,537.0,364.0,445.0,580.0,1037.0,1164.0,1082.0,769.0,730.0,494.0,321.0,575.0
Inventories,Other Assets,415.0,205.0,333.0,338.0,590.0,452.0,626.0,920.0,832.0,822.0,736.0,906.0
Trade receivables,Other Assets,834.0,708.0,687.0,867.0,1355.0,1563.0,1451.0,1706.0,1822.0,1598.0,826.0,1066.0
Cash Equivalents,Other Assets,376.0,78.0,137.0,138.0,234.0,245.0,248.0,530.0,507.0,403.0,468.0,323.0
Loans n Advances,Other Assets,0.0,0.0,5.0,11.0,43.0,46.0,60.0,116.0,140.0,130.0,50.0,137.0
Other asset items,Other Assets,448.0,297.0,320.0,591.0,1768.0,1363.0,1964.0,1853.0,1999.0,1931.0,325.0,399.0
