,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,270.0,270.0,270.0,270.0,270.0,270.0,320.0,320.0,320.0,320.0,320.0,320.0
Reserves,,14048.0,11363.0,12944.0,16129.0,18035.0,19296.0,22003.0,22122.0,28468.0,32036.0,35521.0,39148.0
Borrowings,,40607.0,38849.0,48815.0,48589.0,48506.0,51936.0,46708.0,51195.0,52923.0,53689.0,62866.0,76141.0
Other Liabilities,,20260.0,19575.0,20799.0,16903.0,17262.0,18172.0,29625.0,38913.0,46386.0,53010.0,57487.0,58956.0
Total Liabilities,,75185.0,70057.0,82829.0,81892.0,84073.0,89674.0,98655.0,112550.0,128096.0,139054.0,156193.0,174564.0
Fixed Assets,,44726.0,36414.0,46595.0,44656.0,44305.0,47666.0,52179.0,57389.0,61747.0,67210.0,78374.0,87293.0
CWIP,,3323.0,1345.0,2178.0,1653.0,2576.0,1612.0,3270.0,4635.0,5376.0,11561.0,12679.0,14595.0
Investments,,3445.0,11785.0,11873.0,12429.0,13542.0,14535.0,13149.0,14160.0,16670.0,16316.0,16316.0,16575.0
Other Assets,,23692.0,20513.0,22184.0,23154.0,23651.0,25861.0,30056.0,36365.0,44303.0,43968.0,48824.0,56102.0
Total Assets,,75185.0,70057.0,82829.0,81892.0,84073.0,89674.0,98655.0,112550.0,128096.0,139054.0,156193.0,174564.0
Land,Fixed Assets,1431.0,919.0,1079.0,974.0,1032.0,2071.0,2186.0,2284.0,2672.0,3352.0,4087.0,4798.0
Building,Fixed Assets,2927.0,2696.0,2792.0,2906.0,2938.0,3058.0,3826.0,4043.0,4432.0,4503.0,5615.0,6228.0
Plant Machinery,Fixed Assets,41848.0,36484.0,44014.0,43914.0,44924.0,47425.0,48607.0,52664.0,55799.0,59919.0,68397.0,74140.0
Equipments,Fixed Assets,6129.0,4941.0,5317.0,5812.0,6364.0,6967.0,11790.0,15200.0,18485.0,22097.0,26523.0,32524.0
Furniture n fittings,Fixed Assets,127.0,133.0,137.0,122.0,120.0,118.0,134.0,144.0,167.0,187.0,207.0,212.0
Railway sidings,Fixed Assets,100.0,94.0,96.0,99.0,103.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicles,Fixed Assets,250.0,110.0,220.0,250.0,245.0,235.0,228.0,225.0,247.0,300.0,327.0,353.0
Intangible Assets,Fixed Assets,6706.0,99.0,1768.0,1666.0,1654.0,1646.0,1800.0,1864.0,1865.0,1903.0,1701.0,1698.0
Other fixed assets,Fixed Assets,5404.0,2192.0,4211.0,4265.0,4233.0,5441.0,5584.0,5876.0,6229.0,6519.0,6722.0,6959.0
Gross Block,Fixed Assets,64925.0,47667.0,59634.0,60008.0,61613.0,67064.0,74156.0,82301.0,89897.0,98781.0,113580.0,126913.0
Accumulated Depreciation,Fixed Assets,20199.0,11254.0,13040.0,15352.0,17308.0,19398.0,21976.0,24911.0,28150.0,31571.0,35205.0,39620.0
Long term Borrowings,Borrowings,32393.0,22414.0,25143.0,0.0,31139.0,32695.0,30045.0,32730.0,30708.0,37392.0,44130.0,61609.0
Short term Borrowings,Borrowings,4587.0,14589.0,16280.0,0.0,13875.0,11844.0,13126.0,14860.0,18266.0,12088.0,14016.0,9514.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,3560.0,3537.0,3605.0,3949.0,4210.0,4720.0,5019.0
Preference Capital,Borrowings,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,3627.0,1846.0,7393.0,48344.0,3491.0,3836.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,2493.0,1750.0,1869.0,2015.0,2167.0,2332.0,2927.0,3587.0,5417.0,5977.0,6765.0,8071.0
Trade Payables,Other Liabilities,5235.0,4401.0,5529.0,5610.0,5481.0,5095.0,7146.0,10460.0,7407.0,14093.0,13984.0,10786.0
Advance from Customers,Other Liabilities,377.0,220.0,413.0,559.0,485.0,782.0,1209.0,1180.0,2458.0,2197.0,1579.0,1580.0
Other liability items,Other Liabilities,12154.0,13204.0,12989.0,8718.0,9129.0,9962.0,18342.0,23687.0,31104.0,30742.0,35158.0,38518.0
Inventories,Other Assets,1844.0,1373.0,1600.0,1623.0,1706.0,1752.0,1886.0,4232.0,3943.0,4420.0,4572.0,5108.0
Trade receivables,Other Assets,5564.0,3540.0,3832.0,2789.0,4445.0,4426.0,5200.0,5980.0,6952.0,7402.0,5710.0,4424.0
Cash Equivalents,Other Assets,1483.0,663.0,954.0,1186.0,787.0,2094.0,5871.0,6641.0,11207.0,9152.0,11751.0,13644.0
Loans n Advances,Other Assets,400.0,291.0,395.0,490.0,501.0,552.0,609.0,887.0,1079.0,1134.0,673.0,461.0
Other asset items,Other Assets,14400.0,14644.0,15402.0,17066.0,16211.0,17037.0,16491.0,18627.0,21123.0,21861.0,26118.0,32465.0
