,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Reserves,,2123.0,2394.0,2515.0,2692.0,2992.0,3005.0,3229.0,3470.0,3846.0,4417.0,4914.0,5527.0
Borrowings,,688.0,195.0,136.0,234.0,240.0,230.0,328.0,368.0,831.0,1277.0,1718.0,2353.0
Other Liabilities,,3255.0,2554.0,2371.0,2980.0,3535.0,2693.0,2921.0,3598.0,4137.0,4424.0,4728.0,5339.0
Total Liabilities,,6089.0,5166.0,5044.0,5929.0,6790.0,5951.0,6500.0,7458.0,8836.0,10141.0,11382.0,13242.0
Fixed Assets,,1431.0,827.0,811.0,973.0,1312.0,1283.0,1242.0,1195.0,1248.0,1906.0,2806.0,3048.0
CWIP,,43.0,60.0,141.0,103.0,40.0,56.0,24.0,44.0,434.0,525.0,563.0,1442.0
Investments,,822.0,1050.0,1083.0,1472.0,829.0,875.0,234.0,1477.0,1626.0,1765.0,1699.0,1784.0
Other Assets,,3793.0,3228.0,3009.0,3381.0,4609.0,3737.0,4999.0,4742.0,5528.0,5945.0,6315.0,6969.0
Total Assets,,6089.0,5166.0,5044.0,5929.0,6790.0,5951.0,6500.0,7458.0,8836.0,10141.0,11382.0,13242.0
Land,Fixed Assets,95.0,90.0,88.0,92.0,137.0,171.0,173.0,172.0,194.0,194.0,208.0,274.0
Building,Fixed Assets,651.0,398.0,417.0,531.0,805.0,794.0,800.0,804.0,789.0,822.0,953.0,1003.0
Plant Machinery,Fixed Assets,876.0,553.0,574.0,676.0,836.0,802.0,839.0,854.0,943.0,1670.0,2362.0,2651.0
Equipments,Fixed Assets,41.0,38.0,39.0,42.0,47.0,45.0,45.0,42.0,43.0,42.0,47.0,50.0
Computers,Fixed Assets,60.0,53.0,55.0,51.0,55.0,60.0,69.0,74.0,88.0,92.0,103.0,113.0
Furniture n fittings,Fixed Assets,42.0,38.0,39.0,38.0,42.0,40.0,40.0,38.0,37.0,38.0,42.0,44.0
Vehicles,Fixed Assets,19.0,16.0,12.0,12.0,14.0,20.0,23.0,23.0,24.0,29.0,33.0,37.0
Intangible Assets,Fixed Assets,218.0,203.0,234.0,237.0,234.0,247.0,255.0,248.0,252.0,250.0,383.0,385.0
Other fixed assets,Fixed Assets,49.0,48.0,57.0,62.0,66.0,76.0,85.0,97.0,99.0,90.0,138.0,146.0
Gross Block,Fixed Assets,2051.0,1438.0,1515.0,1741.0,2236.0,2255.0,2328.0,2352.0,2469.0,3228.0,4268.0,4703.0
Accumulated Depreciation,Fixed Assets,620.0,611.0,705.0,769.0,924.0,972.0,1086.0,1157.0,1221.0,1322.0,1463.0,1656.0
Long term Borrowings,Borrowings,494.0,34.0,46.0,53.0,35.0,33.0,22.0,61.0,423.0,789.0,1162.0,1616.0
Short term Borrowings,Borrowings,127.0,138.0,85.0,164.0,185.0,178.0,295.0,294.0,388.0,466.0,532.0,672.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,20.0,21.0,24.0,65.0
Other Borrowings,Borrowings,66.0,23.0,4.0,16.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,29.0
Trade Payables,Other Liabilities,1063.0,948.0,1004.0,1039.0,1371.0,960.0,1138.0,1460.0,1498.0,1533.0,1693.0,2057.0
Advance from Customers,Other Liabilities,1032.0,600.0,596.0,1205.0,1458.0,893.0,888.0,1175.0,1301.0,1261.0,1469.0,1900.0
Other liability items,Other Liabilities,1082.0,1006.0,770.0,736.0,706.0,840.0,894.0,963.0,1336.0,1630.0,1560.0,1353.0
Inventories,Other Assets,431.0,290.0,283.0,367.0,509.0,455.0,405.0,727.0,756.0,765.0,717.0,910.0
Trade receivables,Other Assets,1776.0,1334.0,1034.0,1243.0,1378.0,1386.0,1237.0,1424.0,1762.0,2116.0,2003.0,2205.0
Cash Equivalents,Other Assets,384.0,298.0,221.0,294.0,369.0,481.0,1939.0,954.0,1132.0,975.0,1147.0,1191.0
Loans n Advances,Other Assets,50.0,122.0,97.0,163.0,224.0,186.0,170.0,248.0,323.0,306.0,229.0,298.0
Other asset items,Other Assets,1152.0,1185.0,1374.0,1314.0,2129.0,1229.0,1248.0,1390.0,1556.0,1783.0,2219.0,2366.0
