,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,27.0,37.0,37.0,37.0,37.0,38.0,38.0,44.0,47.0,47.0,47.0,47.0
Reserves,,1302.0,1211.0,1950.0,8634.0,8856.0,1627.0,1891.0,1651.0,1666.0,2010.0,2213.0,2499.0
Borrowings,,380.0,1042.0,1404.0,425.0,361.0,762.0,612.0,598.0,539.0,418.0,465.0,539.0
Other Liabilities,,1417.0,2609.0,3575.0,3000.0,3753.0,3066.0,2194.0,2321.0,3404.0,3889.0,4303.0,4813.0
Total Liabilities,,3126.0,4899.0,6965.0,12096.0,13008.0,5492.0,4736.0,4615.0,5657.0,6364.0,7028.0,7899.0
Fixed Assets,,1200.0,1903.0,2843.0,1723.0,2403.0,2707.0,2628.0,2580.0,2576.0,2770.0,2809.0,3149.0
CWIP,,97.0,53.0,56.0,13.0,7.0,12.0,6.0,14.0,26.0,60.0,93.0,8.0
Investments,,340.0,134.0,219.0,7398.0,7417.0,100.0,130.0,129.0,106.0,134.0,134.0,287.0
Other Assets,,1489.0,2810.0,3847.0,2962.0,3180.0,2673.0,1971.0,1892.0,2948.0,3400.0,3992.0,4455.0
Total Assets,,3126.0,4899.0,6965.0,12096.0,13008.0,5492.0,4736.0,4615.0,5657.0,6364.0,7028.0,7899.0
Land,Fixed Assets,68.0,72.0,72.0,72.0,552.0,553.0,653.0,657.0,628.0,770.0,766.0,
Building,Fixed Assets,264.0,457.0,497.0,567.0,575.0,890.0,828.0,853.0,878.0,975.0,1047.0,
Plant Machinery,Fixed Assets,25.0,25.0,48.0,28.0,27.0,27.0,27.0,26.0,26.0,28.0,32.0,
Equipments,Fixed Assets,33.0,27.0,31.0,23.0,24.0,25.0,23.0,20.0,20.0,21.0,21.0,
Computers,Fixed Assets,42.0,68.0,88.0,46.0,78.0,111.0,110.0,122.0,148.0,153.0,169.0,
Furniture n fittings,Fixed Assets,101.0,92.0,115.0,136.0,158.0,173.0,172.0,170.0,175.0,184.0,186.0,
Vehicles,Fixed Assets,8.0,12.0,16.0,34.0,48.0,57.0,54.0,53.0,53.0,57.0,62.0,
Intangible Assets,Fixed Assets,845.0,1226.0,1943.0,880.0,1097.0,1177.0,1159.0,1172.0,1215.0,1224.0,1239.0,1410.0
Other fixed assets,Fixed Assets,78.0,36.0,243.0,163.0,153.0,167.0,175.0,186.0,204.0,211.0,226.0,
Gross Block,Fixed Assets,1465.0,2015.0,3052.0,1948.0,2710.0,3180.0,3201.0,3258.0,3348.0,3624.0,3748.0,
Accumulated Depreciation,Fixed Assets,264.0,112.0,209.0,225.0,307.0,473.0,573.0,679.0,771.0,855.0,939.0,
Long term Borrowings,Borrowings,102.0,569.0,738.0,231.0,241.0,188.0,117.0,128.0,143.0,108.0,99.0,55.0
Short term Borrowings,Borrowings,270.0,371.0,556.0,66.0,57.0,226.0,329.0,327.0,248.0,112.0,141.0,222.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,254.0,166.0,143.0,147.0,198.0,225.0,262.0
Preference Capital,Borrowings,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,4.0,102.0,110.0,127.0,63.0,95.0,0.0,-0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,210.0,103.0,284.0,13.0,62.0,30.0,-13.0,-40.0,-39.0,-25.0,-23.0,-23.0
Trade Payables,Other Liabilities,307.0,1072.0,1230.0,1484.0,1796.0,1419.0,788.0,998.0,1787.0,2157.0,2508.0,2814.0
Advance from Customers,Other Liabilities,223.0,358.0,473.0,568.0,582.0,369.0,330.0,281.0,561.0,642.0,754.0,
Other liability items,Other Liabilities,676.0,1076.0,1588.0,935.0,1314.0,1249.0,1089.0,1082.0,1095.0,1115.0,1064.0,2021.0
Inventories,Other Assets,3.0,4.0,9.0,1.0,16.0,23.0,18.0,22.0,30.0,40.0,36.0,50.0
Trade receivables,Other Assets,645.0,828.0,1001.0,857.0,829.0,474.0,128.0,235.0,568.0,646.0,632.0,663.0
Cash Equivalents,Other Assets,278.0,984.0,1379.0,1093.0,1034.0,1061.0,847.0,548.0,761.0,1188.0,1004.0,1094.0
Loans n Advances,Other Assets,145.0,331.0,449.0,575.0,688.0,378.0,258.0,275.0,569.0,474.0,528.0,522.0
Other asset items,Other Assets,418.0,664.0,1008.0,435.0,613.0,737.0,720.0,813.0,1020.0,1052.0,1792.0,2126.0
