,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,49.0
Reserves,,1016.0,1147.0,1304.0,1461.0,1647.0,1792.0,1880.0,2050.0,2247.0,2530.0,2869.0,4039.0
Borrowings,,804.0,746.0,722.0,777.0,840.0,890.0,863.0,906.0,900.0,829.0,732.0,733.0
Other Liabilities,,493.0,505.0,523.0,632.0,691.0,659.0,538.0,626.0,660.0,732.0,775.0,817.0
Total Liabilities,,2334.0,2420.0,2571.0,2892.0,3200.0,3364.0,3304.0,3604.0,3829.0,4114.0,4399.0,5639.0
Fixed Assets,,1154.0,1147.0,1100.0,1200.0,1279.0,1349.0,1281.0,1314.0,1383.0,1368.0,1373.0,1435.0
CWIP,,43.0,71.0,87.0,94.0,98.0,81.0,40.0,70.0,68.0,41.0,79.0,230.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0
Other Assets,,1138.0,1202.0,1384.0,1598.0,1822.0,1934.0,1983.0,2220.0,2379.0,2703.0,2943.0,3968.0
Total Assets,,2334.0,2420.0,2571.0,2892.0,3200.0,3364.0,3304.0,3604.0,3829.0,4114.0,4399.0,5639.0
Land,Fixed Assets,34.53,34.33,34.91,38.42,41.24,41.24,32.17,32.17,36.79,34.24,34.22,
Building,Fixed Assets,186.91,180.89,193.87,211.05,217.93,220.33,211.38,212.12,217.72,180.24,202.45,
Plant Machinery,Fixed Assets,1312.67,1353.99,1543.41,1751.63,1960.62,2110.44,2190.45,2343.87,2556.06,2691.88,2818.3,
Equipments,Fixed Assets,8.95,7.96,9.99,12.04,14.68,16.14,16.66,17.12,17.59,18.39,18.82,
Computers,Fixed Assets,6.21,5.71,6.53,7.88,8.68,8.89,9.16,9.43,9.66,10.26,11.12,
Furniture n fittings,Fixed Assets,23.85,22.03,22.72,24.01,25.17,25.61,25.79,25.9,25.98,26.08,26.68,
Vehicles,Fixed Assets,16.36,16.73,17.83,20.01,21.71,20.85,21.32,21.78,22.36,22.15,21.41,
Intangible Assets,Fixed Assets,121.57,125.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Other fixed assets,Fixed Assets,21.94,16.4,4.54,4.85,5.02,77.45,84.12,118.37,132.61,133.36,150.14,
Gross Block,Fixed Assets,1732.99,1763.82,1833.8,2069.89,2295.05,2520.95,2591.05,2780.76,3018.77,3116.6,3283.14,
Accumulated Depreciation,Fixed Assets,579.47,616.96,733.37,870.18,1015.98,1171.52,1309.99,1467.14,1635.98,1748.29,1910.41,
Long term Borrowings,Borrowings,265.0,196.0,258.0,330.0,318.0,331.0,262.0,253.0,246.0,165.0,147.0,149.0
Short term Borrowings,Borrowings,389.0,405.0,373.0,355.0,423.0,431.0,548.0,573.0,565.0,579.0,499.0,490.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,58.0,53.0,81.0,90.0,85.0,86.0,94.0
Other Borrowings,Borrowings,151.0,145.0,91.0,92.0,98.0,70.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,75.0,76.0,38.0,40.0,46.0,52.0,48.0,53.0,58.0,64.0,70.0,78.0
Trade Payables,Other Liabilities,314.0,323.0,346.0,437.0,475.0,444.0,324.0,385.0,406.0,444.0,451.0,446.0
Other liability items,Other Liabilities,103.0,107.0,139.0,154.0,169.0,163.0,166.0,187.0,196.0,224.0,253.0,293.0
Inventories,Other Assets,479.0,483.0,547.0,641.0,737.0,758.0,760.0,908.0,995.0,1050.0,1148.0,1328.0
Trade receivables,Other Assets,465.0,492.0,578.0,670.0,784.0,821.0,798.0,867.0,943.0,1082.0,1162.0,1452.0
Cash Equivalents,Other Assets,69.0,70.0,66.0,74.0,67.0,82.0,87.0,94.0,101.0,153.0,178.0,580.0
Loans n Advances,Other Assets,86.0,7.0,9.0,11.0,11.0,14.0,13.0,14.0,13.0,15.0,19.0,42.0
Other asset items,Other Assets,39.0,150.0,184.0,202.0,223.0,260.0,325.0,337.0,326.0,402.0,436.0,566.0
