,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,32.0,32.0,32.0,36.0,36.0,44.0,44.0,44.0
Reserves,,588.0,479.0,459.0,678.0,687.0,1771.0,1758.0,1989.0
Borrowings,,2501.0,3355.0,2734.0,2954.0,3324.0,2199.0,2088.0,2755.0
Other Liabilities,,1492.0,1524.0,1644.0,1986.0,2070.0,1757.0,1836.0,2411.0
Total Liabilities,,4612.0,5390.0,4868.0,5654.0,6117.0,5771.0,5726.0,7200.0
Fixed Assets,,2019.0,2021.0,1987.0,2141.0,2296.0,2350.0,2165.0,2866.0
CWIP,,13.0,8.0,16.0,12.0,35.0,12.0,82.0,8.0
Investments,,60.0,50.0,112.0,100.0,105.0,93.0,98.0,280.0
Other Assets,,2521.0,3310.0,2754.0,3401.0,3681.0,3316.0,3380.0,4045.0
Total Assets,,4612.0,5390.0,4868.0,5654.0,6117.0,5771.0,5726.0,7200.0
Land,Fixed Assets,55.0,21.0,21.0,21.0,21.0,21.0,34.0,
Building,Fixed Assets,998.0,1000.0,986.0,1009.0,1188.0,1279.0,1114.0,
Plant Machinery,Fixed Assets,264.0,294.0,305.0,285.0,248.0,191.0,207.0,
Equipments,Fixed Assets,13.0,16.0,20.0,25.0,32.0,42.0,40.0,
Computers,Fixed Assets,143.0,156.0,173.0,173.0,199.0,232.0,249.0,
Furniture n fittings,Fixed Assets,91.0,123.0,154.0,178.0,216.0,239.0,235.0,
Vehicles,Fixed Assets,37.0,53.0,48.0,44.0,25.0,13.0,11.0,
Intangible Assets,Fixed Assets,475.0,500.0,520.0,651.0,674.0,676.0,690.0,843.0
Other fixed assets,Fixed Assets,299.0,323.0,362.0,425.0,468.0,512.0,533.0,
Gross Block,Fixed Assets,2376.0,2486.0,2589.0,2809.0,3071.0,3204.0,3113.0,
Accumulated Depreciation,Fixed Assets,356.0,465.0,602.0,668.0,775.0,855.0,948.0,
Long term Borrowings,Borrowings,886.0,940.0,941.0,735.0,499.0,3.0,3.0,117.0
Short term Borrowings,Borrowings,603.0,1220.0,607.0,1028.0,1491.0,791.0,857.0,993.0
Lease Liabilities,Borrowings,1011.0,1195.0,1186.0,1190.0,1334.0,1405.0,1229.0,1645.0
Other Borrowings,Borrowings,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,40.0,80.0,40.0,40.0,36.0,30.0,34.0,29.0
Trade Payables,Other Liabilities,992.0,1036.0,1154.0,1453.0,1427.0,1368.0,1411.0,1788.0
Advance from Customers,Other Liabilities,8.0,12.0,10.0,21.0,16.0,16.0,11.0,
Other liability items,Other Liabilities,452.0,397.0,440.0,472.0,590.0,343.0,380.0,594.0
Inventories,Other Assets,166.0,170.0,228.0,292.0,345.0,387.0,381.0,533.0
Trade receivables,Other Assets,1225.0,1322.0,1160.0,1307.0,1228.0,1403.0,1440.0,1644.0
Cash Equivalents,Other Assets,499.0,1147.0,566.0,1005.0,1172.0,597.0,612.0,724.0
Loans n Advances,Other Assets,121.0,128.0,192.0,175.0,188.0,117.0,133.0,68.0
Other asset items,Other Assets,509.0,543.0,607.0,622.0,748.0,813.0,813.0,1075.0
