,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,28.0,24.0,259.0,259.0,259.0,317.0,362.0
Reserves,,334.0,391.0,92.0,106.0,187.0,941.0,2811.0
Borrowings,,494.0,672.0,703.0,792.0,854.0,272.0,617.0
Other Liabilities,,720.0,712.0,1183.0,1319.0,1286.0,1320.0,1846.0
Total Liabilities,,1576.0,1798.0,2237.0,2476.0,2585.0,2849.0,5636.0
Fixed Assets,,357.0,381.0,547.0,644.0,505.0,534.0,1079.0
CWIP,,11.0,67.0,4.0,18.0,28.0,14.0,19.0
Investments,,0.0,0.0,0.0,0.0,0.0,119.0,742.0
Other Assets,,1209.0,1350.0,1687.0,1814.0,2052.0,2183.0,3795.0
Total Assets,,1576.0,1798.0,2237.0,2476.0,2585.0,2849.0,5636.0
Land,Fixed Assets,0.0,58.0,0.0,83.0,78.0,0.0,0.0
Building,Fixed Assets,97.0,104.0,122.0,126.0,126.0,193.0,450.0
Plant Machinery,Fixed Assets,0.0,266.0,0.0,571.0,572.0,751.0,1116.0
Equipments,Fixed Assets,250.0,5.0,451.0,7.0,6.0,5.0,14.0
Computers,Fixed Assets,8.0,8.0,10.0,10.0,10.0,12.0,23.0
Furniture n fittings,Fixed Assets,11.0,50.0,15.0,58.0,57.0,58.0,103.0
Vehicles,Fixed Assets,5.0,6.0,6.0,5.0,5.0,6.0,11.0
Intangible Assets,Fixed Assets,0.0,1.0,1.0,2.0,2.0,2.0,2.0
Other fixed assets,Fixed Assets,93.0,33.0,142.0,42.0,43.0,51.0,68.0
Gross Block,Fixed Assets,465.0,532.0,748.0,902.0,899.0,1079.0,1787.0
Accumulated Depreciation,Fixed Assets,108.0,151.0,201.0,258.0,393.0,545.0,708.0
Long term Borrowings,Borrowings,187.0,230.0,264.0,214.0,199.0,77.0,0.0
Short term Borrowings,Borrowings,307.0,391.0,439.0,524.0,610.0,153.0,100.0
Lease Liabilities,Borrowings,0.0,51.0,0.0,54.0,46.0,41.0,517.0
Other Borrowings,Borrowings,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,495.0,498.0,750.0,446.0,647.0,826.0,1536.0
Advance from Customers,Other Liabilities,0.0,101.0,0.0,221.0,85.0,273.0,125.0
Other liability items,Other Liabilities,225.0,113.0,433.0,652.0,553.0,222.0,185.0
Inventories,Other Assets,227.0,193.0,265.0,373.0,393.0,429.0,815.0
Trade receivables,Other Assets,532.0,736.0,917.0,959.0,1185.0,1228.0,1214.0
Cash Equivalents,Other Assets,122.0,101.0,136.0,104.0,116.0,180.0,992.0
Loans n Advances,Other Assets,37.0,11.0,50.0,43.0,19.0,28.0,85.0
Other asset items,Other Assets,291.0,309.0,319.0,335.0,339.0,318.0,689.0
