,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
Reserves,,2069.0,2778.0,3274.0,3872.0,4077.0,4247.0,4960.0,5466.0,5419.0,5787.0,6480.0,6343.0
Borrowings,,122.0,271.0,171.0,142.0,315.0,219.0,261.0,361.0,651.0,744.0,892.0,992.0
Other Liabilities,,2662.0,2788.0,2991.0,3249.0,3091.0,3657.0,3402.0,3874.0,4171.0,5430.0,5702.0,7127.0
Total Liabilities,,4886.0,5869.0,6469.0,7296.0,7515.0,8156.0,8655.0,9734.0,10274.0,11994.0,13108.0,14496.0
Fixed Assets,,269.0,276.0,300.0,297.0,343.0,380.0,388.0,384.0,525.0,548.0,973.0,1080.0
CWIP,,4.0,1.0,1.0,4.0,16.0,26.0,9.0,59.0,98.0,368.0,82.0,22.0
Investments,,1094.0,1975.0,2268.0,2754.0,2386.0,2343.0,3046.0,3615.0,3109.0,3508.0,3243.0,2762.0
Other Assets,,3519.0,3617.0,3901.0,4242.0,4771.0,5406.0,5212.0,5676.0,6542.0,7571.0,8809.0,10632.0
Total Assets,,4886.0,5869.0,6469.0,7296.0,7515.0,8156.0,8655.0,9734.0,10274.0,11994.0,13108.0,14496.0
Land,Fixed Assets,34.0,29.0,29.0,29.0,30.0,35.0,35.0,35.0,82.0,86.0,91.0,92.0
Building,Fixed Assets,139.0,164.0,165.0,166.0,194.0,217.0,224.0,242.0,237.0,251.0,445.0,541.0
Plant Machinery,Fixed Assets,156.0,153.0,153.0,150.0,170.0,173.0,189.0,176.0,231.0,254.0,494.0,562.0
Equipments,Fixed Assets,69.0,73.0,64.0,73.0,73.0,84.0,88.0,90.0,95.0,112.0,128.0,140.0
Furniture n fittings,Fixed Assets,25.0,28.0,29.0,28.0,29.0,31.0,34.0,33.0,34.0,35.0,42.0,48.0
Vehicles,Fixed Assets,19.0,19.0,18.0,18.0,17.0,19.0,17.0,18.0,19.0,21.0,21.0,22.0
Intangible Assets,Fixed Assets,90.0,83.0,83.0,83.0,82.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0
Other fixed assets,Fixed Assets,43.0,46.0,104.0,108.0,138.0,118.0,131.0,165.0,127.0,126.0,126.0,121.0
Gross Block,Fixed Assets,576.0,594.0,645.0,655.0,733.0,759.0,802.0,840.0,907.0,965.0,1428.0,1606.0
Accumulated Depreciation,Fixed Assets,266.0,356.0,289.0,301.0,377.0,392.0,429.0,440.0,382.0,418.0,455.0,526.0
Long term Borrowings,Borrowings,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,228.0,382.0,376.0
Short term Borrowings,Borrowings,117.0,271.0,171.0,142.0,315.0,209.0,251.0,343.0,595.0,485.0,481.0,591.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,10.0,9.0,18.0,35.0,30.0,29.0,26.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,16.0,27.0,29.0,32.0,35.0,36.0,36.0,38.0,42.0,34.0,27.0,23.0
Trade Payables,Other Liabilities,1541.0,1749.0,1995.0,2176.0,2374.0,2689.0,2465.0,2942.0,3013.0,3775.0,3893.0,5228.0
Advance from Customers,Other Liabilities,495.0,485.0,433.0,454.0,251.0,349.0,0.0,0.0,0.0,634.0,512.0,567.0
Other liability items,Other Liabilities,610.0,527.0,535.0,587.0,430.0,582.0,901.0,893.0,1117.0,987.0,1270.0,1310.0
Inventories,Other Assets,867.0,725.0,907.0,813.0,1091.0,1469.0,1280.0,1661.0,1592.0,2135.0,2715.0,3433.0
Trade receivables,Other Assets,1339.0,1367.0,1454.0,1570.0,1803.0,1827.0,1801.0,2110.0,2192.0,2400.0,2232.0,3035.0
Cash Equivalents,Other Assets,252.0,185.0,331.0,284.0,321.0,308.0,459.0,572.0,708.0,852.0,678.0,781.0
Loans n Advances,Other Assets,53.0,57.0,146.0,101.0,65.0,57.0,85.0,123.0,72.0,122.0,306.0,204.0
Other asset items,Other Assets,1009.0,1283.0,1062.0,1474.0,1491.0,1744.0,1588.0,1210.0,1978.0,2061.0,2878.0,3179.0
