,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,10.0,10.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Reserves,,0.0,-1.0,5.0,1.0,9.0,64.0,226.0,435.0,913.0
Borrowings,,0.0,37.0,40.0,125.0,42.0,39.0,40.0,27.0,146.0
Other Liabilities,,5.0,48.0,56.0,55.0,96.0,159.0,427.0,637.0,1294.0
Total Liabilities,,16.0,95.0,122.0,203.0,168.0,283.0,714.0,1120.0,2374.0
Fixed Assets,,4.0,32.0,30.0,155.0,73.0,74.0,157.0,198.0,272.0
CWIP,,4.0,3.0,41.0,2.0,1.0,80.0,3.0,56.0,178.0
Investments,,0.0,0.0,0.0,30.0,1.0,0.0,9.0,52.0,31.0
Other Assets,,8.0,59.0,50.0,17.0,93.0,128.0,545.0,814.0,1893.0
Total Assets,,16.0,95.0,122.0,203.0,168.0,283.0,714.0,1120.0,2374.0
Land,Fixed Assets,0.0,0.0,5.6,5.6,5.6,11.8,10.19,10.19,
Building,Fixed Assets,0.0,0.43,0.43,5.06,0.0,0.0,0.0,0.0,
Plant Machinery,Fixed Assets,0.0,0.0,0.0,0.0,0.0,66.41,148.69,194.19,
Equipments,Fixed Assets,0.01,0.01,0.01,0.01,0.01,0.09,0.1,0.12,
Computers,Fixed Assets,0.05,0.04,0.06,0.06,0.14,0.23,0.36,0.42,
Furniture n fittings,Fixed Assets,0.0,0.0,0.0,0.0,69.73,0.0,0.64,2.5,
Intangible Assets,Fixed Assets,0.0,0.69,0.7,0.7,0.01,0.01,0.01,0.01,2.81
Other fixed assets,Fixed Assets,3.68,31.5,25.29,146.54,2.38,3.16,9.31,8.32,
Gross Block,Fixed Assets,3.74,32.67,32.09,157.97,77.87,81.7,169.3,215.75,
Accumulated Depreciation,Fixed Assets,0.04,0.78,1.6,3.29,4.71,7.42,12.55,17.93,
Long term Borrowings,Borrowings,0.0,37.0,37.0,123.0,33.0,30.0,27.0,24.0,18.0
Short term Borrowings,Borrowings,0.0,0.0,3.0,2.0,9.0,8.0,13.0,3.0,63.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
Other Borrowings,Borrowings,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,30.0,31.0,32.0,-0.0,-0.0,-0.0,-0.0,-1.0
Trade Payables,Other Liabilities,0.0,0.0,7.0,6.0,58.0,75.0,298.0,234.0,772.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,1.0,9.0,7.0,62.0,135.0,
Other liability items,Other Liabilities,5.0,18.0,19.0,16.0,29.0,77.0,68.0,268.0,523.0
Inventories,Other Assets,0.0,0.0,0.0,0.0,2.0,37.0,29.0,6.0,117.0
Trade receivables,Other Assets,0.0,4.0,1.0,5.0,47.0,61.0,373.0,498.0,1172.0
Cash Equivalents,Other Assets,7.0,7.0,37.0,6.0,42.0,17.0,121.0,194.0,359.0
Loans n Advances,Other Assets,0.0,1.0,6.0,2.0,2.0,1.0,7.0,32.0,122.0
Other asset items,Other Assets,0.0,47.0,6.0,3.0,1.0,13.0,15.0,84.0,123.0
