,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,72.0,72.0,77.0,81.0,81.0
Reserves,,3362.0,3720.0,3281.0,2797.0,2619.0,2616.0,3321.0,3777.0,3282.0,3282.0,4272.0,4859.0
Borrowings,,2309.0,2677.0,4160.0,3748.0,3375.0,3582.0,2673.0,2198.0,2184.0,2356.0,2021.0,2233.0
Other Liabilities,,1213.0,1622.0,1486.0,1528.0,1764.0,1894.0,1695.0,2168.0,2113.0,1899.0,1726.0,1442.0
Total Liabilities,,6939.0,8074.0,8982.0,8128.0,7813.0,8148.0,7744.0,8215.0,7651.0,7614.0,8100.0,8615.0
Fixed Assets,,2123.0,2809.0,2773.0,2888.0,3058.0,3502.0,3343.0,3462.0,3042.0,2881.0,2736.0,4499.0
CWIP,,1007.0,1036.0,1244.0,1433.0,1445.0,1585.0,1379.0,1342.0,1539.0,1722.0,2033.0,671.0
Investments,,341.0,0.0,563.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,412.0
Other Assets,,3468.0,4228.0,4403.0,3593.0,3309.0,3060.0,3022.0,3411.0,3070.0,3011.0,2909.0,3033.0
Total Assets,,6939.0,8074.0,8982.0,8128.0,7813.0,8148.0,7744.0,8215.0,7651.0,7614.0,8100.0,8615.0
Land,Fixed Assets,132.0,432.0,430.0,431.0,434.0,447.0,355.0,358.0,266.0,20.0,262.0,
Building,Fixed Assets,416.0,465.0,480.0,533.0,629.0,1030.0,1070.0,1186.0,1088.0,645.0,1085.0,
Plant Machinery,Fixed Assets,1636.0,2014.0,2105.0,2211.0,2423.0,2501.0,2585.0,2822.0,2612.0,2609.0,2690.0,
Equipments,Fixed Assets,37.0,45.0,33.0,41.0,45.0,46.0,48.0,51.0,55.0,58.0,62.0,
Computers,Fixed Assets,65.0,79.0,81.0,91.0,95.0,91.0,94.0,97.0,103.0,95.0,97.0,
Furniture n fittings,Fixed Assets,51.0,56.0,56.0,62.0,65.0,57.0,63.0,77.0,91.0,95.0,107.0,
Vehicles,Fixed Assets,7.0,7.0,7.0,7.0,7.0,9.0,9.0,10.0,9.0,6.0,11.0,
Intangible Assets,Fixed Assets,2131.0,2238.0,2169.0,2287.0,1253.0,1344.0,1326.0,1311.0,1359.0,1357.0,1386.0,2881.0
Other fixed assets,Fixed Assets,79.0,90.0,96.0,109.0,114.0,132.0,104.0,106.0,113.0,521.0,114.0,
Gross Block,Fixed Assets,4553.0,5426.0,5456.0,5772.0,5066.0,5656.0,5656.0,6018.0,5696.0,5406.0,5814.0,
Accumulated Depreciation,Fixed Assets,2430.0,2617.0,2684.0,2884.0,2008.0,2154.0,2312.0,2556.0,2654.0,2525.0,3078.0,
Long term Borrowings,Borrowings,1185.0,1921.0,3190.0,2173.0,1891.0,1241.0,503.0,355.0,224.0,891.0,1211.0,1518.0
Short term Borrowings,Borrowings,348.0,550.0,663.0,437.0,562.0,904.0,1066.0,1507.0,1663.0,1221.0,648.0,607.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,369.0,341.0,336.0,297.0,244.0,162.0,108.0
Preference Capital,Borrowings,299.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,477.0,206.0,307.0,1138.0,687.0,1068.0,763.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,144.0,465.0,382.0,346.0,330.0,386.0,383.0,353.0,308.0,303.0,304.0,341.0
Trade Payables,Other Liabilities,553.0,638.0,534.0,602.0,840.0,895.0,578.0,921.0,867.0,766.0,592.0,563.0
Advance from Customers,Other Liabilities,0.0,11.0,19.0,10.0,20.0,33.0,25.0,51.0,66.0,97.0,178.0,
Other liability items,Other Liabilities,517.0,508.0,551.0,570.0,573.0,580.0,708.0,843.0,872.0,733.0,652.0,538.0
Inventories,Other Assets,1021.0,1102.0,1108.0,856.0,819.0,690.0,799.0,769.0,658.0,640.0,725.0,887.0
Trade receivables,Other Assets,741.0,1111.0,1034.0,962.0,1274.0,1243.0,918.0,918.0,797.0,618.0,661.0,588.0
Cash Equivalents,Other Assets,1235.0,1478.0,1604.0,1082.0,449.0,268.0,292.0,406.0,124.0,529.0,191.0,250.0
Loans n Advances,Other Assets,31.0,105.0,40.0,43.0,34.0,22.0,32.0,73.0,68.0,47.0,98.0,72.0
Other asset items,Other Assets,440.0,432.0,617.0,650.0,734.0,837.0,981.0,1245.0,1423.0,1177.0,1234.0,1236.0
