,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,340.0,574.0,470.0,335.0,736.0,1102.0,873.0,519.0,1319.0,1210.0,1242.0,775.0
Cash from Investing Activity,,-298.0,-452.0,-529.0,-610.0,-797.0,-1124.0,-1322.0,-1169.0,-1330.0,-1369.0,-1398.0,-1141.0
Cash from Financing Activity,,-23.0,-128.0,58.0,279.0,833.0,-535.0,614.0,412.0,38.0,420.0,-73.0,745.0
Net Cash Flow,,19.0,-7.0,-0.0,4.0,772.0,-557.0,165.0,-239.0,27.0,261.0,-229.0,379.0
Free Cash Flow,,45.0,124.0,-60.0,-279.0,-55.0,-23.0,-442.0,-646.0,-8.0,-96.0,-137.0,-346.0
CFO/OP,,85.0,117.0,87.0,62.0,90.0,130.0,99.0,44.0,129.0,132.0,123.0,67.0
Profit from operations,Cash from Operating Activity,467.0,575.0,654.0,697.0,966.0,976.0,977.0,1720.0,1089.0,973.0,1005.0,1187.0
Receivables,Cash from Operating Activity,-14.0,-22.0,-6.0,-146.0,-154.0,-5.0,-25.0,-498.0,422.0,79.0,44.0,-693.0
Inventory,Cash from Operating Activity,54.0,64.0,-76.0,-176.0,-74.0,-64.0,-111.0,-420.0,-97.0,-145.0,-294.0,-278.0
Payables,Cash from Operating Activity,-109.0,54.0,-5.0,58.0,129.0,359.0,129.0,-38.0,-4.0,388.0,481.0,563.0
Other WC items,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Working capital changes,Cash from Operating Activity,-69.0,96.0,-87.0,-263.0,-99.0,290.0,-7.0,-955.0,321.0,322.0,230.0,-409.0
Direct taxes,Cash from Operating Activity,-58.0,-98.0,-97.0,-99.0,-131.0,-164.0,-97.0,-246.0,-91.0,0.0,7.0,-3.0
Advance tax,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-303.0,-466.0,-530.0,-615.0,-794.0,-1153.0,-1315.0,-1165.0,-1326.0,-1328.0,-1386.0,-1124.0
Fixed assets sold,Cash from Investing Activity,8.0,17.0,0.0,1.0,3.0,28.0,0.0,0.0,0.0,22.0,7.0,3.0
Investments purchased,Cash from Investing Activity,-4.0,-4.0,0.0,0.0,-6.0,-3.0,-8.0,-5.0,-4.0,-16.0,-3.0,-20.0
Investments sold,Cash from Investing Activity,0.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,4.0
Dividends received,Cash from Investing Activity,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,0.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,-8.0,60.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,741.0,0.0,0.0,1187.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,285.0,201.0,200.0,469.0,520.0,74.0,752.0,49.0,1527.0,1292.0,703.0,1251.0
Repayment of borrowings,Cash from Financing Activity,-83.0,-170.0,-61.0,-123.0,-202.0,-377.0,-6.0,-595.0,-1221.0,-596.0,-455.0,-242.0
Interest paid fin,Cash from Financing Activity,-138.0,-117.0,-117.0,-132.0,-183.0,-125.0,-86.0,-102.0,-168.0,-211.0,-275.0,-217.0
Dividends paid,Cash from Financing Activity,-48.0,-95.0,-1.0,-10.0,-44.0,-106.0,-45.0,-127.0,-91.0,-54.0,-36.0,-36.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,-10.0,-11.0
Other financing items,Cash from Financing Activity,-39.0,53.0,37.0,75.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
