,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,8532.0,5112.0,774.0,2942.0,3236.0,2454.0,4043.0,1385.0,17626.0,10312.0,4513.0,2357.0
Cash from Investing Activity,,-11465.0,-1825.0,-1460.0,-7649.0,2487.0,-1082.0,-8611.0,-17041.0,-15459.0,-18767.0,-26417.0,-27680.0
Cash from Financing Activity,,3445.0,-3448.0,716.0,5120.0,-6158.0,-221.0,3109.0,15901.0,-1198.0,8879.0,22655.0,28484.0
Net Cash Flow,,512.0,-161.0,30.0,413.0,-436.0,1151.0,-1459.0,246.0,970.0,424.0,751.0,3161.0
Free Cash Flow,,-621.0,-778.0,-3373.0,-4352.0,1471.0,-268.0,684.0,-10260.0,2972.0,-11934.0,-25002.0,-30993.0
CFO/OP,,75.0,317.0,52.0,157.0,175.0,119.0,166.0,43.0,210.0,106.0,46.0,36.0
Profit from operations,Cash from Operating Activity,12601.0,1775.0,2344.0,3462.0,2129.0,3182.0,2355.0,4122.0,9191.0,12049.0,15445.0,15148.0
Receivables,Cash from Operating Activity,-5251.0,2818.0,-3965.0,-532.0,-2109.0,455.0,-248.0,-2939.0,-2064.0,1320.0,-1454.0,-5299.0
Inventory,Cash from Operating Activity,-165.0,-133.0,-352.0,-713.0,-369.0,173.0,343.0,-5024.0,-130.0,-2569.0,-767.0,-8340.0
Payables,Cash from Operating Activity,2549.0,81.0,3395.0,288.0,4110.0,-870.0,1985.0,7188.0,12806.0,-2846.0,-2955.0,6335.0
Loans Advances,Cash from Operating Activity,-369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,802.0,-427.0,688.0,-223.0,-219.0,-280.0,-1757.0,-1267.0,4066.0,-3661.0,-2775.0
Working capital changes,Cash from Operating Activity,-3235.0,3568.0,-1350.0,-270.0,1409.0,-461.0,1800.0,-2532.0,9345.0,-29.0,-8837.0,-10079.0
Direct taxes,Cash from Operating Activity,-834.0,-231.0,-220.0,-250.0,-211.0,-267.0,-112.0,-205.0,-910.0,-1708.0,-2095.0,-2712.0
Other operating items,Cash from Operating Activity,0.0,0.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-9557.0,-5920.0,-4167.0,-7305.0,-1772.0,-2901.0,-4139.0,-11647.0,-14725.0,-22366.0,-29879.0,-33369.0
Fixed assets sold,Cash from Investing Activity,405.0,30.0,20.0,11.0,7.0,180.0,780.0,2.0,70.0,120.0,364.0,19.0
Investments purchased,Cash from Investing Activity,-401.0,8.0,-52.0,0.0,0.0,-40.0,0.0,-32.0,-260.0,-1191.0,-1347.0,-1489.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,6.0,243.0,0.0,222.0,89.0,28.0,159.0,4751.0,10799.0
Investment income,Cash from Investing Activity,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,872.0,754.0,651.0,547.0,476.0,459.0,322.0,821.0,608.0,1127.0,1184.0,1042.0
Dividends received,Cash from Investing Activity,15.0,177.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,-40.0,-73.0,-80.0,-324.0,-253.0,-3488.0,-363.0,-1372.0,-1070.0,-1139.0,-2262.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,45.0,0.0,0.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,-2243.0,-52.0,0.0,0.0,0.0,0.0,0.0,-1484.0,-914.0,-13.0,-142.0,-713.0
Other investing items,Cash from Investing Activity,-558.0,3173.0,2157.0,-832.0,2584.0,1474.0,-2308.0,-4426.0,1105.0,4458.0,-208.0,-1708.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7700.0,0.0,4168.0,24854.0
Proceeds from borrowings,Cash from Financing Activity,30297.0,4772.0,4266.0,15069.0,3031.0,4435.0,7520.0,18364.0,30339.0,22522.0,34819.0,40870.0
Repayment of borrowings,Cash from Financing Activity,-18760.0,-6518.0,-2547.0,-8484.0,-7636.0,-3255.0,-3047.0,-270.0,-34403.0,-10717.0,-9910.0,-33623.0
Interest paid fin,Cash from Financing Activity,-7941.0,-1494.0,-1581.0,-1726.0,-1606.0,-1532.0,-1212.0,-2601.0,-3342.0,-4055.0,-5599.0,-5102.0
Dividends paid,Cash from Financing Activity,-146.0,-208.0,0.0,-53.0,-53.0,-186.0,0.0,-110.0,-114.0,-137.0,-148.0,-640.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-40.0,-18.0,-107.0,-746.0,-1495.0,-1435.0,-1713.0
Share application money,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other financing items,Cash from Financing Activity,-5.0,0.0,577.0,313.0,105.0,357.0,-135.0,626.0,-631.0,2761.0,761.0,3839.0
