,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,122.0,138.0,177.0,191.0,556.0,146.0,442.0,280.0,358.0,656.0,558.0,2028.0
Cash from Investing Activity,,15.0,-64.0,-220.0,-296.0,-155.0,-151.0,-428.0,-179.0,-931.0,-712.0,-1463.0,-2533.0
Cash from Financing Activity,,-77.0,-83.0,47.0,184.0,-143.0,-126.0,61.0,-304.0,1311.0,256.0,1283.0,1606.0
Net Cash Flow,,61.0,-9.0,4.0,80.0,258.0,-131.0,74.0,-203.0,738.0,200.0,378.0,1101.0
Free Cash Flow,,75.0,47.0,-46.0,-108.0,402.0,-24.0,83.0,-113.0,-179.0,42.0,-386.0,1212.0
CFO/OP,,93.0,97.0,101.0,94.0,167.0,78.0,127.0,69.0,113.0,96.0,69.0,167.0
Profit from operations,Cash from Operating Activity,3.0,187.0,204.0,268.0,374.0,523.0,499.0,545.0,682.0,955.0,1107.0,1529.0
Receivables,Cash from Operating Activity,-6.0,88.0,-608.0,358.0,118.0,-226.0,357.0,-644.0,-94.0,325.0,-181.0,199.0
Inventory,Cash from Operating Activity,5.0,9.0,-10.0,-4.0,-8.0,-8.0,-10.0,-38.0,-56.0,84.0,-121.0,56.0
Payables,Cash from Operating Activity,-11.0,-107.0,601.0,-296.0,107.0,-84.0,-322.0,602.0,190.0,-435.0,13.0,272.0
Other WC items,Cash from Operating Activity,1.0,3.0,19.0,-76.0,28.0,9.0,-32.0,-98.0,39.0,-44.0,-61.0,373.0
Working capital changes,Cash from Operating Activity,-12.0,-8.0,1.0,-19.0,245.0,-308.0,-7.0,-178.0,79.0,-70.0,-350.0,900.0
Interest paid,Cash from Operating Activity,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,-11.0,-40.0,-29.0,-58.0,-62.0,-69.0,-50.0,-87.0,-403.0,-229.0,-199.0,-401.0
Fixed assets purchased,Cash from Investing Activity,-47.0,-92.0,-223.0,-299.0,-154.0,-171.0,-359.0,-393.0,-538.0,-616.0,-945.0,-821.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.0,0.0,0.0,-1717.0
Investments sold,Cash from Investing Activity,26.0,22.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,22.0,196.0,0.0
Interest received,Cash from Investing Activity,8.0,5.0,5.0,2.0,4.0,16.0,26.0,27.0,43.0,117.0,185.0,234.0
Dividends received,Cash from Investing Activity,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,-4.0,-0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,329.0,73.0,180.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,0.0,0.0,-330.0
Other investing items,Cash from Investing Activity,28.0,0.0,0.0,0.0,0.0,0.0,-103.0,134.0,-374.0,-311.0,-1081.0,96.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,239.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,85.0,0.0,131.0,40.0,25.0,97.0,176.0,92.0,966.0,679.0,1230.0,1684.0
Repayment of borrowings,Cash from Financing Activity,-108.0,-30.0,0.0,0.0,-110.0,-83.0,-13.0,-126.0,-416.0,-8.0,-11.0,-2143.0
Interest paid fin,Cash from Financing Activity,-20.0,-18.0,-20.0,-31.0,-27.0,-26.0,-25.0,-13.0,-49.0,-98.0,-168.0,-113.0
Dividends paid,Cash from Financing Activity,-34.0,-36.0,-31.0,-41.0,-31.0,-87.0,-49.0,-221.0,-215.0,-238.0,-135.0,-377.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-28.0,-30.0,-36.0,-75.0,-80.0,-133.0,-137.0
Other financing items,Cash from Financing Activity,0.0,0.0,-33.0,-23.0,0.0,0.0,0.0,-0.0,1098.0,0.0,500.0,2692.0
