,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,93.0,77.0,126.0,81.0,86.0,110.0,259.0,66.0,301.0,257.0,359.0,281.0
Cash from Investing Activity,,21.0,-25.0,-9.0,-20.0,-43.0,-46.0,-48.0,-101.0,-166.0,-310.0,-323.0,-257.0
Cash from Financing Activity,,-98.0,-57.0,-70.0,-70.0,19.0,-36.0,-51.0,-44.0,-16.0,21.0,-52.0,-34.0
Net Cash Flow,,16.0,-6.0,48.0,-8.0,62.0,27.0,160.0,-79.0,120.0,-31.0,-16.0,-10.0
Free Cash Flow,,71.0,55.0,106.0,63.0,56.0,73.0,224.0,39.0,198.0,145.0,171.0,16.0
CFO/OP,,49.0,52.0,80.0,62.0,76.0,102.0,188.0,49.0,115.0,102.0,134.0,87.0
Profit from operations,Cash from Operating Activity,111.0,156.0,172.0,208.0,221.0,183.0,197.0,265.0,296.0,372.0,339.0,420.0
Receivables,Cash from Operating Activity,-6.0,-76.0,-49.0,-77.0,-93.0,-44.0,112.0,-60.0,-154.0,52.0,-47.0,51.0
Inventory,Cash from Operating Activity,5.0,-38.0,-34.0,59.0,-33.0,-73.0,-78.0,55.0,-2.0,-72.0,-23.0,-3.0
Payables,Cash from Operating Activity,-55.0,63.0,45.0,-49.0,94.0,194.0,249.0,-152.0,258.0,277.0,331.0,301.0
Loans Advances,Cash from Operating Activity,0.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,0.0,4.0,-4.0,-24.0,-105.0,-189.0,16.0,-48.0,-235.0,-142.0,-391.0
Working capital changes,Cash from Operating Activity,-55.0,-72.0,-33.0,-71.0,-56.0,-27.0,94.0,-140.0,55.0,22.0,119.0,-42.0
Direct taxes,Cash from Operating Activity,37.0,-7.0,-12.0,-56.0,-79.0,-47.0,-32.0,-59.0,-49.0,-137.0,-99.0,-97.0
Fixed assets purchased,Cash from Investing Activity,-22.0,-22.0,-20.0,-18.0,-30.0,-37.0,-36.0,-28.0,-106.0,-114.0,-189.0,-266.0
Fixed assets sold,Cash from Investing Activity,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,4.0,9.0,6.0,4.0,7.0,9.0,10.0,9.0,15.0,23.0,42.0,58.0
Other investing items,Cash from Investing Activity,38.0,-12.0,6.0,-7.0,-20.0,-19.0,-23.0,-83.0,-77.0,-220.0,-177.0,-50.0
Proceeds from borrowings,Cash from Financing Activity,26.35,0.1,0.0,0.77,31.35,0.0,1.0,0.0,2.64,42.38,4.58,0.6
Repayment of borrowings,Cash from Financing Activity,-91.81,-31.25,-51.82,-61.09,-0.04,-13.74,-32.0,-15.69,-0.63,-0.11,-35.55,-10.79
Interest paid fin,Cash from Financing Activity,-32.69,-26.32,-18.32,-9.32,-9.79,-18.66,-19.04,-25.67,-13.4,-15.73,-14.81,-15.89
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,-2.01,-2.01,0.0,0.0,-2.01,-2.68,-3.08,-3.7
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-1.54,-0.68,-2.83,-2.64,-3.15,-3.57,-4.51
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,0.0,-0.41,-0.41,0.0,0.0,0.0,0.0,0.0,0.0
