,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,307.0,595.0,231.0,294.0,190.0,679.0,598.0,-40.0,868.0,903.0,1162.0,592.0
Cash from Investing Activity,,-257.0,-449.0,-16.0,-196.0,-162.0,-310.0,-351.0,101.0,-1212.0,-819.0,-203.0,-124.0
Cash from Financing Activity,,-83.0,-208.0,-91.0,-158.0,-0.0,-429.0,67.0,-267.0,395.0,-211.0,-743.0,-660.0
Net Cash Flow,,-33.0,-63.0,124.0,-60.0,27.0,-60.0,314.0,-205.0,51.0,-127.0,217.0,-193.0
Free Cash Flow,,125.0,418.0,151.0,157.0,-9.0,548.0,475.0,-165.0,675.0,693.0,1027.0,491.0
CFO/OP,,85.0,125.0,61.0,84.0,56.0,121.0,118.0,17.0,94.0,92.0,123.0,69.0
Profit from operations,Cash from Operating Activity,653.0,688.0,635.0,560.0,678.0,706.0,723.0,724.0,1324.0,1342.0,1222.0,1399.0
Receivables,Cash from Operating Activity,-12.0,33.0,-74.0,-84.0,-114.0,105.0,-22.0,-130.0,-68.0,-17.0,52.0,-337.0
Inventory,Cash from Operating Activity,-109.0,70.0,-145.0,-19.0,-233.0,8.0,23.0,-471.0,8.0,13.0,188.0,-239.0
Payables,Cash from Operating Activity,-32.0,-22.0,28.0,26.0,16.0,-39.0,30.0,32.0,65.0,-82.0,18.0,22.0
Loans Advances,Cash from Operating Activity,0.0,0.0,2.0,-0.0,2.0,-1.0,1.0,-1.0,-125.0,0.0,-4.0,-0.0
Other WC items,Cash from Operating Activity,0.0,0.0,-54.0,-27.0,21.0,50.0,28.0,-30.0,-32.0,-26.0,-58.0,23.0
Working capital changes,Cash from Operating Activity,-153.0,81.0,-243.0,-105.0,-308.0,123.0,60.0,-601.0,-152.0,-111.0,196.0,-531.0
Direct taxes,Cash from Operating Activity,-193.0,-174.0,-162.0,-161.0,-181.0,-149.0,-184.0,-163.0,-304.0,-328.0,-256.0,-276.0
Fixed assets purchased,Cash from Investing Activity,-183.0,-178.0,-81.0,-138.0,-199.0,-132.0,-124.0,-125.0,-195.0,-211.0,-137.0,-104.0
Fixed assets sold,Cash from Investing Activity,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0
Investments purchased,Cash from Investing Activity,-247.0,-458.0,-1.0,-152.0,0.0,-204.0,0.0,-226.0,-1135.0,-731.0,-736.0,-111.0
Investments sold,Cash from Investing Activity,145.0,177.0,59.0,80.0,22.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,4.0,5.0,0.0,0.0,0.0,23.0,29.0,76.0,59.0,187.0,175.0,33.0
Dividends received,Cash from Investing Activity,23.0,4.0,6.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,0.0,0.0,-0.0,6.0,2.0,2.0,-927.0,376.0,57.0,-66.0,493.0,54.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Proceeds from borrowings,Cash from Financing Activity,6.0,0.0,0.0,0.0,15.0,0.0,91.0,1.0,494.0,0.0,32.0,0.0
Repayment of borrowings,Cash from Financing Activity,-28.0,0.0,0.0,0.0,-8.0,-20.0,-15.0,-183.0,-1.0,-43.0,0.0,-485.0
Interest paid fin,Cash from Financing Activity,-4.0,-5.0,-5.0,-7.0,-7.0,-4.0,-3.0,-4.0,-17.0,-27.0,-16.0,-35.0
Dividends paid,Cash from Financing Activity,-57.0,-289.0,-44.0,-133.0,-0.0,-399.0,0.0,-76.0,-77.0,-137.0,-137.0,-136.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-5.0,-6.0,-6.0,-4.0,-4.0,-4.0,-4.0
Other financing items,Cash from Financing Activity,0.0,85.0,-42.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,-620.0,0.0
