,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,166.0,278.0,333.0,306.0,140.0,418.0,844.0
Cash from Investing Activity,,-109.0,-196.0,-205.0,-376.0,-221.0,-152.0,-702.0
Cash from Financing Activity,,-48.0,-63.0,181.0,64.0,-77.0,-134.0,-40.0
Net Cash Flow,,9.0,18.0,308.0,-6.0,-158.0,133.0,103.0
Free Cash Flow,,119.0,159.0,307.0,112.0,-156.0,154.0,637.0
CFO/OP,,116.0,85.0,81.0,98.0,51.0,86.0,126.0
Profit from operations,Cash from Operating Activity,197.0,443.0,594.0,525.0,522.0,730.0,909.0
Receivables,Cash from Operating Activity,12.0,-148.0,-72.0,52.0,-216.0,33.0,-126.0
Inventory,Cash from Operating Activity,-34.0,90.0,-23.0,-71.0,-82.0,-129.0,216.0
Payables,Cash from Operating Activity,5.0,2.0,-12.0,7.0,29.0,9.0,-35.0
Other WC items,Cash from Operating Activity,31.0,-39.0,-31.0,-92.0,8.0,-66.0,84.0
Working capital changes,Cash from Operating Activity,14.0,-94.0,-138.0,-104.0,-262.0,-152.0,139.0
Direct taxes,Cash from Operating Activity,-45.0,-71.0,-123.0,-115.0,-120.0,-159.0,-204.0
Exceptional CF items,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-47.0,-120.0,-26.0,-184.0,-117.0,-315.0,-211.0
Fixed assets sold,Cash from Investing Activity,0.0,1.0,0.0,1.0,1.0,2.0,4.0
Capital WIP,Cash from Investing Activity,0.0,0.0,0.0,-10.0,-181.0,48.0,0.0
Investments purchased,Cash from Investing Activity,-26.0,-110.0,-64.0,-226.0,0.0,0.0,-578.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,27.0,39.0,9.0
Interest received,Cash from Investing Activity,1.0,1.0,10.0,29.0,41.0,65.0,79.0
Dividends received,Cash from Investing Activity,3.0,1.0,9.0,15.0,7.0,7.0,0.0
Acquisition of companies,Cash from Investing Activity,-2.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-38.0,31.0,-135.0,-0.0,-0.0,2.0,-4.0
Proceeds from shares,Cash from Financing Activity,0.0,8.0,248.0,0.0,0.0,0.0,27.0
Proceeds from borrowings,Cash from Financing Activity,12.0,6.0,8.0,90.0,107.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-40.0,-60.0,-65.0,-1.0,0.0,-124.0,-58.0
Interest paid fin,Cash from Financing Activity,-20.0,-17.0,-10.0,-7.0,-10.0,-10.0,-7.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,-19.0,-175.0,-0.0,0.0
