,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,558.0,650.0,551.0,428.0,2358.0,860.0,776.0,595.0,666.0,696.0,763.0,867.0
Cash from Investing Activity,,-587.0,-503.0,66.0,-353.0,-1306.0,-306.0,-81.0,-121.0,-135.0,-277.0,-493.0,-607.0
Cash from Financing Activity,,-48.0,-151.0,-621.0,-55.0,-1019.0,-575.0,-717.0,-439.0,-534.0,-419.0,-271.0,-228.0
Net Cash Flow,,-77.0,-3.0,-4.0,20.0,33.0,-20.0,-22.0,34.0,-3.0,1.0,-1.0,32.0
Free Cash Flow,,54.0,127.0,120.0,-27.0,2399.0,464.0,687.0,448.0,496.0,443.0,280.0,381.0
CFO/OP,,67.0,79.0,68.0,81.0,304.0,126.0,165.0,76.0,91.0,94.0,96.0,102.0
Profit from operations,Cash from Operating Activity,1003.0,984.0,1004.0,1026.0,985.0,752.0,535.0,859.0,852.0,925.0,911.0,1006.0
Receivables,Cash from Operating Activity,-159.0,-143.0,-33.0,-842.0,855.0,-156.0,-56.0,-19.0,83.0,-105.0,-112.0,-261.0
Inventory,Cash from Operating Activity,-217.0,-205.0,-496.0,-112.0,561.0,291.0,80.0,-964.0,486.0,-262.0,-168.0,-37.0
Payables,Cash from Operating Activity,101.0,161.0,218.0,613.0,-782.0,-94.0,142.0,783.0,-945.0,127.0,280.0,309.0
Loans Advances,Cash from Operating Activity,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-11.0,-28.0,-34.0,-128.0,576.0,98.0,89.0,-26.0,276.0,145.0,-51.0,7.0
Working capital changes,Cash from Operating Activity,-314.0,-214.0,-346.0,-470.0,1211.0,139.0,255.0,-226.0,-99.0,-94.0,-51.0,19.0
Direct taxes,Cash from Operating Activity,-131.0,-119.0,-107.0,-128.0,163.0,-30.0,-14.0,-38.0,-86.0,-134.0,-97.0,-158.0
Fixed assets purchased,Cash from Investing Activity,-562.0,-583.0,-446.0,-530.0,-649.0,-415.0,-116.0,-186.0,-204.0,-278.0,-535.0,-523.0
Fixed assets sold,Cash from Investing Activity,58.0,60.0,15.0,75.0,690.0,18.0,27.0,39.0,34.0,25.0,52.0,37.0
Investments purchased,Cash from Investing Activity,-3.0,0.0,0.0,0.0,-8.0,-25.0,0.0,-0.0,-20.0,-33.0,0.0,-120.0
Investments sold,Cash from Investing Activity,0.0,-17.0,147.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0,8.0
Interest received,Cash from Investing Activity,29.0,40.0,24.0,21.0,26.0,26.0,9.0,6.0,15.0,4.0,5.0,5.0
Dividends received,Cash from Investing Activity,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,0.0,0.0
Other investing items,Cash from Investing Activity,-110.0,-4.0,324.0,80.0,-1364.0,91.0,-1.0,17.0,4.0,28.0,-29.0,-14.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,4.0,3.0,0.0,1.0,0.0,6.0,3.0,0.0,2.0,7.0
Proceeds from borrowings,Cash from Financing Activity,405.0,127.0,2622.0,3020.0,3276.0,3103.0,664.0,272.0,11.0,397.0,246.0,264.0
Repayment of borrowings,Cash from Financing Activity,0.0,158.0,-3515.0,-2753.0,-3899.0,-3348.0,-1117.0,-515.0,-361.0,-477.0,-196.0,-199.0
Interest paid fin,Cash from Financing Activity,-398.0,-358.0,-289.0,-245.0,-319.0,-229.0,-233.0,-168.0,-153.0,-151.0,-149.0,-144.0
Dividends paid,Cash from Financing Activity,-60.0,-65.0,-74.0,-81.0,-77.0,-62.0,0.0,-2.0,-4.0,-154.0,-130.0,-104.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-39.0,-30.0,-32.0,-31.0,-34.0,-44.0,-52.0
Other financing items,Cash from Financing Activity,4.0,-13.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
