,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-15162.0,-34495.0,32209.0,-38390.0,37125.0,30416.0,12633.0,28137.0,22075.0,-5555.0,44384.0,-8637.0
Cash from Investing Activity,,-7972.0,9211.0,-12458.0,-10007.0,-18674.0,-9485.0,-54288.0,-27112.0,-32351.0,-9001.0,-51178.0,-45068.0
Cash from Financing Activity,,31045.0,22495.0,-2487.0,41342.0,5643.0,8865.0,7279.0,47894.0,6641.0,22341.0,-7000.0,60358.0
Net Cash Flow,,7910.0,-2789.0,17263.0,-7055.0,24094.0,29795.0,-34375.0,48919.0,-3636.0,7785.0,-13794.0,6653.0
Free Cash Flow,,-15691.0,-35970.0,31441.0,-39233.0,36300.0,29339.0,11708.0,26736.0,20697.0,-7931.0,41951.0,-10797.0
CFO/OP,,-63.0,-109.0,180.0,-208.0,144.0,121.0,46.0,87.0,51.0,2.0,65.0,-2.0
Profit from operations,Cash from Operating Activity,14114.0,16934.0,18738.0,16969.0,20705.0,25136.0,28270.0,30412.0,39249.0,44405.0,50739.0,53516.0
Loans Advances,Cash from Operating Activity,-53689.0,-63834.0,-46540.0,-83305.0,-66702.0,-86703.0,-63518.0,-106572.0,-149553.0,-137622.0,-93763.0,-214445.0
Operating investments,Cash from Operating Activity,-9169.0,-17613.0,12693.0,-7730.0,-4155.0,24432.0,-19644.0,-24190.0,4622.0,-38129.0,-13442.0,-8200.0
Operating Deposits,Cash from Operating Activity,41703.0,36058.0,56680.0,40675.0,95088.0,91411.0,65466.0,122612.0,125161.0,121278.0,103818.0,162871.0
Other WC items,Cash from Operating Activity,-8121.0,-1500.0,-4042.0,-1717.0,-4689.0,-20824.0,4086.0,10321.0,9282.0,11745.0,5179.0,4558.0
Working capital changes,Cash from Operating Activity,-29276.0,-46889.0,18792.0,-52077.0,19542.0,8317.0,-13610.0,2171.0,-10488.0,-42728.0,1793.0,-55216.0
Direct taxes,Cash from Operating Activity,-0.0,-4540.0,-5322.0,-3283.0,-3122.0,-3037.0,-2027.0,-4446.0,-6687.0,-7231.0,-8148.0,-6936.0
Fixed assets purchased,Cash from Investing Activity,-539.0,-1494.0,-774.0,-855.0,-880.0,-1104.0,-938.0,-1409.0,-1389.0,-2385.0,-2446.0,-2210.0
Fixed assets sold,Cash from Investing Activity,10.0,19.0,7.0,12.0,55.0,27.0,14.0,7.0,12.0,9.0,13.0,50.0
Investments purchased,Cash from Investing Activity,-7384.0,0.0,-11676.0,-8809.0,-17866.0,-8582.0,-53270.0,-25830.0,-19714.0,-6382.0,-47170.0,-43757.0
Investments sold,Cash from Investing Activity,0.0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1612.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,-395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-60.0,-15.0,-15.0,40.0,17.0,174.0,-93.0,120.0,-11259.0,-243.0,37.0,849.0
Proceeds from shares,Cash from Financing Activity,481.0,305.0,328.0,8833.0,172.0,15238.0,10151.0,277.0,380.0,557.0,686.0,681.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,7183.0,0.0,0.0,49907.0,12435.0,21986.0,0.0,60677.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,-1700.0,-6070.0,-2931.0,-2377.0,-6000.0,0.0,-7513.0,-853.0
Dividends paid,Cash from Financing Activity,-1109.0,-1337.0,-1444.0,-1457.0,-27.0,-332.0,0.0,0.0,-307.0,-308.0,-309.0,-310.0
Other financing items,Cash from Financing Activity,31672.0,23526.0,-1371.0,33967.0,15.0,29.0,60.0,88.0,132.0,106.0,136.0,163.0
