,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-10731.0,-9795.0,-10922.0,-19580.0,-27076.0,-23369.0,4547.0,-33670.0,-39480.0,-65502.0,-62113.0,-55301.0
Cash from Investing Activity,,3709.0,-886.0,151.0,-922.0,-6903.0,-9948.0,-3684.0,1445.0,-13945.0,-14132.0,-7987.0,-12635.0
Cash from Financing Activity,,6839.0,11602.0,12513.0,19590.0,34535.0,34479.0,1687.0,32326.0,51016.0,82709.0,70191.0,66610.0
Net Cash Flow,,-183.0,921.0,1742.0,-911.0,555.0,1162.0,2551.0,101.0,-2409.0,3075.0,92.0,-1326.0
Free Cash Flow,,-10731.0,-9795.0,-10922.0,-19883.0,-27646.0,-24239.0,4096.0,-34420.0,-40603.0,-66811.0,-63829.0,-56619.0
CFO/OP,,-195.0,-145.0,-125.0,-162.0,-161.0,-113.0,34.0,-142.0,-117.0,-146.0,-111.0,-84.0
Profit from operations,Cash from Operating Activity,0.0,0.0,0.0,3549.0,5529.0,9600.0,5703.0,12222.0,14593.0,18236.0,25171.0,34561.0
Receivables,Cash from Operating Activity,0.0,0.0,0.0,-100.0,-581.0,-491.0,252.0,-425.0,-511.0,-2598.0,-2378.0,-1299.0
Payables,Cash from Operating Activity,0.0,0.0,0.0,1260.0,-92.0,-73.0,1142.0,65.0,1706.0,264.0,117.0,2060.0
Loans Advances,Cash from Operating Activity,0.0,0.0,0.0,-24378.0,-34684.0,-32488.0,-9007.0,-49594.0,-53635.0,-87355.0,-89190.0,-102868.0
Operating investments,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,-1409.0,6213.0
Operating borrowings,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,57.0,0.0
Other WC items,Cash from Operating Activity,0.0,0.0,0.0,2185.0,5581.0,2738.0,8579.0,7237.0,2994.0,9978.0,12525.0,13424.0
Working capital changes,Cash from Operating Activity,0.0,0.0,0.0,-21032.0,-29776.0,-30313.0,965.0,-42717.0,-49446.0,-77763.0,-80280.0,-82471.0
Direct taxes,Cash from Operating Activity,0.0,0.0,0.0,-2098.0,-2830.0,-2656.0,-2121.0,-3176.0,-4627.0,-5975.0,-7004.0,-7392.0
Other operating items,Cash from Operating Activity,-10731.0,-9795.0,-10922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,0.0,0.0,0.0,-341.0,-647.0,-879.0,-471.0,-910.0,-1220.0,-1435.0,-1864.0,-1448.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,38.0,77.0,9.0,19.0,160.0,97.0,126.0,148.0,131.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,-319723.0,-544269.0,-614784.0,-335077.0,-341682.0,-397673.0,-157405.0,-199782.0,-225505.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,315455.0,534143.0,601648.0,326905.0,338498.0,378876.0,139160.0,187385.0,208090.0
Interest received,Cash from Investing Activity,0.0,0.0,0.0,104.0,120.0,135.0,227.0,401.0,635.0,0.0,0.0,7583.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,-267.0,0.0,0.0
Other investing items,Cash from Investing Activity,3709.0,-886.0,151.0,3546.0,3673.0,3922.0,4713.0,4979.0,5432.0,5690.0,6126.0,-1484.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,4538.0,58.0,8568.0,103.0,173.0,227.0,9169.0,515.0,698.0
Proceeds from debentures,Cash from Financing Activity,0.0,0.0,0.0,8147.0,12923.0,1973.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,3644.0,16564.0,16906.0,4937.0,45869.0,74758.0,94690.0,100214.0,125221.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-7371.0,-17890.0,-36474.0,-34376.0,-39124.0,-52124.0
Proceeds from deposits,Cash from Financing Activity,0.0,0.0,0.0,3441.0,5264.0,7988.0,4246.0,4784.0,13557.0,14760.0,10527.0,0.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,-110.0,-182.0,-683.0,-82.0,-400.0,-745.0,-1183.0,-1542.0,-1848.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-112.0,-146.0,-210.0,-305.0,-316.0,-399.0,-442.0
Other financing items,Cash from Financing Activity,6839.0,11602.0,12513.0,-70.0,-92.0,-161.0,0.0,0.0,-2.0,-35.0,-0.0,-4895.0
