,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,474.0,789.0,582.0,704.0,876.0
Cash from Investing Activity,,-543.0,-194.0,-362.0,-981.0,-475.0
Cash from Financing Activity,,39.0,-530.0,-141.0,169.0,328.0
Net Cash Flow,,-30.0,66.0,79.0,-108.0,729.0
Free Cash Flow,,-31.0,555.0,130.0,-163.0,258.0
CFO/OP,,69.0,97.0,71.0,79.0,90.0
Profit from operations,Cash from Operating Activity,786.0,893.0,917.0,1041.0,1226.0
Receivables,Cash from Operating Activity,-109.0,-346.0,51.0,-363.0,-163.0
Inventory,Cash from Operating Activity,-4.0,-92.0,-44.0,-154.0,-149.0
Payables,Cash from Operating Activity,86.0,370.0,-132.0,277.0,253.0
Other WC items,Cash from Operating Activity,-241.0,25.0,-130.0,1.0,-130.0
Working capital changes,Cash from Operating Activity,-268.0,-43.0,-255.0,-239.0,-190.0
Direct taxes,Cash from Operating Activity,-44.0,-60.0,-80.0,-98.0,-161.0
Fixed assets purchased,Cash from Investing Activity,-505.0,-234.0,-452.0,-868.0,-618.0
Investments purchased,Cash from Investing Activity,-28.0,0.0,0.0,-99.0,-4.0
Investments sold,Cash from Investing Activity,0.0,21.0,62.0,0.0,1.0
Interest received,Cash from Investing Activity,5.0,12.0,27.0,42.0,46.0
Other investing items,Cash from Investing Activity,-15.0,7.0,1.0,-56.0,100.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,305.0,0.0,2074.0
Proceeds from borrowings,Cash from Financing Activity,254.0,47.0,190.0,516.0,103.0
Repayment of borrowings,Cash from Financing Activity,0.0,-327.0,-20.0,-56.0,-1546.0
Interest paid fin,Cash from Financing Activity,-216.0,-250.0,-290.0,-307.0,-232.0
Dividends paid,Cash from Financing Activity,0.0,0.0,-2.0,0.0,-49.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-19.0,0.0,0.0
Other financing items,Cash from Financing Activity,0.0,0.0,-305.0,16.0,-22.0
