,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,414.0,595.0,394.0,422.0,611.0,725.0,796.0,566.0,976.0,1591.0,1269.0,1540.0
Cash from Investing Activity,,-184.0,-259.0,-308.0,-183.0,-379.0,-223.0,-457.0,-521.0,-600.0,-398.0,-650.0,-974.0
Cash from Financing Activity,,-198.0,-368.0,-82.0,-200.0,-259.0,-479.0,-282.0,-78.0,-363.0,-1069.0,-606.0,-613.0
Net Cash Flow,,32.0,-32.0,4.0,38.0,-27.0,22.0,57.0,-33.0,13.0,124.0,14.0,-47.0
Free Cash Flow,,254.0,477.0,130.0,132.0,320.0,294.0,611.0,-193.0,232.0,1321.0,845.0,1037.0
CFO/OP,,105.0,120.0,85.0,87.0,91.0,94.0,89.0,65.0,87.0,104.0,89.0,102.0
Profit from operations,Cash from Operating Activity,524.0,659.0,742.0,827.0,946.0,1087.0,1216.0,1363.0,1543.0,1909.0,1917.0,1896.0
Receivables,Cash from Operating Activity,-49.0,-44.0,-34.0,-114.0,21.0,-43.0,-306.0,-42.0,-212.0,-103.0,-132.0,-56.0
Inventory,Cash from Operating Activity,-24.0,-39.0,-203.0,-72.0,-226.0,-45.0,-338.0,-700.0,-3.0,139.0,-183.0,-27.0
Payables,Cash from Operating Activity,15.0,132.0,92.0,194.0,46.0,63.0,433.0,314.0,-37.0,-83.0,4.0,-1.0
Loans Advances,Cash from Operating Activity,53.0,0.0,2.0,4.0,-1.0,-5.0,-30.0,-8.0,-41.0,15.0,8.0,-28.0
Other WC items,Cash from Operating Activity,16.0,65.0,16.0,-140.0,69.0,-71.0,72.0,-62.0,35.0,61.0,33.0,95.0
Working capital changes,Cash from Operating Activity,12.0,114.0,-128.0,-128.0,-92.0,-100.0,-168.0,-498.0,-259.0,30.0,-270.0,-17.0
Direct taxes,Cash from Operating Activity,-122.0,-178.0,-220.0,-277.0,-243.0,-263.0,-252.0,-299.0,-308.0,-349.0,-378.0,-339.0
Fixed assets purchased,Cash from Investing Activity,-162.0,-122.0,-269.0,-293.0,-293.0,-435.0,-186.0,-774.0,-748.0,-275.0,-429.0,-518.0
Fixed assets sold,Cash from Investing Activity,1.0,4.0,4.0,3.0,2.0,4.0,1.0,14.0,4.0,4.0,5.0,15.0
Investments purchased,Cash from Investing Activity,-758.0,-148.0,-4094.0,-1988.0,-2130.0,-3208.0,-890.0,-1063.0,-751.0,-1597.0,-1811.0,-5037.0
Investments sold,Cash from Investing Activity,720.0,0.0,4056.0,2150.0,2126.0,3297.0,869.0,1193.0,788.0,1572.0,1582.0,4461.0
Interest received,Cash from Investing Activity,15.0,12.0,5.0,6.0,18.0,17.0,14.0,23.0,13.0,16.0,24.0,21.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,2.0,15.0
Investment in group cos,Cash from Investing Activity,0.0,-6.0,-57.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,-41.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0
Other investing items,Cash from Investing Activity,0.0,0.0,46.0,-63.0,-61.0,102.0,-250.0,83.0,90.0,-120.0,-16.0,69.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Proceeds from borrowings,Cash from Financing Activity,10.0,0.0,1131.0,2578.0,3242.0,3538.0,1457.0,3114.0,8414.0,6465.0,673.0,552.0
Repayment of borrowings,Cash from Financing Activity,-24.0,-232.0,-1053.0,-2659.0,-3123.0,-3437.0,-1582.0,-2822.0,-8314.0,-7027.0,-732.0,-556.0
Interest paid fin,Cash from Financing Activity,-45.0,-27.0,-16.0,-25.0,-30.0,-31.0,-25.0,-23.0,-61.0,-72.0,-52.0,-51.0
Dividends paid,Cash from Financing Activity,-138.0,-108.0,-117.0,-205.0,-211.0,-382.0,-29.0,-272.0,-301.0,-311.0,-408.0,-443.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,-80.0,-118.0,-75.0,-76.0,-100.0,-124.0,-86.0,-115.0
Other financing items,Cash from Financing Activity,0.0,0.0,-27.0,110.0,-57.0,-49.0,-26.0,0.0,0.0,0.0,0.0,0.0
