,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,493.0,-316.0,1517.0,1258.0,5108.0,3546.0,4583.0,4464.0
Cash from Investing Activity,,-1166.0,-1076.0,-882.0,-1382.0,-2031.0,-1155.0,-2341.0,-2010.0
Cash from Financing Activity,,560.0,1864.0,-604.0,183.0,-3111.0,-2404.0,-2265.0,-2438.0
Net Cash Flow,,-114.0,473.0,30.0,59.0,-34.0,-13.0,-23.0,16.0
Free Cash Flow,,-675.0,-777.0,64.0,-76.0,4169.0,1498.0,3104.0,3026.0
CFO/OP,,-653.0,-59.0,147.0,70.0,184.0,106.0,125.0,106.0
Profit from operations,Cash from Operating Activity,82.0,480.0,1152.0,3872.0,2930.0,3494.0,4371.0,5092.0
Receivables,Cash from Operating Activity,-18.0,-104.0,66.0,-1979.0,1908.0,-298.0,326.0,-21.0
Inventory,Cash from Operating Activity,9.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payables,Cash from Operating Activity,693.0,190.0,124.0,-773.0,-77.0,3.0,-6.0,-21.0
Other WC items,Cash from Operating Activity,-186.0,-860.0,209.0,153.0,367.0,364.0,565.0,147.0
Working capital changes,Cash from Operating Activity,498.0,-774.0,399.0,-2599.0,2198.0,70.0,886.0,105.0
Direct taxes,Cash from Operating Activity,-87.0,-22.0,-34.0,-15.0,-20.0,-17.0,-675.0,-733.0
Fixed assets purchased,Cash from Investing Activity,-1173.0,-470.0,-1458.0,-1349.0,-945.0,-2058.0,-1492.0,-1448.0
Fixed assets sold,Cash from Investing Activity,5.0,9.0,5.0,15.0,6.0,11.0,14.0,10.0
Investments purchased,Cash from Investing Activity,0.0,-619.0,0.0,-47.0,-968.0,0.0,0.0,-535.0
Investments sold,Cash from Investing Activity,0.0,0.0,648.0,0.0,0.0,850.0,174.0,0.0
Interest received,Cash from Investing Activity,2.0,4.0,5.0,2.0,8.0,77.0,3.0,8.0
Other investing items,Cash from Investing Activity,0.0,0.0,-83.0,-4.0,-132.0,-35.0,-1039.0,-45.0
Proceeds from borrowings,Cash from Financing Activity,2892.0,5926.0,8534.0,6518.0,0.0,0.0,821.0,0.0
Repayment of borrowings,Cash from Financing Activity,-2116.0,-3615.0,-8550.0,-5707.0,-2443.0,-1500.0,-2000.0,-1095.0
Interest paid fin,Cash from Financing Activity,-216.0,-307.0,-341.0,-282.0,-386.0,-536.0,-540.0,-481.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-75.0,-200.0,-500.0
Financial liabilities,Cash from Financing Activity,0.0,-140.0,-247.0,-346.0,-283.0,-293.0,-346.0,-362.0
