,parent_line_item,Mar 2020,Mar 2021
Cash from Operating Activity,,123.0,129.0
Cash from Investing Activity,,-45.0,-51.0
Cash from Financing Activity,,-72.0,-28.0
Net Cash Flow,,5.0,51.0
Free Cash Flow,,107.0,80.0
CFO/OP,,80.0,63.0
Profit from operations,Cash from Operating Activity,233.0,202.0
Receivables,Cash from Operating Activity,-101.0,-24.0
Inventory,Cash from Operating Activity,2.0,-49.0
Payables,Cash from Operating Activity,32.0,5.0
Other WC items,Cash from Operating Activity,5.0,-5.0
Working capital changes,Cash from Operating Activity,-61.0,-73.0
Direct taxes,Cash from Operating Activity,-49.0,-0.0
Fixed assets purchased,Cash from Investing Activity,-16.01,-49.15
Fixed assets sold,Cash from Investing Activity,0.0,0.14
Investments purchased,Cash from Investing Activity,-70.6,-10.17
Investments sold,Cash from Investing Activity,41.24,7.84
Interest received,Cash from Investing Activity,0.14,0.62
Repayment of borrowings,Cash from Financing Activity,-65.08,-22.24
Interest paid fin,Cash from Financing Activity,-7.42,-5.25
