,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,26.0,339.0,398.0,49.0,467.0,465.0,803.0,1032.0,966.0,334.0,995.0,-137.0
Cash from Investing Activity,,-384.0,-948.0,-335.0,-1084.0,-452.0,-717.0,-748.0,-971.0,-271.0,-379.0,-590.0,-1436.0
Cash from Financing Activity,,373.0,631.0,-58.0,1032.0,45.0,321.0,30.0,33.0,-695.0,241.0,860.0,942.0
Net Cash Flow,,16.0,21.0,5.0,-4.0,60.0,69.0,84.0,94.0,1.0,195.0,1265.0,-631.0
Free Cash Flow,,-193.0,-570.0,29.0,-865.0,-133.0,-268.0,336.0,824.0,701.0,66.0,358.0,-1871.0
CFO/OP,,20.0,69.0,82.0,26.0,72.0,79.0,180.0,148.0,130.0,48.0,93.0,26.0
Profit from operations,Cash from Operating Activity,399.0,499.0,587.0,558.0,815.0,693.0,475.0,732.0,888.0,1255.0,1472.0,1451.0
Receivables,Cash from Operating Activity,22.0,-29.0,4.0,-140.0,-247.0,-10.0,-92.0,21.0,57.0,-42.0,-132.0,26.0
Inventory,Cash from Operating Activity,-260.0,-147.0,-2.0,-43.0,-665.0,-383.0,-704.0,-411.0,-1105.0,-816.0,-1357.0,-2545.0
Payables,Cash from Operating Activity,93.0,130.0,92.0,10.0,82.0,-107.0,76.0,72.0,84.0,26.0,29.0,105.0
Loans Advances,Cash from Operating Activity,-150.0,65.0,-76.0,-73.0,-14.0,18.0,-61.0,-31.0,-11.0,67.0,0.0,0.0
Operating investments,Cash from Operating Activity,0.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-27.0,-148.0,-132.0,-167.0,607.0,318.0,1163.0,753.0,1212.0,86.0,1304.0,1330.0
Working capital changes,Cash from Operating Activity,-322.0,-160.0,-113.0,-414.0,-236.0,-164.0,381.0,404.0,237.0,-679.0,-157.0,-1084.0
Direct taxes,Cash from Operating Activity,-51.0,0.0,-76.0,-95.0,-112.0,-64.0,-54.0,-104.0,-159.0,-242.0,-320.0,-505.0
Fixed assets purchased,Cash from Investing Activity,-243.0,-912.0,-369.0,-916.0,-629.0,-741.0,-495.0,-208.0,-323.0,-269.0,-639.0,-1739.0
Fixed assets sold,Cash from Investing Activity,24.0,4.0,0.0,2.0,28.0,9.0,28.0,0.0,57.0,1.0,2.0,5.0
Investments purchased,Cash from Investing Activity,-0.0,-60.0,0.0,-175.0,-237.0,-13.0,-46.0,-582.0,-74.0,-139.0,-159.0,-326.0
Investments sold,Cash from Investing Activity,49.0,19.0,26.0,0.0,397.0,36.0,12.0,178.0,548.0,148.0,174.0,309.0
Interest received,Cash from Investing Activity,8.0,10.0,11.0,18.0,17.0,15.0,9.0,21.0,45.0,99.0,161.0,166.0
Dividends received,Cash from Investing Activity,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,-183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,-13.0
Other investing items,Cash from Investing Activity,-41.0,-10.0,-4.0,-14.0,-29.0,-23.0,-256.0,-380.0,-490.0,-219.0,-128.0,163.0
Proceeds from shares,Cash from Financing Activity,2.0,2.0,3.0,494.0,1.0,1.0,88.0,503.0,8.0,8.0,1480.0,8.0
Proceeds from borrowings,Cash from Financing Activity,45.0,1626.0,868.0,2123.0,1129.0,1298.0,1852.0,1481.0,396.0,2151.0,878.0,3090.0
Repayment of borrowings,Cash from Financing Activity,0.0,-722.0,-694.0,-1323.0,-736.0,-565.0,-1509.0,-1564.0,-679.0,-1269.0,-970.0,-1600.0
Interest paid fin,Cash from Financing Activity,-131.0,-224.0,-235.0,-223.0,-315.0,-386.0,-394.0,-359.0,-384.0,-587.0,-481.0,-480.0
Dividends paid,Cash from Financing Activity,-26.0,-54.0,-0.0,-41.0,-33.0,-57.0,0.0,-28.0,-35.0,-46.0,-46.0,-61.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-0.0,-2.0,-16.0,-4.0,-16.0
Other financing items,Cash from Financing Activity,483.0,3.0,-0.0,2.0,-0.0,31.0,-0.0,-0.0,0.0,0.0,2.0,0.0
