,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,289.0,410.0,163.0,407.0,-72.0,310.0,558.0,281.0,561.0,718.0,588.0,481.0
Cash from Investing Activity,,-102.0,-146.0,-150.0,-193.0,123.0,-42.0,-444.0,-309.0,252.0,-625.0,-438.0,-143.0
Cash from Financing Activity,,-40.0,-307.0,80.0,-128.0,-116.0,-180.0,-97.0,-147.0,-636.0,-168.0,-215.0,-233.0
Net Cash Flow,,147.0,-42.0,93.0,86.0,-64.0,88.0,17.0,-176.0,176.0,-74.0,-65.0,105.0
Free Cash Flow,,199.0,286.0,-25.0,292.0,-161.0,258.0,533.0,219.0,504.0,699.0,541.0,441.0
CFO/OP,,113.0,113.0,66.0,164.0,-11.0,100.0,118.0,72.0,133.0,108.0,111.0,89.0
Profit from operations,Cash from Operating Activity,331.0,487.0,335.0,479.0,503.0,481.0,540.0,715.0,772.0,972.0,761.0,869.0
Receivables,Cash from Operating Activity,-6.0,2.0,-82.0,-83.0,-539.0,-22.0,159.0,-217.0,-244.0,-168.0,51.0,-210.0
Inventory,Cash from Operating Activity,-18.0,-15.0,-7.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,-10.0,6.0
Payables,Cash from Operating Activity,23.0,-11.0,-4.0,31.0,306.0,-27.0,-55.0,75.0,22.0,53.0,-35.0,15.0
Loans Advances,Cash from Operating Activity,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0
Other WC items,Cash from Operating Activity,23.0,29.0,-11.0,29.0,-303.0,-42.0,-20.0,-115.0,142.0,42.0,9.0,142.0
Working capital changes,Cash from Operating Activity,37.0,5.0,-105.0,-13.0,-537.0,-91.0,84.0,-256.0,-80.0,-73.0,14.0,-96.0
Direct taxes,Cash from Operating Activity,-78.0,-82.0,-67.0,-59.0,-38.0,-80.0,-67.0,-178.0,-131.0,-181.0,-188.0,-293.0
Fixed assets purchased,Cash from Investing Activity,-91.0,-124.0,-189.0,-116.0,-90.0,-54.0,-25.0,-64.0,-58.0,-26.0,-49.0,-44.0
Fixed assets sold,Cash from Investing Activity,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,7.0,2.0,4.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-66.0,-52.0,0.0,0.0,-1007.0,-1882.0,-3448.0,-5782.0,-5272.0,-5222.0
Investments sold,Cash from Investing Activity,115.0,59.0,0.0,14.0,170.0,164.0,557.0,1617.0,3736.0,5070.0,4910.0,4964.0
Interest received,Cash from Investing Activity,5.0,2.0,11.0,4.0,14.0,4.0,15.0,33.0,24.0,39.0,47.0,52.0
Dividends received,Cash from Investing Activity,5.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,50.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,-21.0,-53.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-18.0,-66.0,95.0,-43.0,4.0,-159.0,15.0,-15.0,-3.0,68.0,-76.0,102.0
