,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,44.0,465.0,326.0,68.0,-134.0,447.0,191.0,339.0,471.0,704.0,184.0,500.0
Cash from Investing Activity,,-38.0,-104.0,-20.0,-157.0,-133.0,-87.0,-51.0,-25.0,-438.0,-419.0,-233.0,-147.0
Cash from Financing Activity,,-4.0,-302.0,-222.0,40.0,244.0,-212.0,-250.0,-56.0,28.0,-123.0,-218.0,-243.0
Net Cash Flow,,1.0,59.0,83.0,-49.0,-24.0,147.0,-110.0,258.0,61.0,162.0,-267.0,110.0
Free Cash Flow,,-2.0,419.0,231.0,-103.0,-259.0,354.0,80.0,244.0,69.0,369.0,12.0,274.0
CFO/OP,,41.0,256.0,170.0,24.0,-24.0,145.0,100.0,136.0,143.0,105.0,34.0,66.0
Profit from operations,Cash from Operating Activity,116.0,213.0,290.0,291.0,338.0,301.0,217.0,306.0,422.0,793.0,927.0,1098.0
Receivables,Cash from Operating Activity,-47.0,-34.0,12.0,-33.0,-208.0,-179.0,46.0,-94.0,-478.0,-173.0,-292.0,-287.0
Inventory,Cash from Operating Activity,-174.0,-44.0,35.0,-47.0,-89.0,-43.0,-48.0,-63.0,-177.0,-107.0,44.0,-107.0
Payables,Cash from Operating Activity,183.0,478.0,-236.0,303.0,-57.0,103.0,92.0,210.0,397.0,330.0,410.0,153.0
Loans Advances,Cash from Operating Activity,-41.0,-123.0,257.0,-450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,0.0,0.0,0.0,-63.0,309.0,-94.0,38.0,408.0,-61.0,-798.0,-190.0
Working capital changes,Cash from Operating Activity,-79.0,277.0,68.0,-227.0,-417.0,189.0,-4.0,91.0,150.0,-11.0,-635.0,-432.0
Direct taxes,Cash from Operating Activity,6.0,-25.0,-33.0,4.0,-56.0,-43.0,-22.0,-59.0,-101.0,-77.0,-108.0,-166.0
Fixed assets purchased,Cash from Investing Activity,-49.0,-59.0,-96.0,-174.0,-139.0,-110.0,-145.0,-111.0,-418.0,-356.0,-228.0,-264.0
Fixed assets sold,Cash from Investing Activity,3.0,13.0,1.0,4.0,14.0,16.0,34.0,16.0,16.0,21.0,56.0,38.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,-247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,249.0,30.0,111.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,2.0,3.0,15.0,13.0,6.0,2.0,3.0,4.0,5.0,18.0,25.0,86.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,49.0,0.0,0.0,0.0
Inter corporate deposits,Cash from Investing Activity,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,6.0,-62.0,0.0,0.0,-17.0,-25.0,-54.0,-47.0,-90.0,-102.0,-86.0,-7.0
Proceeds from shares,Cash from Financing Activity,140.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,68.0,10.0,58.0,156.0,96.0,13.0,94.0,127.0,260.0,289.0,646.0,510.0
Repayment of borrowings,Cash from Financing Activity,-73.0,-175.0,-190.0,-23.0,-52.0,-71.0,-177.0,-21.0,-50.0,-153.0,-574.0,-511.0
Interest paid fin,Cash from Financing Activity,-139.0,-138.0,-90.0,-87.0,-123.0,-115.0,-128.0,-135.0,-157.0,-227.0,-247.0,-192.0
Dividends paid,Cash from Financing Activity,-1.0,-0.0,0.0,-5.0,0.0,0.0,0.0,-2.0,-8.0,-13.0,-29.0,-34.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-31.0,-33.0,-25.0,-18.0,-20.0,-13.0,-15.0
Other financing items,Cash from Financing Activity,-0.0,0.0,0.0,-1.0,-8.0,-8.0,-5.0,0.0,0.0,0.0,0.0,0.0
