,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1083.0,2292.0,609.0,2757.0,-144.0,-620.0,452.0,1026.0,5749.0,2694.0,1352.0,2945.0
Cash from Investing Activity,,-480.0,-1142.0,-1169.0,-969.0,-1273.0,-963.0,-548.0,-676.0,-403.0,-589.0,-649.0,-930.0
Cash from Financing Activity,,-609.0,-1152.0,561.0,-1788.0,1417.0,1583.0,97.0,-343.0,-5354.0,-2106.0,-519.0,-1294.0
Net Cash Flow,,-6.0,-1.0,0.0,-0.0,0.0,-0.0,1.0,7.0,-7.0,-1.0,184.0,721.0
Free Cash Flow,,596.0,1129.0,-582.0,1766.0,-1452.0,-1607.0,-116.0,326.0,5331.0,2092.0,667.0,2045.0
CFO/OP,,-931.0,172.0,48.0,150.0,-21.0,27.0,23.0,38.0,119.0,81.0,132.0,82.0
Profit from operations,Cash from Operating Activity,-88.0,1366.0,1969.0,2085.0,544.0,-2123.0,2136.0,2768.0,5902.0,4495.0,1036.0,4799.0
Receivables,Cash from Operating Activity,310.0,934.0,-295.0,-430.0,-100.0,154.0,-91.0,-207.0,-394.0,-453.0,215.0,-212.0
Inventory,Cash from Operating Activity,2885.0,578.0,-34.0,-1557.0,-101.0,2482.0,-2149.0,-3026.0,1559.0,-1858.0,1337.0,-1661.0
Payables,Cash from Operating Activity,-2016.0,-595.0,-881.0,2987.0,-428.0,-960.0,301.0,1241.0,-501.0,1415.0,-1224.0,987.0
Other WC items,Cash from Operating Activity,0.0,32.0,139.0,47.0,-25.0,-129.0,256.0,271.0,190.0,13.0,-21.0,-1.0
Working capital changes,Cash from Operating Activity,1179.0,948.0,-1072.0,1047.0,-654.0,1548.0,-1683.0,-1722.0,854.0,-882.0,308.0,-887.0
Direct taxes,Cash from Operating Activity,-7.0,-22.0,-289.0,-376.0,-34.0,-45.0,-2.0,-20.0,-1007.0,-918.0,8.0,-968.0
Fixed assets purchased,Cash from Investing Activity,-487.0,-1172.0,-1191.0,-991.0,-1308.0,-987.0,-569.0,-700.0,-418.0,-603.0,-685.0,-903.0
Fixed assets sold,Cash from Investing Activity,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-87.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment income,Cash from Investing Activity,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,1.0,16.0,16.0,16.0,29.0,18.0,14.0,18.0,7.0,10.0,17.0,27.0
Dividends received,Cash from Investing Activity,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,3.0,18.0,29.0
