,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,114.0,187.0,144.0,,,
Cash from Investing Activity,,-79.0,-149.0,24.0,,,
Cash from Financing Activity,,-0.0,-0.0,-151.0,,,
Net Cash Flow,,35.0,39.0,17.0,,,
Free Cash Flow,,-7.0,188.0,127.0,,,
CFO/OP,,111.0,123.0,76.0,,,
Profit from operations,Cash from Operating Activity,,,,82.0,219.0,291.0
Receivables,Cash from Operating Activity,,,,-166.0,-89.0,42.0
Payables,Cash from Operating Activity,,,,130.0,130.0,-115.0
Other WC items,Cash from Operating Activity,,,,115.0,1.0,0.0
Working capital changes,Cash from Operating Activity,,,,78.0,42.0,-73.0
Direct taxes,Cash from Operating Activity,,,,-47.0,-74.0,-74.0
Fixed assets purchased,Cash from Investing Activity,,,,-120.08,-1.08,-16.89
Fixed assets sold,Cash from Investing Activity,,,,0.0,1.33,0.0
Investments purchased,Cash from Investing Activity,,,,-22.09,0.0,0.0
Investments sold,Cash from Investing Activity,,,,89.66,124.37,0.0
Interest received,Cash from Investing Activity,,,,8.32,12.68,29.94
Dividends received,Cash from Investing Activity,,,,2.58,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,,,,0.0,0.0,-25.55
Acquisition of companies,Cash from Investing Activity,,,,0.0,-5.1,0.0
Other investing items,Cash from Investing Activity,,,,-37.42,-280.86,36.79
Repayment of borrowings,Cash from Financing Activity,,,,0.0,0.0,-11.0
Interest paid fin,Cash from Financing Activity,,,,0.0,0.0,-0.0
Dividends paid,Cash from Financing Activity,,,,0.0,0.0,-140.0
Financial liabilities,Cash from Financing Activity,,,,-0.0,-0.0,-0.0
