,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,108.0,167.0,49.0,183.0,60.0,765.0,1002.0,824.0,650.0,874.0,625.0,539.0
Cash from Investing Activity,,-89.0,-169.0,-353.0,-525.0,-163.0,-428.0,-396.0,-424.0,-276.0,-717.0,-1489.0,-669.0
Cash from Financing Activity,,-22.0,4.0,305.0,345.0,96.0,-338.0,-599.0,-386.0,-359.0,44.0,806.0,193.0
Net Cash Flow,,-3.0,2.0,1.0,4.0,-6.0,-1.0,7.0,14.0,15.0,200.0,-59.0,64.0
Free Cash Flow,,18.0,81.0,-192.0,-438.0,-194.0,349.0,788.0,638.0,290.0,110.0,-494.0,-658.0
CFO/OP,,87.0,110.0,47.0,103.0,28.0,93.0,99.0,73.0,70.0,101.0,77.0,74.0
Profit from operations,Cash from Operating Activity,140.0,169.0,142.0,212.0,429.0,1072.0,1280.0,1642.0,1318.0,1216.0,1120.0,1000.0
Receivables,Cash from Operating Activity,-19.0,-4.0,-45.0,-53.0,-162.0,-40.0,-162.0,-386.0,-194.0,13.0,18.0,-221.0
Inventory,Cash from Operating Activity,25.0,-16.0,-33.0,-158.0,-85.0,16.0,13.0,-198.0,-307.0,133.0,-160.0,64.0
Payables,Cash from Operating Activity,-32.0,20.0,33.0,266.0,-19.0,-113.0,70.0,87.0,163.0,-115.0,-36.0,6.0
Loans Advances,Cash from Operating Activity,12.0,-9.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-5.0,26.0,-32.0,-56.0,-46.0,27.0,37.0,32.0,-71.0,-108.0,-101.0,-121.0
Working capital changes,Cash from Operating Activity,-18.0,17.0,-77.0,-1.0,-312.0,-109.0,-41.0,-464.0,-409.0,-76.0,-280.0,-273.0
Direct taxes,Cash from Operating Activity,-14.0,-19.0,-16.0,-28.0,-56.0,-198.0,-236.0,-353.0,-260.0,-266.0,-215.0,-189.0
Fixed assets purchased,Cash from Investing Activity,-106.0,-87.0,-296.0,-622.0,-256.0,-417.0,-215.0,-187.0,-361.0,-768.0,-1136.0,-1198.0
Fixed assets sold,Cash from Investing Activity,16.0,0.0,55.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,17.0,1.0
Investments purchased,Cash from Investing Activity,2.0,-271.0,-714.0,-297.0,-108.0,-221.0,-185.0,-240.0,0.0,0.0,-364.0,0.0
Investments sold,Cash from Investing Activity,-2.0,187.0,684.0,387.0,138.0,221.0,0.0,0.0,82.0,289.0,0.0,329.0
Interest received,Cash from Investing Activity,1.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,34.0,17.0
Dividends received,Cash from Investing Activity,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0
Issue of shares on acq,Cash from Investing Activity,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,-42.0,0.0
Other investing items,Cash from Investing Activity,0.0,0.0,-66.0,4.0,60.0,-14.0,0.0,0.0,-1.0,-218.0,2.0,197.0
