,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,826.0,1038.0,1150.0,776.0,954.0,1216.0,1947.0,1912.0,2460.0,1261.0,1653.0,2738.0
Cash from Investing Activity,,-521.0,-406.0,-1140.0,-478.0,-685.0,-83.0,75.0,-2195.0,-2708.0,-269.0,-804.0,-2219.0
Cash from Financing Activity,,-303.0,-631.0,2.0,-314.0,-246.0,-1091.0,-35.0,-532.0,-797.0,-799.0,-799.0,-804.0
Net Cash Flow,,3.0,0.0,13.0,-17.0,23.0,41.0,1987.0,-816.0,-1045.0,193.0,50.0,-285.0
Free Cash Flow,,519.0,642.0,774.0,502.0,221.0,33.0,1037.0,1199.0,1987.0,258.0,215.0,221.0
CFO/OP,,88.0,91.0,100.0,82.0,77.0,91.0,90.0,66.0,124.0,74.0,83.0,105.0
Profit from operations,Cash from Operating Activity,1163.0,1454.0,1489.0,1264.0,1939.0,1879.0,2855.0,3923.0,2514.0,2244.0,3031.0,3501.0
Receivables,Cash from Operating Activity,-12.0,-142.0,-41.0,-69.0,-185.0,-207.0,-265.0,-742.0,650.0,-361.0,-582.0,-141.0
Inventory,Cash from Operating Activity,-230.0,-45.0,-112.0,-24.0,-422.0,-92.0,-281.0,-683.0,-172.0,-184.0,-52.0,-718.0
Payables,Cash from Operating Activity,80.0,2.0,147.0,-41.0,84.0,94.0,175.0,34.0,-34.0,62.0,95.0,294.0
Loans Advances,Cash from Operating Activity,-15.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,52.0,31.0,-31.0,-85.0,23.0,-13.0,108.0,20.0,-26.0,-124.0,-15.0,664.0
Working capital changes,Cash from Operating Activity,-126.0,-155.0,-37.0,-219.0,-500.0,-218.0,-264.0,-1370.0,419.0,-607.0,-554.0,99.0
Direct taxes,Cash from Operating Activity,-211.0,-261.0,-302.0,-269.0,-484.0,-445.0,-644.0,-641.0,-473.0,-376.0,-824.0,-862.0
Fixed assets purchased,Cash from Investing Activity,-307.0,-396.0,-377.0,-274.0,-733.0,-1183.0,-910.0,-713.0,-473.0,-1003.0,-1438.0,-2520.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Investments purchased,Cash from Investing Activity,-231.0,-68.0,-1254.0,-745.0,-864.0,-450.0,-100.0,-72.0,0.0,0.0,0.0,0.0
Investments sold,Cash from Investing Activity,0.0,1.0,425.0,489.0,835.0,1484.0,1074.0,0.0,0.0,0.0,22.0,0.0
Interest received,Cash from Investing Activity,3.0,10.0,5.0,5.0,7.0,6.0,57.0,67.0,205.0,300.0,295.0,284.0
Dividends received,Cash from Investing Activity,36.0,47.0,63.0,76.0,84.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-22.0,0.0,-2.0,-30.0,-14.0,23.0,-46.0,-1477.0,-2439.0,434.0,317.0,14.0
Proceeds from borrowings,Cash from Financing Activity,9.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-1.0,16.0,0.0,0.0,0.0,-61.0,-33.0,-0.0,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-1.0,-2.0,-2.0,-1.0,-4.0,-6.0,-1.0,-0.0,-0.0,-2.0,-2.0,-5.0
Dividends paid,Cash from Financing Activity,-311.0,-639.0,0.0,-319.0,-320.0,-1024.0,0.0,-531.0,-796.0,-796.0,-796.0,-797.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-2.0
Other financing items,Cash from Financing Activity,0.0,-6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
