,parent_line_item,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-101.0,-336.0,1334.0,213.0,1799.0,440.0,2044.0,159.0,-998.0,3834.0,1937.0,-3316.0
Cash from Investing Activity,,-3.0,-9.0,-405.0,-11.0,-7.0,-72.0,-43.0,-89.0,49.0,-360.0,-239.0,-185.0
Cash from Financing Activity,,108.0,168.0,-563.0,-28.0,-1706.0,908.0,-1154.0,-1317.0,60.0,-1210.0,259.0,3641.0
Net Cash Flow,,4.0,-177.0,366.0,173.0,86.0,1276.0,847.0,-1246.0,-888.0,2264.0,1957.0,140.0
Free Cash Flow,,-106.0,-344.0,1041.0,133.0,1751.0,367.0,1995.0,68.0,-1261.0,3474.0,1698.0,-3501.0
CFO/OP,,912.0,-161.0,341.0,42.0,177.0,43.0,140.0,24.0,-45.0,147.0,84.0,-132.0
Profit from operations,Cash from Operating Activity,,331.0,702.0,758.0,980.0,1136.0,1434.0,1288.0,1597.0,1337.0,701.0,581.0
Receivables,Cash from Operating Activity,,-33.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payables,Cash from Operating Activity,,26.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loans Advances,Cash from Operating Activity,,0.0,0.0,-2175.0,-3977.0,-2284.0,-3553.0,-2868.0,-6888.0,-5214.0,-5498.0,-6658.0
Operating investments,Cash from Operating Activity,,0.0,-639.0,-1967.0,1507.0,-4.0,-1374.0,-767.0,-2282.0,-2474.0,-227.0,-1058.0
Operating Deposits,Cash from Operating Activity,,0.0,1921.0,3683.0,3403.0,1782.0,5604.0,2559.0,6428.0,10710.0,6978.0,3441.0
Other WC items,Cash from Operating Activity,,-610.0,-626.0,-55.0,30.0,-56.0,87.0,105.0,340.0,-234.0,148.0,459.0
Working capital changes,Cash from Operating Activity,,-617.0,731.0,-513.0,963.0,-562.0,764.0,-971.0,-2402.0,2788.0,1401.0,-3816.0
Interest paid,Cash from Operating Activity,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,,-50.0,-99.0,-32.0,-144.0,-134.0,-154.0,-158.0,-193.0,-291.0,-164.0,-81.0
Other operating items,Cash from Operating Activity,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,,-8.0,-294.0,-81.0,-52.0,-74.0,-50.0,-93.0,-266.0,-364.0,-245.0,-193.0
Fixed assets sold,Cash from Investing Activity,,0.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,6.0,8.0
Investments purchased,Cash from Investing Activity,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments sold,Cash from Investing Activity,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,,-1.0,-112.0,69.0,37.0,-0.0,5.0,0.0,311.0,0.0,0.0,0.0
Proceeds from shares,Cash from Financing Activity,,0.0,288.0,0.0,0.0,250.0,283.0,579.0,9.0,88.0,23.0,6.0
Proceeds from borrowings,Cash from Financing Activity,,321.0,0.0,398.0,90447.0,32378.0,0.0,0.0,357.0,0.0,349.0,3636.0
Repayment of borrowings,Cash from Financing Activity,,0.0,-553.0,-427.0,-91651.0,-31216.0,-970.0,-1549.0,0.0,-1186.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,,-153.0,-298.0,0.0,-502.0,-500.0,-452.0,-335.0,-306.0,0.0,0.0,0.0
Dividends paid,Cash from Financing Activity,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,-114.0,-0.0
Other financing items,Cash from Financing Activity,,0.0,0.0,0.0,0.0,-4.0,-15.0,-11.0,0.0,0.0,0.0,0.0
