,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1445.0,2151.0,1522.0,969.0,1096.0,1481.0,1534.0,1323.0,2975.0,2808.0,2647.0,2854.0
Cash from Investing Activity,,-725.0,-440.0,-1548.0,-412.0,429.0,622.0,-882.0,-337.0,39.0,-868.0,-148.0,-860.0
Cash from Financing Activity,,-228.0,-1677.0,713.0,-1158.0,-1020.0,-1872.0,-505.0,-1189.0,-1893.0,-1330.0,-1675.0,-1769.0
Net Cash Flow,,491.0,34.0,687.0,-602.0,505.0,230.0,147.0,-203.0,1120.0,610.0,824.0,225.0
Free Cash Flow,,210.0,1588.0,-389.0,498.0,481.0,1385.0,1013.0,911.0,2776.0,2373.0,2472.0,1276.0
CFO/OP,,105.0,115.0,115.0,90.0,110.0,127.0,93.0,85.0,95.0,94.0,102.0,93.0
Profit from operations,Cash from Operating Activity,1498.0,2225.0,1608.0,1178.0,1299.0,1545.0,1441.0,1431.0,3270.0,2854.0,2741.0,3012.0
Receivables,Cash from Operating Activity,-71.0,46.0,103.0,-130.0,-101.0,14.0,144.0,-138.0,-335.0,-87.0,70.0,-117.0
Inventory,Cash from Operating Activity,-0.0,27.0,-32.0,-31.0,-42.0,2.0,7.0,-16.0,20.0,-43.0,-5.0,-32.0
Payables,Cash from Operating Activity,81.0,-26.0,-40.0,40.0,54.0,-4.0,-33.0,20.0,9.0,102.0,-117.0,54.0
Other WC items,Cash from Operating Activity,0.0,2.0,2.0,21.0,-36.0,-13.0,-23.0,16.0,10.0,30.0,42.0,19.0
Working capital changes,Cash from Operating Activity,10.0,49.0,34.0,-101.0,-125.0,-0.0,95.0,-118.0,-296.0,2.0,-11.0,-75.0
Direct taxes,Cash from Operating Activity,-63.0,-124.0,-120.0,-109.0,-79.0,-64.0,-2.0,9.0,0.0,-47.0,-83.0,-83.0
Fixed assets purchased,Cash from Investing Activity,-1551.0,-830.0,-2110.0,-528.0,-800.0,-284.0,-866.0,-574.0,-465.0,-845.0,-1175.0,-2372.0
Fixed assets sold,Cash from Investing Activity,316.0,267.0,199.0,57.0,185.0,188.0,345.0,162.0,266.0,410.0,1000.0,794.0
Investments purchased,Cash from Investing Activity,-3305.0,-3465.0,-5445.0,-2891.0,-3543.0,-3288.0,-1862.0,-1556.0,-1584.0,-1830.0,-1874.0,-2472.0
Investments sold,Cash from Investing Activity,3251.0,3956.0,5605.0,2957.0,3826.0,3064.0,1579.0,1817.0,1459.0,1586.0,1655.0,2563.0
Interest received,Cash from Investing Activity,55.0,38.0,52.0,75.0,80.0,91.0,28.0,18.0,45.0,172.0,274.0,256.0
Dividends received,Cash from Investing Activity,30.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,480.0,-408.0,151.0,-84.0,679.0,851.0,-106.0,-205.0,317.0,-361.0,-28.0,370.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,3784.0,0.0,1405.0,300.0,436.0,162.0,0.0,817.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,-2658.0,0.0,-1814.0,-1278.0,-613.0,-641.0,-1179.0,-1416.0,-908.0,-1134.0
Interest paid fin,Cash from Financing Activity,-310.0,-290.0,-302.0,-454.0,-414.0,-396.0,-311.0,-298.0,-276.0,-257.0,-236.0,-150.0
Dividends paid,Cash from Financing Activity,-135.0,-312.0,-54.0,-98.0,-109.0,-165.0,-40.0,-198.0,-360.0,-493.0,-501.0,-411.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-8.0,-9.0,-9.0,-10.0,-11.0,-11.0,-9.0
Other financing items,Cash from Financing Activity,217.0,-1074.0,-56.0,-606.0,-88.0,-324.0,31.0,-204.0,-69.0,29.0,-18.0,-64.0
