,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,482.0,345.0,657.0,1648.0,1324.0,1392.0,1131.0,1109.0,625.0,-265.0,-828.0,3445.0
Cash from Investing Activity,,-712.0,-950.0,-1001.0,-1003.0,-883.0,-774.0,-662.0,-316.0,-515.0,4387.0,58.0,-1283.0
Cash from Financing Activity,,199.0,699.0,543.0,-468.0,-739.0,-445.0,-442.0,-520.0,-77.0,-3906.0,787.0,-2709.0
Net Cash Flow,,-31.0,93.0,199.0,177.0,-297.0,174.0,28.0,272.0,32.0,215.0,17.0,-547.0
Free Cash Flow,,-56.0,-544.0,-76.0,625.0,712.0,616.0,456.0,320.0,75.0,-1162.0,-1575.0,2090.0
CFO/OP,,66.0,57.0,67.0,124.0,111.0,109.0,79.0,72.0,77.0,65.0,-6.0,92.0
Profit from operations,Cash from Operating Activity,1066.0,1435.0,2218.0,1691.0,1630.0,1732.0,2027.0,2228.0,2340.0,1579.0,2381.0,4675.0
Receivables,Cash from Operating Activity,-315.0,99.0,17.0,103.0,44.0,-293.0,-118.0,-549.0,-849.0,970.0,-1420.0,-1751.0
Inventory,Cash from Operating Activity,-354.0,-434.0,-614.0,135.0,-429.0,97.0,-134.0,-203.0,-375.0,-514.0,-451.0,-752.0
Payables,Cash from Operating Activity,403.0,-25.0,28.0,201.0,449.0,153.0,160.0,85.0,166.0,-734.0,-814.0,2705.0
Other WC items,Cash from Operating Activity,0.0,-252.0,-293.0,-130.0,71.0,170.0,-295.0,107.0,-17.0,-518.0,156.0,-649.0
Working capital changes,Cash from Operating Activity,-267.0,-612.0,-862.0,309.0,136.0,127.0,-386.0,-561.0,-1074.0,-797.0,-2529.0,-447.0
Direct taxes,Cash from Operating Activity,-318.0,-478.0,-699.0,-352.0,-443.0,-467.0,-510.0,-558.0,-641.0,-1047.0,-680.0,-783.0
Fixed assets purchased,Cash from Investing Activity,-544.0,-890.0,-749.0,-1045.0,-1239.0,-932.0,-775.0,-790.0,-608.0,-898.0,-750.0,-1358.0
Fixed assets sold,Cash from Investing Activity,6.0,2.0,15.0,22.0,627.0,156.0,99.0,2.0,57.0,2.0,2.0,2.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,-40.0,-6.0,0.0,-12.0,-0.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,5.0,0.0,460.0,5.0,7.0,2.0,0.0
Interest received,Cash from Investing Activity,1.0,8.0,18.0,9.0,3.0,4.0,3.0,9.0,23.0,17.0,42.0,42.0
Dividends received,Cash from Investing Activity,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5450.0,745.0,0.0
Other investing items,Cash from Investing Activity,-176.0,-70.0,-287.0,11.0,-259.0,-7.0,11.0,43.0,13.0,-191.0,27.0,31.0
Proceeds from shares,Cash from Financing Activity,2.0,936.0,0.0,-0.0,-0.0,-0.0,-0.0,1012.0,-0.0,1.0,-0.0,1.0
Redemption of debentures,Cash from Financing Activity,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-57.0,-153.0,-0.0,-0.0,-0.0
Proceeds from borrowings,Cash from Financing Activity,1171.0,1351.0,3496.0,682.0,681.0,845.0,1730.0,2130.0,1163.0,481.0,1341.0,-0.0
Repayment of borrowings,Cash from Financing Activity,-691.0,-1340.0,-2701.0,-869.0,-1051.0,-838.0,-1711.0,-3161.0,-533.0,-3649.0,-141.0,-2246.0
Interest paid fin,Cash from Financing Activity,-179.0,-180.0,-184.0,-213.0,-270.0,-301.0,-294.0,-251.0,-312.0,-517.0,-191.0,-187.0
Dividends paid,Cash from Financing Activity,-63.0,-68.0,-68.0,-68.0,-68.0,-69.0,-70.0,-93.0,-137.0,-118.0,-70.0,-141.0
Financial liabilities,Cash from Financing Activity,-0.0,-0.0,-0.0,-0.0,-0.0,-82.0,-97.0,-101.0,-107.0,-104.0,-122.0,-135.0
Other financing items,Cash from Financing Activity,-41.0,-0.0,-0.0,-0.0,-32.0,-0.0,-0.0,-0.0,-0.0,-0.0,-30.0,-0.0
