,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,30.0,25.0,22.0,68.0,27.0,27.0,157.0,236.0,185.0,284.0,378.0,389.0
Cash from Investing Activity,,-17.0,-17.0,-21.0,-24.0,-8.0,-50.0,-66.0,-134.0,-294.0,-32.0,-52.0,-154.0
Cash from Financing Activity,,-6.0,-6.0,-6.0,-8.0,-10.0,-5.0,105.0,-55.0,130.0,-244.0,-201.0,-44.0
Net Cash Flow,,8.0,2.0,-5.0,35.0,9.0,-28.0,196.0,47.0,21.0,8.0,125.0,191.0
Free Cash Flow,,23.0,11.0,8.0,44.0,13.0,-9.0,79.0,108.0,161.0,221.0,318.0,367.0
CFO/OP,,115.0,98.0,77.0,133.0,63.0,45.0,128.0,109.0,60.0,79.0,126.0,114.0
Profit from operations,Cash from Operating Activity,35.0,36.0,49.0,64.0,81.0,128.0,177.0,313.0,478.0,503.0,378.0,410.0
Receivables,Cash from Operating Activity,6.0,-10.0,-39.0,-2.0,-15.0,-66.0,-56.0,-132.0,-299.0,58.0,52.0,-227.0
Inventory,Cash from Operating Activity,11.0,3.0,-11.0,-13.0,-20.0,-10.0,61.0,-122.0,-62.0,152.0,69.0,-82.0
Payables,Cash from Operating Activity,-11.0,5.0,38.0,34.0,2.0,-1.0,-4.0,249.0,141.0,-335.0,-45.0,357.0
Working capital changes,Cash from Operating Activity,6.0,-2.0,-13.0,19.0,-33.0,-77.0,1.0,-5.0,-219.0,-125.0,77.0,47.0
Direct taxes,Cash from Operating Activity,-11.0,-10.0,-14.0,-15.0,-21.0,-24.0,-22.0,-72.0,-75.0,-94.0,-77.0,-69.0
Fixed assets purchased,Cash from Investing Activity,-8.0,-14.0,-14.0,-24.0,-16.0,-36.0,-79.0,-132.0,-69.0,-64.0,-63.0,-78.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,45.0,1.0,3.0,56.0
Investments purchased,Cash from Investing Activity,0.0,-2.0,-52.0,-6.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Investments sold,Cash from Investing Activity,0.0,0.0,27.0,4.0,19.0,12.0,35.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,14.0,6.0,10.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,-0.0,-86.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-11.0,-4.0,17.0,-0.0,-0.0,-27.0,-3.0,-6.0,-184.0,17.0,2.0,-138.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,5.0,0.0,11.0,153.0,131.0,566.0,250.0,149.0,341.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,-5.0,0.0,0.0,-22.0,-136.0,-340.0,-351.0,-216.0,-234.0
Interest paid fin,Cash from Financing Activity,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-8.0,-19.0,-58.0,-88.0,-79.0,-87.0
Dividends paid,Cash from Financing Activity,-4.0,-4.0,-4.0,-6.0,-7.0,-7.0,-7.0,-7.0,-9.0,-9.0,-9.0,-9.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-7.0,-10.0,-25.0,-29.0,-46.0,-50.0,-55.0
Other financing items,Cash from Financing Activity,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
