,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,63.0,319.0,245.0,516.0,362.0,375.0,310.0,479.0,736.0,290.0,107.0,518.0
Cash from Investing Activity,,-32.0,-119.0,-125.0,-405.0,-310.0,-72.0,-298.0,-234.0,-541.0,55.0,402.0,27.0
Cash from Financing Activity,,-31.0,-197.0,-125.0,-99.0,-43.0,-303.0,-16.0,-238.0,-206.0,-359.0,-491.0,-619.0
Net Cash Flow,,1.0,3.0,-4.0,12.0,9.0,0.0,-4.0,6.0,-11.0,-13.0,18.0,-73.0
Free Cash Flow,,-45.0,188.0,177.0,457.0,233.0,254.0,180.0,405.0,736.0,192.0,-53.0,215.0
CFO/OP,,43.0,122.0,119.0,226.0,122.0,84.0,75.0,98.0,115.0,54.0,32.0,57.0
Profit from operations,Cash from Operating Activity,375.0,336.0,255.0,289.0,415.0,616.0,541.0,639.0,832.0,911.0,1129.0,1678.0
Receivables,Cash from Operating Activity,-31.0,29.0,-39.0,64.0,-0.0,-42.0,-82.0,-26.0,-19.0,-72.0,-453.0,-500.0
Inventory,Cash from Operating Activity,-153.0,72.0,86.0,66.0,-56.0,-46.0,-55.0,-86.0,-102.0,-513.0,-555.0,-533.0
Payables,Cash from Operating Activity,-36.0,-46.0,0.0,170.0,133.0,-29.0,4.0,90.0,214.0,162.0,251.0,263.0
Operating investments,Cash from Operating Activity,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Working capital changes,Cash from Operating Activity,-220.0,55.0,47.0,300.0,76.0,-117.0,-133.0,-20.0,93.0,-423.0,-758.0,-770.0
Interest paid,Cash from Operating Activity,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,-94.0,-75.0,-57.0,-73.0,-129.0,-124.0,-98.0,-140.0,-189.0,-197.0,-264.0,-389.0
Other operating items,Cash from Operating Activity,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-110.0,-134.0,-69.0,-62.0,-131.0,-122.0,-132.0,-83.0,-87.0,-100.0,-168.0,-312.0
Fixed assets sold,Cash from Investing Activity,1.0,2.0,1.0,3.0,2.0,2.0,1.0,10.0,87.0,2.0,8.0,9.0
Investments purchased,Cash from Investing Activity,-966.0,-2022.0,-2608.0,-3998.0,-3981.0,-5329.0,-3908.0,-5760.0,-7034.0,-7037.0,-7600.0,-12438.0
Investments sold,Cash from Investing Activity,1041.0,2039.0,2554.0,3648.0,3787.0,5369.0,3738.0,5591.0,6488.0,6997.0,7959.0,12503.0
Interest received,Cash from Investing Activity,0.0,0.0,2.0,2.0,3.0,4.0,4.0,6.0,7.0,6.0,16.0,14.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,176.0,193.0,258.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,1.0,-5.0,-4.0,-0.0,7.0,-2.0,-2.0,2.0,-1.0,11.0,-6.0,-8.0
Proceeds from borrowings,Cash from Financing Activity,0.0,53.0,0.0,0.0,14.0,0.0,64.0,0.0,5.0,4.0,27.0,0.0
Repayment of borrowings,Cash from Financing Activity,-87.0,-74.0,-68.0,-47.0,0.0,-30.0,0.0,-45.0,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-15.0,-6.0,-3.0,-1.0,-4.0,-30.0,-29.0,-38.0,-26.0,-28.0,-16.0,-11.0
Dividends paid,Cash from Financing Activity,-42.0,-42.0,-42.0,-41.0,-41.0,-172.0,-3.0,-124.0,-145.0,-228.0,-469.0,-575.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-30.0,-25.0,-31.0,-40.0,-40.0,-33.0,-32.0
Other financing items,Cash from Financing Activity,113.0,-129.0,-12.0,-10.0,-12.0,-41.0,-23.0,0.0,0.0,-66.0,0.0,0.0
