,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-74.0,-112.0,628.0,515.0,-356.0,1450.0,-707.0,16.0,-290.0,,,
Cash from Investing Activity,,267.0,198.0,245.0,-1173.0,429.0,-1666.0,1056.0,170.0,527.0,,,
Cash from Financing Activity,,-193.0,-89.0,-153.0,-62.0,-72.0,220.0,-358.0,-187.0,-223.0,,,
Net Cash Flow,,0.0,-3.0,720.0,-720.0,0.0,4.0,-9.0,-1.0,13.0,,,
Free Cash Flow,,-124.0,-164.0,560.0,351.0,-411.0,1408.0,-755.0,-51.0,-367.0,,,
CFO/OP,,748.0,-564.0,1200.0,701.0,-204.0,1023.0,-248.0,45.0,-4.0,,,
Profit from operations,Cash from Operating Activity,,,,-11.0,41.0,41.0,88.0,154.0,165.0,257.0,461.0,817.0
Receivables,Cash from Operating Activity,,,,-4.0,-127.0,-304.0,360.0,28.0,101.0,-141.0,-65.0,-961.0
Inventory,Cash from Operating Activity,,,,-23.0,164.0,-91.0,-347.0,-384.0,-1746.0,-1066.0,432.0,150.0
Payables,Cash from Operating Activity,,,,327.0,112.0,173.0,235.0,-366.0,761.0,-180.0,169.0,668.0
Other WC items,Cash from Operating Activity,,,,-400.0,-427.0,684.0,232.0,281.0,2246.0,547.0,-805.0,-706.0
Working capital changes,Cash from Operating Activity,,,,-100.0,-279.0,462.0,481.0,-442.0,1362.0,-840.0,-269.0,-850.0
Direct taxes,Cash from Operating Activity,,,,37.0,126.0,125.0,-54.0,-68.0,-77.0,-124.0,-176.0,-257.0
Proceeds from borrowings,Cash from Financing Activity,,,,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,,,,-25.0,0.0,0.0,0.0,0.0,0.0,-246.0,-54.0,0.0
Interest paid fin,Cash from Financing Activity,,,,-8.0,-2.0,-2.0,-1.0,-1.0,-5.0,-11.0,-12.0,-16.0
Dividends paid,Cash from Financing Activity,,,,-54.0,-61.0,-150.0,-60.0,-70.0,-73.0,-99.0,-119.0,-56.0
Financial liabilities,Cash from Financing Activity,,,,0.0,0.0,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-3.0
Other financing items,Cash from Financing Activity,,,,-107.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.0
