,parent_line_item,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,,-8186.0,-8991.0,-6851.0,-16736.0,-13626.0
Cash from Investing Activity,,-49.0,-181.0,973.0,-2146.0,1159.0
Cash from Financing Activity,,8226.0,9445.0,5796.0,19134.0,12770.0
Net Cash Flow,,-8.0,273.0,-81.0,252.0,303.0
Free Cash Flow,,-8237.0,-9039.0,-6960.0,-16858.0,-13834.0
CFO/OP,,-218.0,-184.0,-99.0,-191.0,-135.0
Profit from operations,Cash from Operating Activity,-851.0,-1006.0,-1382.0,-1820.0,-2219.0
Receivables,Cash from Operating Activity,-11.0,7.0,76.0,-59.0,-100.0
Payables,Cash from Operating Activity,86.0,115.0,45.0,217.0,-56.0
Loans Advances,Cash from Operating Activity,-10095.0,-10356.0,-10463.0,-21406.0,-18721.0
Other WC items,Cash from Operating Activity,2296.0,1796.0,506.0,247.0,312.0
Working capital changes,Cash from Operating Activity,-7724.0,-8438.0,-9835.0,-21001.0,-18565.0
Interest paid,Cash from Operating Activity,0.0,0.0,4999.0,6836.0,7852.0
Direct taxes,Cash from Operating Activity,390.0,453.0,-632.0,-750.0,-695.0
Fixed assets purchased,Cash from Investing Activity,-52.0,-48.0,-111.0,-123.0,-210.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,2.0,1.0,2.0
Investments purchased,Cash from Investing Activity,-1985.0,-15491.0,-49268.0,-52917.0,-42428.0
Investments sold,Cash from Investing Activity,1987.0,15358.0,50351.0,50894.0,43795.0
Other investing items,Cash from Investing Activity,-0.0,-0.0,0.0,0.0,0.0
