,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,276.0,249.0,157.0,594.0,1488.0,739.0,716.0,-141.0,113.0,612.0,280.0,213.0
Cash from Investing Activity,,-83.0,-29.0,-1.0,-9.0,-676.0,-275.0,-417.0,-183.0,-21.0,-184.0,-207.0,-320.0
Cash from Financing Activity,,-202.0,-219.0,-153.0,-588.0,-788.0,-460.0,-310.0,344.0,-100.0,-324.0,-159.0,97.0
Net Cash Flow,,-8.0,1.0,3.0,-3.0,24.0,4.0,-11.0,20.0,-8.0,104.0,-86.0,-10.0
Free Cash Flow,,249.0,218.0,154.0,580.0,1441.0,503.0,460.0,-499.0,-364.0,244.0,102.0,-35.0
CFO/OP,,155.0,188.0,205.0,65.0,67.0,-17020.0,-1349.0,-2.0,42.0,169.0,125.0,59.0
Profit from operations,Cash from Operating Activity,186.0,147.0,92.0,1724.0,4650.0,-1.0,-30.0,542.0,651.0,415.0,398.0,537.0
Receivables,Cash from Operating Activity,113.0,25.0,-46.0,-606.0,-194.0,818.0,109.0,-299.0,104.0,-21.0,67.0,-49.0
Inventory,Cash from Operating Activity,92.0,95.0,113.0,-254.0,-797.0,303.0,425.0,-397.0,-462.0,246.0,-66.0,110.0
Payables,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,-38.0,65.0,-9.0,-7.0
Loans Advances,Cash from Operating Activity,45.0,0.0,0.0,-60.0,-689.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-154.0,-10.0,7.0,313.0,146.0,-346.0,216.0,-47.0,6.0,-57.0,-65.0,-355.0
Working capital changes,Cash from Operating Activity,96.0,110.0,75.0,-607.0,-1535.0,844.0,749.0,-555.0,-390.0,233.0,-74.0,-301.0
Direct taxes,Cash from Operating Activity,-5.0,-8.0,-10.0,-523.0,-1627.0,-104.0,-2.0,-128.0,-148.0,-35.0,-45.0,-22.0
Fixed assets purchased,Cash from Investing Activity,-31.0,-32.0,-4.0,-20.0,-49.0,-237.0,-256.0,-360.0,-480.0,-372.0,-182.0,-253.0
Fixed assets sold,Cash from Investing Activity,4.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0
Capital WIP,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Investments purchased,Cash from Investing Activity,-52.0,0.0,-0.0,0.0,-666.0,-1092.0,-140.0,-701.0,-1264.0,-587.0,-779.0,-917.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,1.0,0.0,876.0,95.0,962.0,1665.0,330.0,567.0,991.0
Interest received,Cash from Investing Activity,3.0,0.0,0.0,1.0,46.0,34.0,25.0,27.0,44.0,53.0,28.0,11.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0
Other investing items,Cash from Investing Activity,-7.0,2.0,1.0,4.0,-8.0,141.0,-144.0,-114.0,10.0,385.0,189.0,-159.0
Redemption of debentures,Cash from Financing Activity,-189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,167.0,0.0,140.0,0.0,369.0,0.0,0.0,366.0,78.0,0.0,0.0,173.0
Repayment of borrowings,Cash from Financing Activity,-88.0,-159.0,-130.0,-386.0,0.0,-74.0,-297.0,0.0,0.0,-122.0,-38.0,0.0
Interest paid fin,Cash from Financing Activity,-77.0,-60.0,-55.0,-57.0,-18.0,-37.0,-12.0,-10.0,-23.0,-39.0,-34.0,-39.0
Dividends paid,Cash from Financing Activity,-12.0,0.0,0.0,-120.0,-320.0,-289.0,0.0,-12.0,-154.0,-164.0,-87.0,-37.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0
Other financing items,Cash from Financing Activity,-2.0,0.0,-108.0,-24.0,-820.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
