,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,174.0,218.0,485.0,290.0,217.0,221.0,207.0,390.0,151.0,460.0,585.0,318.0
Cash from Investing Activity,,-43.0,-101.0,-162.0,-88.0,-31.0,-49.0,-106.0,-106.0,140.0,-209.0,-562.0,-753.0
Cash from Financing Activity,,-113.0,-161.0,-322.0,-191.0,-187.0,-182.0,-99.0,-284.0,-291.0,-207.0,-68.0,462.0
Net Cash Flow,,18.0,-44.0,2.0,10.0,-2.0,-11.0,2.0,-0.0,1.0,44.0,-44.0,27.0
Free Cash Flow,,102.0,131.0,443.0,173.0,113.0,127.0,182.0,303.0,387.0,347.0,471.0,-1016.0
CFO/OP,,75.0,187.0,101.0,85.0,96.0,247.0,69.0,75.0,45.0,107.0,135.0,77.0
Profit from operations,Cash from Operating Activity,243.0,116.0,551.0,423.0,290.0,141.0,376.0,824.0,483.0,610.0,541.0,639.0
Receivables,Cash from Operating Activity,-91.0,37.0,-79.0,-38.0,3.0,48.0,-127.0,-65.0,-60.0,22.0,289.0,-230.0
Inventory,Cash from Operating Activity,-32.0,52.0,-9.0,-88.0,-117.0,114.0,-14.0,-177.0,-25.0,-64.0,-24.0,-79.0
Payables,Cash from Operating Activity,61.0,24.0,54.0,71.0,86.0,-83.0,-4.0,22.0,-180.0,62.0,-92.0,120.0
Working capital changes,Cash from Operating Activity,-62.0,114.0,-34.0,-54.0,-28.0,79.0,-144.0,-219.0,-265.0,19.0,173.0,-189.0
Direct taxes,Cash from Operating Activity,-6.0,-12.0,-31.0,-79.0,-45.0,1.0,-25.0,-214.0,-67.0,-170.0,-129.0,-132.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,632.0,83.0,141.0,94.0,62.0,40.0,22.0,104.0,0.0,0.0,154.0,551.0
Repayment of borrowings,Cash from Financing Activity,-594.0,-140.0,-351.0,-185.0,-124.0,-119.0,-53.0,-291.0,-154.0,-102.0,-1.0,0.0
Interest paid fin,Cash from Financing Activity,-142.0,-98.0,-95.0,-76.0,-77.0,-84.0,-58.0,-63.0,-66.0,-35.0,-27.0,-34.0
Dividends paid,Cash from Financing Activity,-9.0,-5.0,-33.0,-24.0,-49.0,-14.0,-9.0,-33.0,-68.0,-68.0,-193.0,-54.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,-3.0,-2.0,-0.0,-0.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
