,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,5136.0,-931.0,-10814.0,-3676.0,6270.0,-8396.0,17065.0,28750.0,-27894.0,-8617.0,17396.0,18815.0
Cash from Investing Activity,,-236.0,-772.0,-179.0,-214.0,-176.0,-247.0,21233.0,-305.0,-314.0,-618.0,-348.0,-428.0
Cash from Financing Activity,,-2312.0,620.0,9041.0,6776.0,1000.0,2552.0,1866.0,18.0,-1543.0,1195.0,-4264.0,-7649.0
Net Cash Flow,,2588.0,-1082.0,-1952.0,2886.0,7094.0,-6091.0,40163.0,28464.0,-29751.0,-8040.0,12784.0,10738.0
Free Cash Flow,,4899.0,-1702.0,-10993.0,-3890.0,6021.0,-8644.0,16520.0,28446.0,-28208.0,-9235.0,17048.0,18387.0
CFO/OP,,44.0,-8.0,-109.0,-36.0,58.0,-69.0,81.0,155.0,-119.0,-24.0,41.0,40.0
Profit from operations,Cash from Operating Activity,3188.0,3227.0,4216.0,5295.0,5199.0,6401.0,12817.0,14614.0,16930.0,17139.0,20353.0,19009.0
Loans Advances,Cash from Operating Activity,-3658.0,-3185.0,1356.0,-28861.0,-24693.0,-20913.0,-30253.0,-34967.0,-66715.0,-69248.0,-59626.0,-85650.0
Operating investments,Cash from Operating Activity,975.0,-7222.0,-14498.0,-3838.0,6348.0,-16641.0,-15380.0,1337.0,-12357.0,-26528.0,-12247.0,-20268.0
Operating borrowings,Cash from Operating Activity,0.0,0.0,0.0,0.0,-8623.0,8693.0,-7267.0,-6945.0,4875.0,2050.0,20409.0,10254.0
Operating Deposits,Cash from Operating Activity,6949.0,9055.0,4221.0,25782.0,33779.0,18144.0,49526.0,55541.0,27552.0,66830.0,49145.0,90556.0
Other WC items,Cash from Operating Activity,-2318.0,-2804.0,-6109.0,-2053.0,-5740.0,-4080.0,7623.0,-829.0,1820.0,1139.0,-638.0,4914.0
Working capital changes,Cash from Operating Activity,1948.0,-4157.0,-15030.0,-8970.0,1071.0,-14798.0,4248.0,14136.0,-44824.0,-25757.0,-2957.0,-194.0
Fixed assets purchased,Cash from Investing Activity,-244.0,-783.0,-184.0,-223.0,-256.0,-259.0,-560.0,-323.0,-334.0,-627.0,-540.0,-454.0
Fixed assets sold,Cash from Investing Activity,7.0,11.0,5.0,9.0,8.0,12.0,16.0,18.0,20.0,9.0,192.0,26.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,0.0,73.0,0.0,21778.0,0.0,0.0,0.0,0.0,0.0
Proceeds from shares,Cash from Financing Activity,280.0,0.0,0.0,0.0,0.0,2829.0,0.0,1650.0,0.0,4000.0,0.0,0.0
Proceeds from debentures,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0
Redemption of debentures,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-1500.0,-600.0,0.0,-1000.0,-2000.0,-5000.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-277.0,-632.0,-782.0,-734.0,-734.0,-647.0,-460.0
Dividends paid,Cash from Financing Activity,-234.0,-202.0,-72.0,-288.0,0.0,0.0,0.0,-249.0,-810.0,-1071.0,-1616.0,-2189.0
Other financing items,Cash from Financing Activity,-2358.0,822.0,9113.0,7065.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
