,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,85.0,188.0,231.0,97.0,177.0,122.0,122.0,117.0
Cash from Investing Activity,,136.0,-28.0,-152.0,-72.0,-13.0,-26.0,-141.0,-110.0
Cash from Financing Activity,,-186.0,-168.0,-96.0,-26.0,-154.0,-103.0,17.0,5.0
Net Cash Flow,,36.0,-8.0,-17.0,-1.0,10.0,-6.0,-1.0,13.0
Free Cash Flow,,70.0,175.0,225.0,53.0,132.0,32.0,-3.0,11.0
CFO/OP,,63.0,147.0,192.0,72.0,112.0,74.0,65.0,58.0
Profit from operations,Cash from Operating Activity,175.0,173.0,138.0,172.0,208.0,263.0,320.0,383.0
Receivables,Cash from Operating Activity,-14.0,5.0,34.0,35.0,-65.0,-31.0,-78.0,-67.0
Inventory,Cash from Operating Activity,59.0,61.0,15.0,-177.0,-90.0,-22.0,-68.0,8.0
Payables,Cash from Operating Activity,-27.0,-7.0,2.0,23.0,21.0,63.0,14.0,18.0
Loans Advances,Cash from Operating Activity,0.0,0.0,11.0,-5.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-43.0,-37.0,58.0,73.0,156.0,-87.0,-3.0,-145.0
Working capital changes,Cash from Operating Activity,-26.0,22.0,121.0,-51.0,22.0,-77.0,-135.0,-186.0
Direct taxes,Cash from Operating Activity,-5.0,-7.0,-28.0,-24.0,-53.0,-63.0,-63.0,-81.0
Exceptional CF items,Cash from Operating Activity,-58.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-15.0,-13.0,-6.0,-44.0,-47.0,-98.0,-125.0,-106.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0
Investments purchased,Cash from Investing Activity,-0.0,0.0,-25.0,-451.0,-339.0,-174.0,-103.0,-232.0
Investments sold,Cash from Investing Activity,162.0,0.0,80.0,171.0,413.0,195.0,103.0,217.0
Interest received,Cash from Investing Activity,4.0,9.0,12.0,9.0,2.0,2.0,1.0,1.0
Other investing items,Cash from Investing Activity,-14.0,-23.0,-213.0,243.0,-44.0,42.0,-17.0,10.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,4.87,28.23,36.4
Repayment of borrowings,Cash from Financing Activity,-150.49,-139.48,-84.55,-16.99,-43.38,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-35.18,-24.69,-7.33,-2.32,-3.69,-5.67,-8.4,-9.42
Dividends paid,Cash from Financing Activity,0.0,-1.09,-1.82,-4.54,-104.38,-99.84,0.0,-18.15
Financial liabilities,Cash from Financing Activity,0.0,-2.64,-2.02,-2.29,-2.17,-2.38,-2.67,-3.44
