,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,2055.0,-678.0,-10083.0,-15439.0
Cash from Investing Activity,,-1110.0,1441.0,6406.0,-5697.0
Cash from Financing Activity,,-889.0,-753.0,3962.0,21454.0
Net Cash Flow,,56.0,11.0,285.0,318.0
Free Cash Flow,,2055.0,-678.0,-10125.0,-15544.0
CFO/OP,,5231.0,-22.0,-633.0,-658.0
Profit from operations,Cash from Operating Activity,36.0,-139.0,-112.0,-19.0
Receivables,Cash from Operating Activity,0.0,-66.0,2.0,-340.0
Payables,Cash from Operating Activity,0.0,96.0,291.0,758.0
Loans Advances,Cash from Operating Activity,0.0,-175.0,-9875.0,-15634.0
Operating borrowings,Cash from Operating Activity,2011.0,0.0,0.0,0.0
Operating Deposits,Cash from Operating Activity,0.0,-59.0,-109.0,0.0
Other WC items,Cash from Operating Activity,0.0,0.0,0.0,66.0
Working capital changes,Cash from Operating Activity,2011.0,-204.0,-9691.0,-15150.0
Direct taxes,Cash from Operating Activity,0.0,-335.0,-280.0,-270.0
Other operating items,Cash from Operating Activity,8.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,0.0,-1.0,-42.0,-105.0
Investments purchased,Cash from Investing Activity,-3471.0,-17049.0,-28924.0,-69014.0
Investments sold,Cash from Investing Activity,2304.0,21882.0,27427.0,62470.0
Interest received,Cash from Investing Activity,0.0,960.0,860.0,598.0
Dividends received,Cash from Investing Activity,0.0,217.0,403.0,441.0
Investment in group cos,Cash from Investing Activity,0.0,-6.0,-428.0,-857.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,56.0,-4562.0,7110.0,770.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,3956.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,3968.0,46101.0
Repayment of borrowings,Cash from Financing Activity,0.0,-743.0,0.0,-28284.0
Interest paid fin,Cash from Financing Activity,0.0,-10.0,-5.0,0.0
Dividends paid,Cash from Financing Activity,-889.0,0.0,0.0,-318.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-2.0
