,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,74.0,123.0,137.0,176.0,115.0,267.0,268.0
Cash from Investing Activity,,-43.0,-295.0,-84.0,-94.0,-246.0,-497.0,-442.0
Cash from Financing Activity,,-32.0,184.0,32.0,-51.0,128.0,297.0,136.0
Net Cash Flow,,-1.0,12.0,85.0,31.0,-3.0,66.0,-38.0
Free Cash Flow,,46.0,-118.0,46.0,100.0,29.0,-60.0,-234.0
CFO/OP,,106.0,198.0,95.0,97.0,68.0,109.0,97.0
Profit from operations,Cash from Operating Activity,99.0,70.0,154.0,204.0,245.0,310.0,353.0
Receivables,Cash from Operating Activity,-19.0,23.0,-6.0,-18.0,-14.0,12.0,-34.0
Inventory,Cash from Operating Activity,-4.0,1.0,-2.0,-4.0,-2.0,-3.0,-12.0
Payables,Cash from Operating Activity,0.0,0.0,0.0,0.0,-8.0,13.0,27.0
Loans Advances,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,4.0,-0.0
Other WC items,Cash from Operating Activity,13.0,39.0,-0.0,14.0,-56.0,-6.0,-2.0
Working capital changes,Cash from Operating Activity,-9.0,63.0,-9.0,-8.0,-81.0,21.0,-21.0
Direct taxes,Cash from Operating Activity,-15.0,-10.0,-9.0,-19.0,-50.0,-64.0,-64.0
Fixed assets purchased,Cash from Investing Activity,-29.0,-242.0,-92.0,-77.0,-85.0,-328.0,-502.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,-23.0,-626.0,-821.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,10.0,255.0,852.0
Interest received,Cash from Investing Activity,0.0,0.0,2.0,3.0,24.0,20.0,24.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,-57.0,-5.0,-22.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,1.0,3.0,6.0
Other investing items,Cash from Investing Activity,-15.0,3.0,10.0,2.0,-173.0,178.0,-1.0
Proceeds from shares,Cash from Financing Activity,0.0,50.0,0.0,34.0,633.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,31.0,180.0,100.0,49.0,0.0,326.0,186.0
Repayment of borrowings,Cash from Financing Activity,-31.0,-27.0,-12.0,-18.0,-472.0,0.0,-3.0
Interest paid fin,Cash from Financing Activity,-26.0,-39.0,-44.0,-42.0,-26.0,-8.0,-24.0
Dividends paid,Cash from Financing Activity,-6.0,0.0,0.0,-5.0,-6.0,-10.0,-7.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-11.0,-16.0
Other financing items,Cash from Financing Activity,0.0,20.0,-12.0,-69.0,0.0,0.0,0.0
