,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,0.0,112.0,453.0,462.0,430.0,508.0,524.0
Cash from Investing Activity,,0.0,33.0,-71.0,-469.0,-568.0,-389.0,-276.0
Cash from Financing Activity,,0.0,-72.0,-418.0,42.0,144.0,-129.0,-155.0
Net Cash Flow,,0.0,73.0,-36.0,35.0,6.0,-9.0,93.0
Free Cash Flow,,0.0,85.0,225.0,-16.0,-136.0,156.0,235.0
CFO/OP,,0.0,106.0,69.0,98.0,111.0,113.0,111.0
Profit from operations,Cash from Operating Activity,-0.0,123.0,882.0,585.0,470.0,565.0,614.0
Receivables,Cash from Operating Activity,0.0,-40.0,-99.0,70.0,-62.0,-37.0,-168.0
Inventory,Cash from Operating Activity,0.0,-37.0,-305.0,-126.0,93.0,-2.0,65.0
Payables,Cash from Operating Activity,0.0,79.0,103.0,3.0,-34.0,49.0,107.0
Other WC items,Cash from Operating Activity,0.0,0.0,0.0,8.0,9.0,13.0,10.0
Working capital changes,Cash from Operating Activity,0.0,1.0,-301.0,-45.0,6.0,23.0,14.0
Direct taxes,Cash from Operating Activity,0.0,-12.0,-128.0,-77.0,-46.0,-80.0,-103.0
Fixed assets purchased,Cash from Investing Activity,0.0,-28.0,-230.0,-481.0,-568.0,-366.0,-299.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,3.0,3.0,2.0,14.0,10.0
Investments purchased,Cash from Investing Activity,0.0,-2.0,-6.0,0.0,-3.0,-26.0,-11.0
Investments sold,Cash from Investing Activity,0.0,0.0,136.0,0.0,0.0,0.0,16.0
Interest received,Cash from Investing Activity,0.0,0.0,1.0,1.0,1.0,3.0,1.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-11.0
Other investing items,Cash from Investing Activity,0.0,63.0,26.0,10.0,0.0,-13.0,21.0
