,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,2302.0,5025.0,13222.0,-10392.0,1822.0,46619.0,4881.0,8308.0,-1242.0,15685.0,16916.0,41727.0
Cash from Investing Activity,,-4467.0,-2353.0,-5289.0,-5475.0,-3323.0,-13068.0,-11172.0,-10903.0,-10381.0,-8919.0,-25226.0,-16519.0
Cash from Financing Activity,,2426.0,2024.0,6055.0,14679.0,8365.0,-735.0,-10072.0,7543.0,1883.0,15515.0,22165.0,-2538.0
Net Cash Flow,,260.0,4696.0,13989.0,-1188.0,6864.0,32815.0,-16363.0,4949.0,-9740.0,22281.0,13855.0,22669.0
Free Cash Flow,,2034.0,4714.0,12840.0,-10758.0,1331.0,46206.0,4581.0,7675.0,-2203.0,14593.0,15768.0,40691.0
CFO/OP,,103.0,76.0,205.0,-89.0,52.0,454.0,270.0,396.0,41.0,236.0,139.0,276.0
Profit from operations,Cash from Operating Activity,2644.0,6474.0,6807.0,9804.0,11124.0,15390.0,11900.0,16070.0,21799.0,19519.0,25454.0,30186.0
Loans Advances,Cash from Operating Activity,-17183.0,-16612.0,-23014.0,-39539.0,-38387.0,-7983.0,-4373.0,-53527.0,-55142.0,-70819.0,-59396.0,-83148.0
Operating investments,Cash from Operating Activity,-1170.0,-3371.0,8442.0,-18065.0,-8598.0,3910.0,-30272.0,4124.0,-22135.0,-36327.0,-686.0,15220.0
Operating Deposits,Cash from Operating Activity,15914.0,17426.0,19591.0,35696.0,33588.0,35576.0,18471.0,31215.0,51186.0,83996.0,49439.0,72233.0
Other WC items,Cash from Operating Activity,3516.0,2797.0,3506.0,4659.0,7526.0,2593.0,12382.0,14170.0,7816.0,25352.0,8443.0,13668.0
Working capital changes,Cash from Operating Activity,1076.0,239.0,8525.0,-17249.0,-5871.0,34096.0,-3793.0,-4018.0,-18276.0,2203.0,-2200.0,17974.0
Direct taxes,Cash from Operating Activity,-1418.0,-1689.0,-2110.0,-2947.0,-3431.0,-2866.0,-3226.0,-3744.0,-4765.0,-6038.0,-6339.0,-6433.0
Fixed assets purchased,Cash from Investing Activity,-292.0,-325.0,-404.0,-426.0,-525.0,-453.0,-369.0,-670.0,-987.0,-1127.0,-1213.0,-1058.0
Fixed assets sold,Cash from Investing Activity,24.0,15.0,22.0,60.0,34.0,40.0,68.0,36.0,26.0,35.0,65.0,22.0
Investments purchased,Cash from Investing Activity,-4153.0,-8350.0,-4886.0,-3833.0,-2871.0,-12800.0,-10816.0,-10336.0,-9590.0,-7473.0,-28197.0,0.0
Investments sold,Cash from Investing Activity,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,4073.0,0.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0
Acquisition of companies,Cash from Investing Activity,0.0,-2.0,0.0,-1411.0,-21.0,0.0,0.0,0.0,0.0,-532.0,0.0,0.0
Other investing items,Cash from Investing Activity,0.0,6309.0,-21.0,135.0,59.0,130.0,-56.0,66.0,169.0,178.0,47.0,-16761.0
