,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-0.0,151.0,389.0,628.0,475.0,462.0,1002.0,1390.0,1195.0
Cash from Investing Activity,,0.0,16.0,-136.0,-503.0,-292.0,-167.0,-561.0,-628.0,-1186.0
Cash from Financing Activity,,0.0,34.0,-177.0,-115.0,-127.0,-183.0,-240.0,-342.0,89.0
Net Cash Flow,,0.0,201.0,75.0,10.0,56.0,112.0,201.0,419.0,98.0
Free Cash Flow,,-0.0,125.0,321.0,568.0,406.0,335.0,847.0,1262.0,1056.0
CFO/OP,,4.0,185.0,163.0,215.0,125.0,89.0,115.0,130.0,115.0
Profit from operations,Cash from Operating Activity,-0.0,88.0,341.0,353.0,476.0,738.0,1052.0,1378.0,1417.0
Receivables,Cash from Operating Activity,0.0,-150.0,144.0,106.0,-37.0,-205.0,-180.0,77.0,-64.0
Inventory,Cash from Operating Activity,0.0,-1.0,-1.0,11.0,0.0,-0.0,-32.0,6.0,-3.0
Payables,Cash from Operating Activity,0.0,91.0,-23.0,51.0,-2.0,-13.0,75.0,-59.0,3.0
Other WC items,Cash from Operating Activity,0.0,141.0,11.0,140.0,126.0,41.0,224.0,194.0,57.0
Working capital changes,Cash from Operating Activity,0.0,82.0,130.0,308.0,87.0,-177.0,87.0,217.0,-8.0
Direct taxes,Cash from Operating Activity,0.0,-18.0,-83.0,-33.0,-89.0,-99.0,-137.0,-205.0,-214.0
Fixed assets purchased,Cash from Investing Activity,0.0,-27.0,-69.0,-60.0,-69.0,-130.0,-155.0,-130.0,-143.0
Fixed assets sold,Cash from Investing Activity,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0
Investments purchased,Cash from Investing Activity,0.0,-10.0,-84.0,-292.0,-263.0,-534.0,-422.0,-800.0,-811.0
Investments sold,Cash from Investing Activity,0.0,10.0,119.0,176.0,293.0,608.0,379.0,656.0,926.0
Interest received,Cash from Investing Activity,0.0,1.0,2.0,5.0,14.0,20.0,5.0,10.0,19.0
Dividends received,Cash from Investing Activity,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,-21.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,-67.0,-2.0,0.0,-63.0,-578.0,-350.0,-155.0,-1285.0
Other investing items,Cash from Investing Activity,0.0,108.0,-106.0,-333.0,-185.0,444.0,-19.0,-211.0,103.0
