,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,145.0,246.0,218.0,148.0,128.0,192.0,252.0,110.0,297.0,389.0,197.0,-6.0
Cash from Investing Activity,,-84.0,-202.0,-150.0,71.0,82.0,112.0,-217.0,66.0,-119.0,38.0,-183.0,92.0
Cash from Financing Activity,,-61.0,-42.0,-56.0,-226.0,-219.0,-301.0,-29.0,-170.0,-176.0,-425.0,-18.0,-64.0
Net Cash Flow,,-0.0,3.0,11.0,-7.0,-9.0,3.0,5.0,7.0,1.0,3.0,-3.0,21.0
Free Cash Flow,,63.0,221.0,175.0,134.0,59.0,141.0,213.0,63.0,187.0,289.0,108.0,-155.0
CFO/OP,,47.0,131.0,156.0,67.0,66.0,81.0,88.0,59.0,129.0,142.0,76.0,7.0
Profit from operations,Cash from Operating Activity,310.0,189.0,140.0,222.0,213.0,257.0,303.0,212.0,259.0,295.0,294.0,336.0
Receivables,Cash from Operating Activity,-53.0,38.0,-5.0,-1.0,1.0,-36.0,9.0,-14.0,-28.0,15.0,19.0,-18.0
Inventory,Cash from Operating Activity,3.0,22.0,18.0,15.0,-126.0,-114.0,-156.0,41.0,7.0,-29.0,-380.0,-180.0
Payables,Cash from Operating Activity,-75.0,3.0,86.0,-82.0,32.0,49.0,92.0,-129.0,2.0,15.0,234.0,-1.0
Loans Advances,Cash from Operating Activity,4.0,0.0,-5.0,-1.0,-32.0,19.0,1.0,-2.0,-5.0,-7.0,-45.0,7.0
Other WC items,Cash from Operating Activity,-43.0,-5.0,-16.0,-5.0,50.0,29.0,13.0,10.0,88.0,117.0,100.0,-122.0
Working capital changes,Cash from Operating Activity,-165.0,57.0,78.0,-74.0,-74.0,-52.0,-41.0,-93.0,64.0,110.0,-72.0,-313.0
Direct taxes,Cash from Operating Activity,0.0,0.0,0.0,0.0,-11.0,-13.0,-11.0,-9.0,-27.0,-15.0,-25.0,-29.0
Fixed assets purchased,Cash from Investing Activity,-82.0,-26.0,-44.0,-23.0,-69.0,-52.0,-39.0,-47.0,-110.0,-100.0,-89.0,-149.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Investments purchased,Cash from Investing Activity,-17.0,-850.0,-882.0,-458.0,-541.0,-509.0,-521.0,-360.0,-484.0,-535.0,-464.0,-347.0
Investments sold,Cash from Investing Activity,13.0,673.0,773.0,543.0,694.0,669.0,343.0,471.0,474.0,670.0,370.0,587.0
Interest received,Cash from Investing Activity,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,0.0,-0.0,0.0,-0.0,-4.0,3.0,-1.0,1.0,0.0,-0.0,0.0,0.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.08,2.53,8.03,0.0
Proceeds from borrowings,Cash from Financing Activity,0.5,0.0,0.0,0.0,4.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-0.03,0.0,0.0,0.0,0.0,-1.03,-4.71,-0.48,-0.48,-0.48,-0.13,0.0
Interest paid fin,Cash from Financing Activity,-0.17,-0.24,-0.24,-0.6,-0.51,-0.54,-0.58,-0.18,-0.19,-0.25,-0.19,-0.33
Dividends paid,Cash from Financing Activity,-62.11,0.0,0.0,-23.86,-22.83,-22.83,-23.78,-22.98,-22.98,-27.55,-25.57,-25.5
Share application money,Cash from Financing Activity,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other financing items,Cash from Financing Activity,0.0,-41.33,-56.24,-201.76,-200.0,-277.26,0.0,-146.3,-152.67,-398.87,0.0,-38.13
