,parent_line_item,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,109.0,102.0,51.0,29.0,16.0,52.0,-15.0,-78.0,-516.0,1701.0,1207.0,2921.0
Cash from Investing Activity,,-82.0,-88.0,-24.0,-5.0,-6.0,-34.0,-62.0,-57.0,-612.0,-1725.0,-3976.0,-9474.0
Cash from Financing Activity,,-20.0,-17.0,-25.0,-21.0,-15.0,-6.0,66.0,149.0,1143.0,-1.0,2808.0,8633.0
Net Cash Flow,,7.0,-3.0,3.0,4.0,-4.0,12.0,-11.0,13.0,14.0,-25.0,39.0,2080.0
Free Cash Flow,,26.0,14.0,12.0,23.0,10.0,16.0,-77.0,-136.0,-905.0,-20.0,-2404.0,-7040.0
CFO/OP,,214.0,299.0,230.0,107.0,78.0,244.0,-137.0,-54.0,-63.0,111.0,87.0,66.0
Profit from operations,Cash from Operating Activity,51.0,44.0,39.0,43.0,36.0,44.0,22.0,116.0,-369.0,1775.0,2012.0,6343.0
Receivables,Cash from Operating Activity,-71.0,-12.0,-10.0,-29.0,13.0,15.0,1.0,-17.0,0.0,0.0,0.0,0.0
Inventory,Cash from Operating Activity,-11.0,-1.0,-26.0,-21.0,48.0,-10.0,-16.0,-51.0,-103.0,39.0,-201.0,-586.0
Payables,Cash from Operating Activity,137.0,71.0,65.0,39.0,-102.0,-3.0,-26.0,-20.0,0.0,0.0,0.0,0.0
Loans Advances,Cash from Operating Activity,0.0,0.0,-17.0,-6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating borrowings,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,15.0,-8.0,-10.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,0.0,0.0,3.0,13.0,-10.0,12.0,-96.0,-42.0,115.0,-112.0,-1661.0
Working capital changes,Cash from Operating Activity,55.0,58.0,12.0,-13.0,-20.0,8.0,-37.0,-194.0,-145.0,154.0,-313.0,-2247.0
Direct taxes,Cash from Operating Activity,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.0,-227.0,-492.0,-1175.0
Exceptional CF items,Cash from Operating Activity,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-83.0,-89.0,-42.0,-6.0,-7.0,-30.0,-19.0,-56.0,-101.0,-750.0,-3610.0,-9962.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital WIP,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,-6.0,-42.0,-1.0,-287.0,-970.0,0.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-288.0
Investments sold,Cash from Investing Activity,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Interest received,Cash from Investing Activity,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,23.0,49.0,137.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-617.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-0.0,-229.0,-48.0,-415.0,1255.0
