,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,,52.0,177.0,243.0,253.0,351.0,470.0,483.0
Cash from Investing Activity,,-279.0,-163.0,-96.0,-88.0,56.0,-232.0,-110.0
Cash from Financing Activity,,224.0,-13.0,-141.0,-166.0,-410.0,-232.0,-362.0
Net Cash Flow,,-3.0,1.0,7.0,-2.0,-3.0,6.0,12.0
Free Cash Flow,,-94.0,169.0,225.0,268.0,362.0,475.0,484.0
CFO/OP,,54.0,99.0,81.0,118.0,93.0,92.0,93.0
Profit from operations,Cash from Operating Activity,233.0,275.0,399.0,247.0,505.0,674.0,663.0
Receivables,Cash from Operating Activity,-134.0,-17.0,-36.0,12.0,-38.0,-78.0,-92.0
Inventory,Cash from Operating Activity,8.0,-2.0,-30.0,20.0,-42.0,-31.0,35.0
Payables,Cash from Operating Activity,50.0,22.0,-8.0,-3.0,25.0,11.0,6.0
Other WC items,Cash from Operating Activity,-33.0,-7.0,-6.0,11.0,9.0,40.0,1.0
Working capital changes,Cash from Operating Activity,-108.0,-3.0,-80.0,40.0,-45.0,-57.0,-50.0
Direct taxes,Cash from Operating Activity,-72.0,-95.0,-75.0,-34.0,-109.0,-147.0,-130.0
Proceeds from shares,Cash from Financing Activity,225.0,0.0,0.0,0.0,5.0,1.0,3.0
Proceeds from borrowings,Cash from Financing Activity,159.0,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-159.0,-0.0,0.0,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-4.0,-0.0,-21.0,-21.0,-22.0,-24.0,-34.0
Dividends paid,Cash from Financing Activity,-1.0,0.0,-60.0,0.0,0.0,-121.0,-218.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-59.0,-37.0,-61.0,-88.0,-112.0
Other financing items,Cash from Financing Activity,4.0,-13.0,0.0,-108.0,-331.0,0.0,0.0
