,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-19.0,-17.0,34.0,32.0,147.0,-7.0,3.0,170.0,90.0,144.0,540.0,496.0
Cash from Investing Activity,,-16.0,-32.0,-15.0,-18.0,-19.0,-28.0,-35.0,-703.0,429.0,-83.0,-318.0,-128.0
Cash from Financing Activity,,67.0,35.0,-29.0,-1.0,-83.0,90.0,-6.0,440.0,-170.0,-198.0,-228.0,-256.0
Net Cash Flow,,32.0,-15.0,-10.0,14.0,45.0,56.0,-37.0,-93.0,350.0,-137.0,-5.0,112.0
Free Cash Flow,,-35.0,-35.0,19.0,32.0,125.0,-37.0,-51.0,56.0,-78.0,61.0,482.0,373.0
CFO/OP,,-26.0,-19.0,70.0,96.0,133.0,6.0,15.0,75.0,39.0,49.0,120.0,94.0
Profit from operations,Cash from Operating Activity,23.0,29.0,60.0,26.0,140.0,185.0,277.0,306.0,320.0,404.0,537.0,669.0
Receivables,Cash from Operating Activity,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,Cash from Operating Activity,-67.0,-55.0,-24.0,0.0,-31.0,-249.0,-106.0,-165.0,-229.0,-196.0,-5.0,-37.0
Payables,Cash from Operating Activity,26.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-7.0,-3.0,-4.0,0.0,50.0,73.0,-139.0,63.0,14.0,-35.0,53.0,-63.0
Working capital changes,Cash from Operating Activity,-46.0,-48.0,-26.0,0.0,19.0,-176.0,-246.0,-102.0,-216.0,-231.0,49.0,-99.0
Interest paid,Cash from Operating Activity,11.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,-10.0,-10.0,-16.0,-23.0,-13.0,-15.0,-29.0,-34.0,-14.0,-29.0,-45.0,-74.0
Other operating items,Cash from Operating Activity,4.0,-1.0,-1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-17.0,-18.0,-15.0,0.0,-22.0,-30.0,-54.0,-118.0,-169.0,-84.0,-59.0,-123.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Interest received,Cash from Investing Activity,2.0,2.0,2.0,0.0,4.0,5.0,4.0,5.0,22.0,14.0,14.0,31.0
Invest in subsidiaries,Cash from Investing Activity,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-1.0,-16.0,-2.0,-18.0,-1.0,-2.0,15.0,-594.0,576.0,-14.0,-273.0,-37.0
Proceeds from shares,Cash from Financing Activity,4.0,0.0,0.0,0.0,0.0,1.0,0.0,594.0,1.0,7.0,5.0,10.0
Proceeds from borrowings,Cash from Financing Activity,77.0,50.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-1.0,0.0,-11.0,0.0,-8.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-13.0,-16.0,-18.0,0.0,-14.0,-7.0,-8.0,-66.0,-83.0,-96.0,-103.0,-120.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,-65.0,-76.0,-95.0,-66.0,-88.0,-109.0,-130.0,-145.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,-1.0,0.0,204.0,98.0,-22.0,0.0,0.0,0.0,0.0
