,parent_line_item,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1699.0,3043.0,1956.0,2413.0,1253.0,2271.0,4325.0,-578.0,2755.0,3303.0,1868.0,4590.0
Cash from Investing Activity,,-1791.0,-3408.0,-1393.0,-2014.0,-1386.0,-162.0,-5087.0,169.0,-1922.0,-2381.0,-2082.0,-3536.0
Cash from Financing Activity,,67.0,212.0,-438.0,-453.0,42.0,-1032.0,-250.0,424.0,-840.0,-868.0,282.0,-1120.0
Net Cash Flow,,-24.0,-152.0,125.0,-53.0,-91.0,1077.0,-1012.0,14.0,-6.0,55.0,68.0,-66.0
Free Cash Flow,,454.0,737.0,590.0,849.0,-710.0,-479.0,3473.0,-2283.0,-535.0,1141.0,573.0,3164.0
CFO/OP,,109.0,95.0,89.0,126.0,72.0,114.0,164.0,-18.0,128.0,94.0,60.0,108.0
Profit from operations,Cash from Operating Activity,1959.0,4457.0,2662.0,2376.0,2473.0,2485.0,3019.0,2144.0,2447.0,4351.0,4171.0,5022.0
Receivables,Cash from Operating Activity,-162.0,-129.0,-132.0,-178.0,-238.0,97.0,35.0,-188.0,-172.0,-409.0,-463.0,-343.0
Inventory,Cash from Operating Activity,-9.0,-74.0,-525.0,228.0,-796.0,88.0,-34.0,-1191.0,-11.0,-328.0,-1156.0,208.0
Payables,Cash from Operating Activity,216.0,-12.0,303.0,167.0,117.0,188.0,1608.0,-1250.0,380.0,216.0,174.0,380.0
Loans Advances,Cash from Operating Activity,6.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,102.0,-31.0,58.0,295.0,112.0,-145.0,212.0,120.0,439.0,195.0,-265.0,5.0
Working capital changes,Cash from Operating Activity,152.0,-245.0,-296.0,512.0,-804.0,228.0,1822.0,-2509.0,636.0,-325.0,-1711.0,250.0
Direct taxes,Cash from Operating Activity,-412.0,-1169.0,-411.0,-475.0,-416.0,-442.0,-517.0,-213.0,-328.0,-722.0,-592.0,-682.0
Fixed assets purchased,Cash from Investing Activity,-1246.0,-2308.0,-1369.0,-1567.0,-1964.0,-2752.0,-853.0,-1707.0,-3291.0,-2164.0,-1308.0,-1434.0
Fixed assets sold,Cash from Investing Activity,0.0,2.0,3.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,14.0,8.0
Investments purchased,Cash from Investing Activity,-656.0,-2347.0,0.0,-3007.0,-2122.0,-2066.0,-6218.0,-650.0,-136.0,-446.0,-2888.0,-561.0
Investments sold,Cash from Investing Activity,493.0,728.0,33.0,2477.0,2718.0,4651.0,1884.0,3033.0,787.0,316.0,1962.0,1934.0
Interest received,Cash from Investing Activity,33.0,67.0,33.0,24.0,11.0,20.0,87.0,88.0,116.0,98.0,104.0,125.0
Dividends received,Cash from Investing Activity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-415.0,450.0,-93.0,57.0,-30.0,-17.0,11.0,-598.0,601.0,-187.0,34.0,-3608.0
Proceeds from debentures,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0
Redemption of debentures,Cash from Financing Activity,-65.0,-135.0,0.0,0.0,0.0,-160.0,-160.0,-180.0,0.0,0.0,0.0,-150.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,506.0,81.0,484.0,1086.0,8.0,0.0,920.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,-160.0,-556.0,-182.0,-87.0,-544.0,-353.0,-101.0,-200.0
Interest paid fin,Cash from Financing Activity,-222.0,-321.0,-247.0,-254.0,-270.0,-281.0,-254.0,-236.0,-270.0,-290.0,-273.0,-290.0
Dividends paid,Cash from Financing Activity,-15.0,-27.0,-51.0,-31.0,-31.0,-25.0,-42.0,-64.0,-64.0,-74.0,-85.0,-100.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-86.0,-98.0,-97.0,-121.0,-152.0,-181.0,-196.0
Other financing items,Cash from Financing Activity,369.0,695.0,-139.0,-168.0,-4.0,-5.0,2.0,1.0,1.0,2.0,2.0,-185.0
