,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,59.0,57.0,3.0,19.0,-2.0,68.0,62.0,8.0,91.0,66.0,149.0
Cash from Investing Activity,,-6.0,-61.0,-17.0,-60.0,18.0,-271.0,-329.0,-89.0,-612.0,-1139.0,-542.0
Cash from Financing Activity,,-20.0,0.0,37.0,6.0,3.0,217.0,335.0,15.0,946.0,805.0,361.0
Net Cash Flow,,33.0,-5.0,24.0,-35.0,19.0,14.0,68.0,-66.0,425.0,-268.0,-33.0
Free Cash Flow,,57.0,56.0,1.0,13.0,-9.0,66.0,51.0,-0.0,64.0,-82.0,36.0
CFO/OP,,99.0,117.0,42.0,220.0,-67.0,216.0,94.0,33.0,133.0,103.0,-649.0
Profit from operations,Cash from Operating Activity,83.0,81.0,72.0,45.0,-3.0,53.0,109.0,120.0,135.0,166.0,268.0
Receivables,Cash from Operating Activity,-13.0,1.0,-18.0,-15.0,-10.0,-8.0,-13.0,-62.0,-69.0,-77.0,70.0
Inventory,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-18.0,-13.0,-0.0,-4.0
Payables,Cash from Operating Activity,2.0,-1.0,4.0,-2.0,19.0,-2.0,-22.0,6.0,84.0,20.0,-159.0
Loans Advances,Cash from Operating Activity,-2.0,0.0,-29.0,-2.0,-2.0,1.0,3.0,-1.0,-4.0,4.0,17.0
Leased assets,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Other WC items,Cash from Operating Activity,5.0,-9.0,-8.0,9.0,1.0,40.0,6.0,-11.0,-2.0,6.0,-1.0
Working capital changes,Cash from Operating Activity,-8.0,-9.0,-52.0,-11.0,8.0,31.0,-28.0,-86.0,-4.0,-48.0,-77.0
Direct taxes,Cash from Operating Activity,-16.0,-15.0,-17.0,-15.0,-7.0,-16.0,-19.0,-26.0,-41.0,-53.0,-43.0
Fixed assets purchased,Cash from Investing Activity,-2.0,-1.0,-2.0,-6.0,-7.0,-3.0,-12.0,-8.0,-27.0,-148.0,-113.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,-93.0,-53.0,-42.0,-76.0,-57.0,-102.0,-386.0,-88.0,-377.0,-709.0,-1055.0
Investments sold,Cash from Investing Activity,74.0,40.0,22.0,33.0,83.0,38.0,69.0,228.0,342.0,699.0,746.0
Investment income,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,24.0,67.0,11.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-758.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,-23.0,-6.0,-129.0,-129.0,-104.0,-93.0,-759.0,-232.0
Other investing items,Cash from Investing Activity,11.0,-53.0,1.0,7.0,2.0,-80.0,130.0,-118.0,-482.0,470.0,100.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,77.0,12.0,10.0,223.0,316.0,16.0,922.0,881.0,495.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,30.0,0.0,0.0,0.0,0.0,26.0,38.0,8.0,55.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,-34.0,-0.0,0.0,0.0,0.0,-4.0,0.0,-44.0,-153.0
Interest paid fin,Cash from Financing Activity,0.0,0.0,-1.0,-0.0,0.0,-0.0,-0.0,-1.0,-7.0,-10.0,-6.0
Dividends paid,Cash from Financing Activity,-20.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-3.0,-6.0,-6.0,-5.0,-4.0,-7.0,-3.0,-12.0,-41.0
Other financing items,Cash from Financing Activity,-0.0,0.0,-0.0,0.0,0.0,0.0,23.0,-16.0,-4.0,-18.0,10.0
